source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2887_0_2886_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2886-Y5-R2FR-Qvis-parent-signature-or-first-finite-DqZ-component-row-under-AX1090.md,Status: `Y5_R2FR_2886_Qvis_parent_signature_unsigned_E_DqZ_coframe_component_2887_next`;## Next Target,2886 handoff,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.824269+00:00
SRC2887_1_2886_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2886_NEXT_TARGET.csv,NEXT2886_0_2887,explicit 2887 target,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.825278+00:00
SRC2887_2_2886_component,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2886_FIRST_FINITE_DQZ_COMPONENT_ROW_NONCLAIM.csv,DQC2886_0_E_DqZ_coframe;E_DqZ_coframe,E_DqZ coframe component,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.826292+00:00
SRC2887_3_2886_inputs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2886_COMPONENT_INPUT_REQUIREMENTS.csv,REQ2886_0_Obs_e;REQ2886_1_Cobs,component input requirements,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.827302+00:00
SRC2887_4_2886_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2886_VALIDATION.csv,VAL2886_OVERALL,2886 validation,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.828283+00:00
SRC2887_5_1671_cobs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1671_COBS_FACTOR_INPUT_ROWS.csv,COBS1671_0_operator_norm;COBS1671_2_shadow_frame_guard,Cobs factor input rows,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.829588+00:00
SRC2887_6_1674_matrix,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1674_DQZ_COMPONENT_DERIVATIVE_MATRIX.csv,DQM1674_0_coframe_metric;MISSING_OBSERVED_COFRAME_FUNCTOR,DqZ coframe derivative row,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.830591+00:00
SRC2887_7_2487_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_OBS_COFRAME_2487_DOBS_KERNEL_GATE.csv,DOK2487_0_exact_kernel;DOK2487_3_current_verdict,observed coframe kernel gate 2487,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.831352+00:00
SRC2887_8_2487_leak,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_OBS_COFRAME_2487_FINITE_DOBS_LEAK_ROWS.csv,DLEAK2487_0_vZ;DLEAK2487_4_common_frame_abs,finite observed coframe leak rows 2487,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.832117+00:00
SRC2887_9_2571_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_OBS_COFRAME_2571_DOBS_KERNEL_GATE.csv,DOK2571_0_exact_kernel;DOK2571_4_current_verdict,observed coframe kernel gate 2571,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.832958+00:00
SRC2887_10_2571_leak,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_OBS_COFRAME_2571_FINITE_DOBS_LEAK_ROWS.csv,DLEAK2571_0_q_source_readout;DLEAK2571_5_coupling_readout,finite observed coframe leak rows 2571,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.833830+00:00
SRC2887_11_2633_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_NORMAL_DOBS_EH_SYNTHESIS_2633_PARENT_NORMAL_FORM_GATE.csv,PNFG2633_4_quotient_DObs_no_shadow;PNFG2633_6_full_PPN_vector_closure,parent normal DObs/EH synthesis gate,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.834806+00:00
SRC2887_12_2633_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_NORMAL_DOBS_EH_SYNTHESIS_2633_CONDITIONAL_LOCAL_GR_THEOREM.csv,THM2633_3_no_shadow_to_PPN_vector;THM2633_4_local_GR_claim_gate,conditional local-GR theorem guard,True,True,,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T20:33:04.835957+00:00
