source_id,source_type,path_or_url,exists_or_reachable,role,contains_text,valid_for_claim,generated_utc
2808_next,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2808_NEXT_TARGET.csv,True,authoritative 2809 target,True,False,2026-06-24T02:49:23.932177+00:00
2808_metric_response,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2808_METRIC_RESPONSE_DERIVATION_ATTEMPT.csv,True,conditional metric-response identity,True,False,2026-06-24T02:49:23.932797+00:00
2808_units,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2808_WARD_RESIDUAL_UNIT_CONTRACT.csv,True,unit contract predecessor,True,False,2026-06-24T02:49:23.933306+00:00
2808_gates,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2808_CLAIM_GATES.csv,True,2808 claim gates,True,False,2026-06-24T02:49:23.933699+00:00
2799_q_loc,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2799_QLOC_RESIDUAL_RETENTION_LEDGER.csv,True,retained q_loc and DeltaK definitions,True,False,2026-06-24T02:49:23.934134+00:00
Gamma_owner,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_OWNER_CANDIDATE_ACTION.csv,True,Gamma/Khat owner candidates,True,False,2026-06-24T02:49:23.934764+00:00
symbol_map,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_MTS_SYMBOL_TO_LOCAL_GR_ACTION_MAP.csv,True,symbol placement map,True,False,2026-06-24T02:49:23.935328+00:00
GK_match_audit,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GK_METRIC_RESPONSE_MATCH_AUDIT.csv,True,prior metric-response match audit,True,False,2026-06-24T02:49:23.935747+00:00
GK_pass_fail,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GK_METRIC_RESPONSE_PASS_FAIL.csv,True,prior pass/fail rows,True,False,2026-06-24T02:49:23.936182+00:00
GK_contract,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GK_METRIC_RESPONSE_CONTRACT.csv,True,metric-response contract,True,False,2026-06-24T02:49:23.936702+00:00
first_variation,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_KHAT_QLOC_FIRST_VARIATION_CONTRACT.csv,True,Gamma/Khat first-variation contract,True,False,2026-06-24T02:49:23.937293+00:00
2807_seed,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2807_SOURCE_BACKED_FORCE_SEED_ROW.csv,True,NIST denominator seed predecessor,True,False,2026-06-24T02:49:23.937712+00:00
NIST_gn,web_source,https://physics.nist.gov/cgi-bin/cuu/Value?gn,True,standard acceleration of gravity denominator seed retained,True,False,2026-06-24T02:49:23.937721+00:00
