source_id,path,exists,role,claim_allowed,valid_for_claim
script_3449,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_3449_absent_quotient_X_erasure_or_omegaX_bound_first_row.py,True,generator for this checkpoint,False,False
doc_3448,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3448-Y5-R2FR-extra-sector-LX-ThetaX-QtauX-owner-or-deltaHcurl-extra-row-under-AX1090.md,True,immediate handoff selecting absent quotient first,False,False
next_3448,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3448_NEXT_TARGET.csv,True,machine-readable 3449 target,False,False
lx_owner_audit_3448,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3448_LX_OWNER_ROUTE_AUDIT.csv,True,absent quotient branch selected as preferred route,False,False
curl_extra_3448,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3448_DELTAH_CURL_EXTRA_COMPONENT_ROW.csv,True,DHC3448 zero candidate and omega_X fallback rows,False,False
quotient_map_637,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_637_QUOTIENT_MAP_DERIVATION.csv,True,canonical quotient map and Dq[v_X] conditional derivation,False,False
no_pole_chain_670,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_670_NO_POLE_QUOTIENT_PROOF_CHAIN.csv,True,no-pole quotient proof chain,False,False
quotient_signature_626,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_626_QUOTIENT_INVARIANT_SIGNATURE_ATTEMPT.csv,True,quotient-invariant matter action signature attempt,False,False
vertical_chain_581,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_581_QUOTIENT_VERTICAL_THEOREM_CHAIN.csv,True,quotient vertical theorem chain,False,False
minimal_quotient_gate_619,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_619_MINIMAL_QUOTIENT_GATE.csv,True,countermodel guard for markers/source weights/conformal frames,False,False
erasure_audit_2670,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_QUOTIENT_ERASURE_2670_ERASURE_CERTIFICATE_AUDIT.csv,True,absent-quotient erasure certificate audit,False,False
strict_signature_3114,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3114_STRICT_LOCAL_QUOTIENT_SIGNATURE_GATE.csv,True,strict local quotient signature gate,False,False
absent_attempt_3133,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3133_ABSENT_QUOTIENT_ATTEMPT.csv,True,recent absent quotient attempt,False,False
quotient_map_3134,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3134_QUOTIENT_MAP_ATTEMPT.csv,True,explicit candidate quotient map,False,False
fiber_descent_3271,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3271_QUOTIENT_FIBER_DESCENT_THEOREM.csv,True,fiber-constant descent theorem,False,False
matter_signature_1088,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1088-Y5-R10-minimal-parent-ordinary-matter-signature-clause-or-finite-coefficient-intake.md,True,ordinary matter signature clause or markdown fallback,False,False
