audit_id,owner_clause,formal_statement,current_status,blocking_gap,effect_if_missing,parent_signed,theorem_zero_adopted,finite_value_present,prediction_source_backed,accepted_for_scoring,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SC2900_0_parent_matter_action,parent matter action before readout,"S_parent[Phi,psi]=S_geom[Phi]+sum_A S_A[psi_A;q(Phi),theta_A]+S_boundary[q(Phi)] is adopted by MTS core before readout",CANDIDATE_FORM_EXISTS_NOT_PARENT_DERIVED,"2587 writes the least-circular candidate, but current MTS has not derived/adopted it",J_H can still be a disciplined ansatz rather than a theorem,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895246+00:00
SC2900_1_single_observed_stack,single quotient-owned observed stack,"q(Phi)->e_obs,D_obs,A_obs,tau,ell_J controls matter, clocks, rods, photons, source charge and orbit readout",OBSERVED_STACK_OWNER_NOT_DERIVED,"parent q map, basic coframe, tau and ell_J owner certificates remain unsigned",source/current descent cannot be promoted,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895257+00:00
SC2900_2_tau_lock,same time generator,tau_source=tau_charge=tau_clock=tau_boundary=tau_orbit=tau_obs with fixed parent normalization,MISSING_PARENT_TAU_IDENTITY,tau generator contract remains blocked_nonclaim,current divergence can leak through T^{mu nu} nabla_mu tau_nu,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895265+00:00
SC2900_3_ellJ_scale_lock,source-current scale fixed before GM,ell_J is parent-normalized and constant/universal on the compact branch or has an exact exchange identity,MISSING_PARENT_ELLJ_SCALE,ell_J is not derived from parent action or spectrum/normalization,source mass can hide an empirical scale,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895278+00:00
SC2900_4_worldtube_support,source worldtube fixed before fitting,"W_source := supp(J_H[e_obs,tau]) is determined by parent current support before orbital/PPN scoring",MISSING_SUPPORT_AND_JUMP_LEDGER,"support regularity, jumps and source-free annulus are not theorem-zero or bounded",moving support creates domain/source-hair terms,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895286+00:00
SC2900_5_exterior_link_complex,A_ext and S_link fixed,"compact exterior annulus A_ext, linking surfaces S_link, orientation and boundary conditions are fixed before Pi_M acts",MISSING_FIXED_DOMAIN_COMPLEX,domain owner theorem and no moving mask proof remain missing,Stokes/chainmap use can drop domain-motion terms,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895293+00:00
SC2900_6_current_complex_membership,J_H lives in the same complex used by Pi_M,"J_H[e_obs,tau] in C_H(A_ext;W_source,S_link) with extra channels zeroed or explicitly included",MISSING_PHYSICAL_CURRENT_COMPLEX,same-frame current descent plus extra-current silence are incomplete,Pi_M may act on a surrogate current,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895306+00:00
SC2900_7_same_object_Mref,same object and denominator,Pi_M J_H = J_M_top + dB_zero with zero boundary flux and common M_ref,MISSING_R_EQ_B_ZERO_MREF_LOCK,"R_eq, B_zero_flux and positive same-frame M_ref remain unfilled",closed wrong charge could be conserved,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895312+00:00
SC2900_8_no_source_slot_shadow,no hidden source-only matter slot,"no w_A(X), c_A(X), source mask, shadow frame, non-Hilbert current or support retune survives outside q/e_obs",CONTRACT_ONLY_NOT_UNIQUENESS_PROOF,2587/2588 forbid the route conditionally but not from a parent grammar theorem,source normalization can be absorbed by hidden couplings,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895319+00:00
SC2900_9_verdict,source-worldtube/current-complex owner theorem,"W_source, A_ext, S_link, J_H[e_obs,tau], tau, ell_J and M_ref are all parent-owned before readout in one Pi_M-compatible Hilbert-current complex",FAIL_CURRENT_MTS_SOURCE_COMPLEX_OWNER_NOT_DERIVED,SC2900_0 through SC2900_8 remain unsigned,2899 fixed-chainmap theorem cannot be promoted,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:07:50.895325+00:00
