source_id,role,path,needle,exists,needle_found,valid_for_claim,timestamp_utc
SRC3994_00_3993_next,3993 handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3993_NEXT_TARGET.csv,NEXT3993_0,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_01_3993_components,C_alpha DD component,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3993_PARENT_TO_DD_COMPONENT_BASIS.csv,PDM3993_4_C_alpha_EM,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_02_3993_em,EM F2/Poynting handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3993_EM_POYNTING_MAP_LEDGER.csv,EMDD3993_1_independent_F2_or_alpha,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_03_3864_theorem,no-extra-F2 theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3864_NO_EXTRA_F2_THEOREM.csv,NEF3864_1_no_extra_F2_theorem,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_04_3864_operator,operator-domain audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3864_OPERATOR_DOMAIN_AUDIT.csv,ODA3864_0_parent_image,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_05_3864_lambda_bound,lambda F2 bound identity,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3864_LAMBDAF2_BOUND.csv,LFB3864_0_canonical_identity,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_06_3865_joint,sXF2 zg balpha joint bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3865_SXF2_ZG_BALPHA_JOINT_BOUND.csv,JHB3865_0_linear_constraint,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_07_3874_active,active F2 residual definition,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3874_ACTIVE_F2_RESIDUAL_DEFINITION.csv,AR3874_2_sXF2_active,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_08_3863_owner,Maxwell normalization owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3863_MAXWELL_NORMALIZATION_OWNER_THEOREM.csv,MNO3863_2_normalization_owner_theorem,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_09_3809_norm,Maxwell normalization countermodel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3809_MAXWELL_NORMALIZATION_THEOREM.csv,MNT3809_3_no_extra_F2_countermodel,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_10_3528_domain,operator-domain result,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3528_OPERATOR_DOMAIN_RESULT.csv,OP3528_2_hidden_scalar_lambda,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_11_3507_alpha,alpha/F2 residual vector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3507_ALPHA_RESIDUAL_VECTOR.csv,ARE3507_1_C_XF2,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_12_3883_poynting,Poynting accounting,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3883_MAXWELL_STRESS_POYNTING_DERIVATION.csv,MX3883_4_poynting,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_13_3961_flux,Poynting flux bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3961_POYNTING_NO_FLUX_THEOREM_OR_BOUND.csv,PNF3961_2_flux_bound,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_14_3981_controlled,controlled Poynting silence,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3981_CONTROLLED_POYNTING_SILENCE_THEOREM.csv,CPS3981_0_branch,True,True,False,2026-07-01T18:36:38+00:00
SRC3994_15_3579_flux_rows,Poynting finite flux row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3579_POYNTING_FLUX_BOUND_ROWS.csv,PFB3579_1_Phi_EM_rad,True,True,False,2026-07-01T18:36:38+00:00
