checkpoint,source_id,source_path,path_exists,needle,needle_found,line_number,note,valid_for_claim,timestamp_utc
4676,SRC4676_00_4675_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4675_NEXT_TARGET.csv,True,4676-Y5-R2FR-common-action-current-owner-or-Jm-source-weight-bound-row.md,True,2,4675 selected this target.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_01_4675_survivor,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4675_JM_SURVIVOR_VECTOR.csv,True,SURV4675_0_source_weight,True,2,source-weight survivor.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_02_4675_reduction,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4675_JM_UNOWNED_COMPONENT_REDUCTION.csv,True,RED4675_5_survivor_identity,True,7,Jm survivor reduction.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_03_4675_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4675_VALIDATION.csv,True,"VAL4675_OVERALL,True,PASS",True,16,4675 validation.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_04_doc4675,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4675-Y5-R2FR-source-branch-force-residual-zero-or-first-numeric-bound-row.md,True,J_m_survivor =,True,6,4675 prose.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_05_formal691,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\691-PPC4161-source-branch-force-residual-zero-or-first-numeric-bound-row.md,True,J_m_survivor =,True,6,4675 formal note.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_06_2127_identity,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2127_INERTIAL_ACTIVE_SOURCE_IDENTITY_ATTEMPT.csv,True,IAS2127_2_classical_rescale_obstruction,True,4,classical rescale obstruction.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_07_2127_obstruction,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2127_RETAINED_SOURCE_PREFACTOR_OBSTRUCTIONS.csv,True,OBS2127_0_wA_action,True,2,w_A countermodel.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_08_2127_closure,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2127_EXPLICIT_EP_CLOSURE.csv,True,EPC2127_1_common_quotient,True,3,measured-G common quotient.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_09_4266_common,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4266_SOURCE_READOUT_THEOREM.csv,True,SRCRO4266_3_common_mode_split,True,5,common calibration split.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_10_4266_remainder,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4266_REMAINDER_SPLIT_ROWS.csv,True,REM4266_0_kappa_G_owner,True,2,G/kappa owner retained.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_11_4430_deriv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4430_DERIVATION_ROWS.csv,True,THS4430_1_exchange_filter,True,3,exchange-connected collapse.,False,2026-07-07T17:32:13.265899+00:00
4676,SRC4676_12_4430_sig,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4430_SOURCE_OWNER_SIGNATURE_OUTPUT.csv,True,SIG4430_2_no_source_weight_core,True,4,same-action plus exchange filter.,False,2026-07-07T17:32:13.265899+00:00
