source_id,path,exists,role,valid_for_claim
doc_3437,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3437-Y5-R2FR-q_loc-source-current-coupling-map-or-zero-current-theorem-under-AX1090.md,True,direct matter coupling handoff,False
next_3437,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3437_NEXT_TARGET.csv,True,3438 target declaration,False
coupling_fork_3437,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3437_COUPLING_BRANCH_FORK.csv,True,identity/class/metric-mixing coupling fork,False
direct_current_3437,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3437_DIRECT_MATTER_SOURCE_CURRENT_THEOREM.csv,True,direct J_i matter zero theorem,False
alpha_numerator_3437,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3437_R10_ALPHA_NUMERATOR_STATUS.csv,True,retained alpha numerator components,False
counterexamples_3437,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3437_RETAINED_COUPLING_COUNTEREXAMPLES.csv,True,metric-mixing counterexample,False
source_map_3436,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3436_MTS_ALPHA_SOURCE_MAP_STATUS.csv,True,R10 alpha source-map blocker,False
runner_contract_3436,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3436_ALPHA_LAMBDA_RUNNER_CONTRACT.csv,True,R10 alpha(lambda) runner contract,False
ppn_stack_3434,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3434_FIRST_PPN_RESIDUAL_STACK.csv,True,PPN/R10 residual stack,False
positive_x_nohair_1042,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1042_POSITIVE_X_NOHAIR_IDENTITY.csv,True,positive-X nohair identity,False
source_owner_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_source_owner_parent_action_terms_CONTRACT.csv,True,parent source-owner action blocks,False
source_norm_channel_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_SOURCE_NORMALIZATION_CHANNEL_AUDIT.csv,True,source-normalization channel audit,False
source_norm_coefficients,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_SOURCE_NORMALIZATION_COEFFICIENT_FILL.csv,True,missing scalar/range/nonEH coefficients,False
source_norm_stack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_SOURCE_NORMALIZATION_THEOREM_STACK.csv,True,source-normalization theorem stack,False
constant_gm_hair_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_CONSTANT_GM_DERIVATIVE_HAIR_GATE.csv,True,range/radial/source hair derivative gate,False
eh_selection_1512,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1512-Y5-parent-EH-operator-selection-theorem-or-nonEH-residual-vector.md,True,EH operator selection and retained nonEH vector,False
minimality_1513,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1513-Y5-parent-primitive-minimality-no-higher-derivative-theorem-or-R11-vector-lock.md,True,primitive minimality/nonEH lock,False
tau_kernel_1573,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1573-Y5-RAB-internal-tauR10-source-kernel-or-manual-curve-acceptance.md,True,formal R10 Yukawa kernel law,False
matter_charge_1574,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1574-Y5-RAB-R10-matter-charge-and-ZR-MR2-input-row-or-zero-theorem.md,True,matter charge beta/Z/M input row theorem,False
