source_id,local_path,needle,purpose,valid_for_claim,claim_allowed
SRC1269_0_1268_next,source-intake/mts_residuals/P8_Y5_R10_1268_NEXT_TARGET.csv,NEXT1268_0_1269,handoff to operator exclusion or finite-ZR intake validator,False,False
SRC1269_1_1268_action,source-intake/mts_residuals/P8_Y5_R10_1268_COMPATIBILITY_ACTION_CANDIDATE.csv,CAC1268_2_no_derivative_grammar,no-derivative grammar clause to prove,False,False
SRC1269_2_1268_ap,source-intake/mts_residuals/P8_Y5_R10_1268_AP1265_COMPATIBILITY_CLOSURE_MATRIX.csv,AP1265_1_no_derivatives,AP1265_1 operator-exclusion blocker,False,False
SRC1269_3_1262_minimal,source-intake/mts_residuals/P8_Y5_R10_1262_MINIMAL_ASSUMPTION_AUDIT.csv,MIN1262_2_no_vertical_metric_connection,minimal assumptions needed to ban vertical gradient energy,False,False
SRC1269_4_1262_theorem,1262-Y5-R10-RAB-operator-exhaustion-minimal-assumption-audit-or-ZR-prior-envelope.md,THEO1262_0_vertical_null_ban,conditional vertical-null operator ban,False,False
SRC1269_5_1259_theorem,source-intake/mts_residuals/P8_Y5_R10_1259_OPERATOR_EXCLUSION_THEOREM_CANDIDATE.csv,THEO1259_0_gradient_ban_if_parent_exhaustion,older conditional gradient counterterm ban,False,False
SRC1269_6_1236_typed,source-intake/mts_residuals/P8_Y5_R10_1236_PARENT_TYPED_OBJECT_LANGUAGE_CERTIFICATE_ATTEMPT.csv,CERT1236_6_current_verdict,typed object-language certificate remains not parent-derived,False,False
SRC1269_7_1107_exhaustion,source-intake/mts_residuals/P8_Y5_R10_1107_OBJECT_LANGUAGE_EXHAUSTION_ATTEMPT.csv,OBJECT_LANGUAGE_EXHAUSTION_NOT_DERIVED,object-language exhaustion not derived,False,False
SRC1269_8_1058_operator,source-intake/mts_residuals/P8_Y5_R10_1058_VISIBLE_OPERATOR_DOMAIN_EXHAUSTION_ATTEMPT.csv,REJECT_CURRENT_CLAIM_RETAIN_COUNTERTERM_PRIOR,generic operator-domain exhaustion counterterm warning,False,False
SRC1269_9_1268_template,source-intake/rab-sector/docs/ZR1268_FINITE_ZR_SOURCE_ROW_TEMPLATE_NONCLAIM.csv,ZR1268_TEMPLATE_ZR,finite-ZR docs template to validate/refuse,False,False
