source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2846_0_2845_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2845-Y5-R2FR-CAB-source-current-identity-or-finite-amplitude-inputs-under-AX1090.md,NEXT2845_0_2846;VAL2845_OVERALL,2845 selected parent-current-owner or finite PPN contract,True,True,,False,False,False,False,2026-06-24T11:54:42.231759+00:00
SRC2846_1_2845_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2845_PARENT_CURRENT_OWNER_CONTRACT.csv,OWNER2845_1_current_owner;MISSING_CURRENT_OWNER,2845 owner contract,True,True,,False,False,False,False,2026-06-24T11:54:42.232531+00:00
SRC2846_2_2845_finite,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2845_FINITE_AMPLITUDE_INPUT_ROWS.csv,FIN2845_0_Q_CAB;FIN2845_5_PPN_vector,2845 finite amplitude inputs,True,True,,False,False,False,False,2026-06-24T11:54:42.233434+00:00
SRC2846_3_2845_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2845_NEXT_TARGET.csv,NEXT2845_0_2846,2845 next-target row,True,True,,False,False,False,False,2026-06-24T11:54:42.234263+00:00
SRC2846_4_2845_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2845_VALIDATION.csv,VAL2845_OVERALL,2845 validation,True,True,,False,False,False,False,2026-06-24T11:54:42.235296+00:00
SRC2846_5_2844_flux,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2844_CAB_GREEN_FLUX_IDENTITY.csv,FLUX2844_5_local_suppression_condition;Q_CAB=-sigma_R*q_R_eff,2844 exact charge-balance condition,True,True,,False,False,False,False,2026-06-24T11:54:42.236291+00:00
SRC2846_6_1063,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1063-Y5-R10-source-label-forgetting-Noether-current-owner-or-relative-weight-prior.md,THM1063_5_verdict;NO1063_2_Noether_current_owner,source-label/current owner remains conditional,True,True,,False,False,False,False,2026-06-24T11:54:42.237050+00:00
SRC2846_7_1078,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1078-Y5-R10-parent-action-object-language-measure-current-owner-proof-stack.md,CURRENT_OWNER_NOT_SIGNED;CEK1078_1_current_rescaling,current-rescaling counterexample,True,True,,False,False,False,False,2026-06-24T11:54:42.237726+00:00
SRC2846_8_1884,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1884-Y5-R2FR-no-boundary-charge-source-descent-or-delta-p-input-contract.md,NBC1884_1_exact_zero_flux_lemma;NBC1884_4_no_boundary_charge_parent_signature;SDM1884_2_source_silence,zero-flux lemma and missing source silence,True,True,,False,False,False,False,2026-06-24T11:54:42.238348+00:00
SRC2846_9_1268,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1268-Y5-R10-RAB-second-class-auxiliary-compatibility-action-or-finite-ZR-source-row.md,VAR1268_1_E_R;PASS_ONLY_IF_SOURCES_ZERO,R_AB matter/boundary/readout source silence requirement,True,True,,False,False,False,False,2026-06-24T11:54:42.239078+00:00
SRC2846_10_1882,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1882-Y5-R2FR-sigmaR-profile-coefficient-from-CR-source-normalization-or-no-shadow-action-contract.md,C_R = R_AB = ln(T^2 S);C_R = 2(p-1)u,C_R to PPN residual identity,True,True,,False,False,False,False,2026-06-24T11:54:42.240093+00:00
