source_id,source_path,role,required_anchors,exists,anchors_found,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2983_00_2982_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2982-Y5-R2FR-parent-hbar-measure-owner-source-search-or-wep-tau-product-convention-completion-under-AX1090.md,2982 handoff,Status:;NEXT2982_0_2983,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_01_2982_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2982_NEXT_TARGET.csv,selected 2983 target,NEXT2982_0_2983;WEP live files,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_02_2982_product,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2982_WEP_TAU_PRODUCT_CONVENTION_COMPLETION_AUDIT.csv,2982 product verdict,WEP2982_verdict;PRODUCT_CONVENTION_NOT_COMPLETE,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_03_2982_hbar,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2982_PARENT_HBAR_MEASURE_OWNER_SOURCE_SEARCH.csv,2982 parent owner search,HMO2982_5_search_verdict;NO_PARENT_SIGNED_OWNER_FOUND,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_04_2982_deltawe,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2982_DELTAWE_DEPROXY_STATUS_NONCLAIM.csv,2982 delta_w_e status,DW2982_4_acceptance;DEPROXY_NOT_COMPLETE,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_05_2982_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2982_VALIDATION.csv,2982 validation,VAL2982_OVERALL,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_06_status1482,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\product\P_WEP_eta_product_status_1482.csv,live-file manifest,MAN1482_0_live_readout;MAN1482_6_C_parent_import,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_07_product_convention,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\product_convention\P_WEP_eta_product_convention.csv,partial product convention,tau_eff;PRODUCT_CONVENTION_OFFICIAL_PARTIAL_EXTRACTION_NONCLAIM,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_08_cparent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\C_parent.csv,existing C_parent rows,CP1430_6_verdict;PLACEHOLDER_ROWS_ONLY_RUNNER_BLOCKED,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_09_cparent_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\C_parent_import_schema.csv,C_parent import schema,schema_version;zero_certificate_status,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_10_cparent_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\C_parent_WEP_slot_import_TEMPLATE.csv,C_parent import template,C_PARENT_WEP_SLOT_IMPORT_TEMPLATE;TEMPLATE_ONLY_NOT_IMPORTABLE,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_11_cparent_refusal,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\C_parent_WEP_slot_import_REFUSED_1447.csv,C_parent import refusal,REFUSED_NO_SOURCE_SIGNED_FUNCTIONAL_DERIVATIVE;target_exists,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_12_k_requirements,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout_REQUIREMENTS.csv,K_CMSM readout requirements,KREQ1445_0;live_target_exists,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_13_k_ledger,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\official_KCMSM_bound_inputs_nonclaim_1456.csv,K_CMSM acquisition ledger,KBI1456_6_data_portal;POINTER_ONLY_ACCESS_UNVERIFIED,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_14_source_ledger,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\source_worldtube_pilot_ledger_nonclaim_1457.csv,source-worldtube pilot ledger,PILOT1457_7_verdict;PILOT_BLOCKED_NONCLAIM,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_15_material_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\WEP_material_context_pack_nonclaim_1481.csv,material context pack,MAT1481_6_full_tensor;MISSING_FULL_PARENT_MATERIAL_TENSOR,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_16_1080_inputs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1080_FINITE_WEP_INPUT_PACK_NONCLAIM.csv,finite WEP input pack,FIP1080_1_C_parent;FIP1080_4_K_readout,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_17_1080_material,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1080_MATERIAL_COMPOSITION_AND_TENSOR_CANDIDATES.csv,material tensor candidates,MAT1080_4_full_tensor_upgrade;MISSING_FULL_MATERIAL_TENSOR,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_18_1081_dd,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1081_DD_MATERIAL_DELTA_IMPORT.csv,DD smoke deltas,DDM1081_0_delta_alpha;NUMERIC_SMOKE_DELTA_NONCLAIM,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_19_1437_acq,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1437_SOURCE_ACQUISITION_LEDGER.csv,prior acquisition ledger,ACQ1437_0_C_parent;ACQ1437_3_K_CMSM_readout,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
SRC2983_20_acq_route,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\official_data_acquisition_route_nonclaim_1460.csv,official acquisition route,ACQ1460_0_CMSM_portal_inventory;ACQ1460_7_checksum_and_extractor,True,True,2983,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T07:58:26.871493+00:00
