source_id,source_path,exists,needle,needle_found,role,valid_for_claim,generated_utc
SRC1029_0_1028_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1028_NEXT_TARGET.csv,true,1029-Y5-R10-cg-no-shadow,true,1028 handoff to c_g/no-shadow frame target.,false,2026-06-14T06:17:54.262349+00:00
SRC1029_1_1028_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1028_NO_MARKER_THEOREM_AUDIT.csv,true,NM1028_4_no_shadow_frame,true,1028 identifies no-shadow-frame as a missing theorem.,false,2026-06-14T06:17:54.262668+00:00
SRC1029_2_1028_bound_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1028_FRAME_MARKER_BOUND_INPUT_PACK.csv,true,FMB1028_0_cg,true,1028 c_g row and projection requirements.,false,2026-06-14T06:17:54.262983+00:00
SRC1029_3_1028_links,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1028_OBSERVABLE_LINK_MAP.csv,true,OL1028_0_R10_alpha,true,1028 observable map for c_g.,false,2026-06-14T06:17:54.263278+00:00
SRC1029_4_943_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_943_COFRAME_COUPLING_CONTRACT.csv,true,CFC943_6_no_shadow_frame_rule,true,943 no-shadow-frame rule as contract.,false,2026-06-14T06:17:54.263575+00:00
SRC1029_5_944_frame_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_944_FRAME_LEAK_BOUND_PACK.csv,true,FLB944_0_cg_weyl,true,944 c_g frame-leak bound row.,false,2026-06-14T06:17:54.263868+00:00
SRC1029_6_945_obs_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_945_OBS_E_FUNCTOR_AUDIT.csv,true,OBS945_3_representative_weyl,true,945 representative Weyl counterexample.,false,2026-06-14T06:17:54.264158+00:00
SRC1029_7_945_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_945_KERNEL_TEST.csv,true,KT945_4_representative_weyl,true,945 kernel test for representative Weyl variation.,false,2026-06-14T06:17:54.264446+00:00
SRC1029_8_946_interface,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_946_CG_BA_BOUND_INTERFACE.csv,true,CGB946_0_cg_R10,true,946 empirical c_g interface.,false,2026-06-14T06:17:54.264736+00:00
SRC1029_9_947_projection,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_947_PROJECTION_FILL_ATTEMPT.csv,true,PFA947_4_cg_parent_value,true,947 c_g parent value/projection gap.,false,2026-06-14T06:17:54.265033+00:00
SRC1029_10_951_provenance,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_951_PROVENANCE_GATE_SCHEMA.csv,true,PGS951_0_numeric_value,true,951 finite coefficient provenance gate.,false,2026-06-14T06:17:54.265328+00:00
SRC1029_11_952_intake,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_952_COEFFICIENT_INTAKE_TEMPLATE.csv,true,CIT952_4_zero_theorem_switch,true,952 coefficient intake template.,false,2026-06-14T06:17:54.265625+00:00
