same_parent_branch_id,fill_id,source_component_id,operator_family,component,formal_map,zero_or_safe_condition,affected_rows,required_real_input,current_status,bound_or_target,valid_for_claim,claim_allowed,parent_signed,numeric_value_present,source_backed,score_ready,valid_prediction_row
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_0_delta_beta_source,B530_0_source_AB,source_normalization_operator,delta_beta_source,delta_beta_source=B_source/A_source^2-1,source equation or EH mass-family theorem gives B_source=A_source^2 after measured-GM normalization,R1;R4;R9;R10;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_A_B_SOURCE_EQUATION_OR_MEASURED_GM_OPERATOR_ZERO,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_1_delta_beta_R2_fR,B530_1_R2_fR_scalar,R2_fR_scalar_mode,delta_beta_R2_fR,"coefficient/scalar-mass/source-coupling -> gamma,beta,alpha(lambda) residual map","c_R2=c_fR=0, scalar mass infinite, source coupling zero, or mapped residual below beta/gamma/R10 locks",R3;R4;R10;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_C_R2_C_FR_ZERO_OR_FINITE_SCALAR_MAP,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_2_delta_beta_Ricci_Weyl,B530_2_Ricci_Weyl,Ricci_Weyl_squared,delta_beta_Ricci_Weyl,"c_Ricci,c_Weyl -> quadratic metric slip/location response","coefficients zero, pure topological combination with harmless boundary, or weak-field map below beta/gamma/xi locks",R3;R8;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_CURVATURE_SQUARED_ZERO_OR_WEAK_FIELD_MAP,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_3_delta_beta_scalar_class,B530_3_scalar_class,scalar_tensor_class_metric,delta_beta_scalar_class,scalar/class charge and nonlinear completion -> B/A^2 residual,"phi/C constant universal with zero stress/source charge, infinite mass, or mapped residual below locks",R2;R3;R4;R9;R10;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_SCALAR_CLASS_NOHAIR_OR_COUPLING_MAP,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_4_delta_beta_boundary,B530_4_boundary,boundary_topological_terms,delta_beta_boundary,"boundary stress/monopole/quadratic response -> beta, alpha3, xi shifts","pure boundary/topological/class term has no exterior stress, no flux, no monopole shift, and no readout stress",R3;R4;R7;R8;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_BOUNDARY_TOPOLOGICAL_NOFLUX_OR_COEFFICIENT,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_5_delta_beta_projector_domain,B530_5_projector_domain,projector_domain_stress,delta_beta_projector_domain,projector/domain stress coefficient -> beta plus preferred-frame/location vector,projector/domain variables are metric-independent topological masks or first-class constraints with zero exterior stress,R5;R6;R7;R8;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_PROJECTOR_DOMAIN_STRESS_ZERO_OR_COEFFICIENT,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_6_delta_beta_nonlocal,B530_6_nonlocal_memory,nonlocal_memory_kernel,delta_beta_nonlocal,"kernel norm/locality response -> beta, alpha3, Gdot, alpha(lambda)","compact-local kernel silence, screening, zero norm, or residual map below local locks",R7;R9;R10;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_COMPACT_LOCAL_KERNEL_SILENCE_OR_KERNEL_NORM,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_7_delta_beta_q_loc,B530_7_q_loc,q_loc_Gamma_Khat,delta_beta_q_loc,P_loc(nabla^nu Gamma_eff-nabla_mu Khat^{mu nu}) projected to physical U^2 normalization,Ward-zero through O(U^2) or compact profile maps below beta without violating alpha3/preferred-frame gates,R3;R4;R7;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",PROVISIONAL_QLOC_U2_BUDGET_NOT_PARENT_SIGNED,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_8_delta_beta_connection_readout,B530_8_torsion_nonmetricity,torsion_nonmetricity,delta_beta_connection_readout,independent connection residues -> source/light/clock/WEP and possible metric readout beta leakage,Levi-Civita compatibility theorem or projective/spin modes are inert for all matter/readout sectors,R0;R1;R2;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_LEVI_CIVITA_OR_CONNECTION_RESIDUAL_MAP,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,FILL1586_9_delta_beta_vector_frame,B530_9_vector_preferred_frame,vector_preferred_frame,delta_beta_vector_frame,"vector/domain/aether stress -> alpha1, alpha2, alpha3, xi and possible beta cross-term","vector absent, pure gauge, dynamically aligned with zero stress, or mapped below preferred-frame locks",R5;R6;R7;R8;R11,"theorem-zero parent signature or numeric coefficient with units, normalization, weak-field beta map and source path",MISSING_VECTOR_ABSENCE_OR_PREFERRED_FRAME_MAP,abs(component) included in Delta_beta_total_abs <= 7.8e-05 with no cancellation,False,False,False,False,False,False,False
