checkpoint,source_id,path,path_exists,needle,needle_found,line_number,role,valid_for_claim
4369,SRC4369_00_4368_formal,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\384-PPC4161-transition-parent-sign-common-source-normalization-or-final-WEP-product-quarantine.md,True,NEXT4368_0_epsilon_Gsrc,True,94,4368 selects epsilon_Gsrc_open as the next non-product source-coupling lane.,False
4369,SRC4369_01_4368_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4368_NEXT_TARGET.csv,True,derive/project epsilon_Gsrc_open,True,2,4368 next target asks for epsilon_Gsrc projection before scoring local GR.,False
4369,SRC4369_02_4362_csrc_basis,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4362_CSRC_VECTOR_BASIS.csv,True,CSRC4362_3_epsilon_Gsrc_open,True,5,4362 defines epsilon_Gsrc_open as the non-product source/coupling drift envelope.,False
4369,SRC4369_03_4362_arena_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4362_CSRC_ARENA_PROJECTION_CONTRACT.csv,True,ARENA4362_6_Newton_source,True,8,Newton/source-normalization arena waiting for parent-owned source normalization and source mass owner.,False
4369,SRC4369_04_4178_chain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4178_COUPLING_DERIVATION_CHAIN.csv,True,KGL4178_4_Poisson,True,6,4178 derives the private Poisson coefficient from EH block plus same Hilbert source.,False
4369,SRC4369_05_4178_reactivation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4178_REACTIVATION_LEDGER.csv,True,RE4178_1_ZH_leak,True,3,source-measure leaks reopen source-normalization rows.,False
4369,SRC4369_06_4178_guards,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4178_ANTI_CIRCULARITY_GUARDS.csv,True,AC4178_2_no_source_label_absorption,True,4,4178 guard forbids hiding source labels in G.,False
4369,SRC4369_07_formal_194,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\194-PPC4161-calibrated-source-coupling-kappa-to-GN-law.md,True,nabla^2 Phi_N = 4*pi G_cal rho_H,True,47,formal calibrated source-coupling law.,False
4369,SRC4369_08_formal_187,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\187-PPC4161-Poisson-Gauss-Newton-readout-from-Hamiltonian-source-charge.md,True,No observed orbital `GM`,True,77,Newton source mass must be defined before orbital readout.,False
4369,SRC4369_09_formal_188,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\188-PPC4161-full-PPN-readout-vector.md,True,gamma = 1,True,40,PPN vector exists in the private packet when source/conservation clauses hold.,False
4369,SRC4369_10_4334_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4334_PROJECTION_MATRIX_SOURCE_CONTRACT.csv,True,PI4334_1_PPN,True,3,projection-matrix discipline for local tests.,False
4369,SRC4369_11_4361_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4361_THEOREM_ROWS.csv,True,TH4361_3_full_owner_no_wA,True,5,owner/no-wA theorem remains conditional and unsigned.,False
