source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2844_0_2843_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2843-Y5-R2FR-CAB-target-map-zero-or-finite-tauPPN-source-pack-under-AX1090.md,A_CAB = -sigma_R q_R_eff/(4 pi);VAL2843_OVERALL,2843 selected amplitude cancellation target,True,True,,False,False,False,False,2026-06-24T11:45:50.532692+00:00
SRC2844_1_2843_profile,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2843_TAUPPN_PROFILE_WITH_CAB_AMPLITUDE.csv,PROF2843_2_constant_amplitude;PROF2843_3_cancellation_law,2843 C_AB amplitude profile rows,True,True,,False,False,False,False,2026-06-24T11:45:50.533540+00:00
SRC2844_2_2843_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2843_FINITE_TAUPPN_SOURCE_PACK.csv,PACK2843_0_A_CAB;PACK2843_2_q_R_eff,2843 missing source pack,True,True,,False,False,False,False,2026-06-24T11:45:50.534307+00:00
SRC2844_3_2843_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2843_NEXT_TARGET.csv,NEXT2843_0_2844,2843 handoff to 2844,True,True,,False,False,False,False,2026-06-24T11:45:50.534937+00:00
SRC2844_4_2843_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2843_VALIDATION.csv,VAL2843_OVERALL,2843 validation,True,True,,False,False,False,False,2026-06-24T11:45:50.535392+00:00
SRC2844_5_2842_tau,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2842_FINITE_TAUPPN_PROFILE.csv,TAUP2842_3_explicit_profile;TAUP2842_5_constant_limit,2842 finite tauPPN profile,True,True,,False,False,False,False,2026-06-24T11:45:50.535839+00:00
SRC2844_6_1268,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1268-Y5-R10-RAB-second-class-auxiliary-compatibility-action-or-finite-ZR-source-row.md,R_AB-C_AB=0;VAR1268_0_E_Lambda;VAR1268_2_aux_elimination,auxiliary compatibility surface,True,True,,False,False,False,False,2026-06-24T11:45:50.536335+00:00
SRC2844_7_1882,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1882-Y5-R2FR-sigmaR-profile-coefficient-from-CR-source-normalization-or-no-shadow-action-contract.md,C_R = R_AB = ln(T^2 S);C_R = 2(p-1)u,weak-field reciprocal residual identity,True,True,,False,False,False,False,2026-06-24T11:45:50.536943+00:00
SRC2844_8_11,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\11-cell-current-origin-attempt.md,R_AB = -Q_R/r.;conserves Q_R but permits hair.,one-over-r hair and boundary warning,True,True,,False,False,False,False,2026-06-24T11:45:50.537341+00:00
SRC2844_9_10,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\10-observer-map-symplectic-contract.md,R_AB = ln(T^2 S);R_AB = 0,observer map local GR target,True,True,,False,False,False,False,2026-06-24T11:45:50.537735+00:00
