source_id,source_path,exists,needle,needle_found,role,generated_utc
SRC1010_0_1009_next,source-intake/mts_residuals/P8_Y5_R10_1009_NEXT_TARGET.csv,true,Gamma-Khat-action-existence,true,1009 handoff target.,2026-06-14T04:26:41.712464+00:00
SRC1010_1_1009_contract,source-intake/mts_residuals/P8_Y5_R10_1009_PARENT_SECTOR_CONTRACT.csv,true,PCS1009_4_Gamma_Khat_extra,true,1009 identifies Gamma/Khat as hard fail.,2026-06-14T04:26:41.720663+00:00
SRC1010_2_1009_claim_gate,source-intake/mts_residuals/P8_Y5_R10_1009_CLAIM_GATE.csv,true,CG1009_3_GK_q_loc_zero,true,prior gate keeps q_loc zero blocked.,2026-06-14T04:26:41.728140+00:00
SRC1010_3_GK_contract,source-intake/mts_residuals/P8_GAMMA_KHAT_QLOC_FIRST_VARIATION_CONTRACT.csv,true,GK513_0_action_existence,true,first variation contract.,2026-06-14T04:26:41.728585+00:00
SRC1010_4_GK_source_register,source-intake/mts_residuals/P8_GAMMA_KHAT_QLOC_SOURCE_REGISTER.csv,true,Gamma-Khat-q_loc first-variation target,true,prior source register.,2026-06-14T04:26:41.728978+00:00
SRC1010_5_GK_candidates,source-intake/mts_residuals/P8_GK_STRESS_ACTION_CANDIDATES.csv,true,GK514_A_metric_response_scalar_density,true,candidate S_GK action routes.,2026-06-14T04:26:41.729360+00:00
SRC1010_6_GK_gate_tests,source-intake/mts_residuals/P8_GK_STRESS_ACTION_GATE_TESTS.csv,true,G514_2_current_MTS_match,true,current match failure gate.,2026-06-14T04:26:41.729736+00:00
SRC1010_7_GK_decision,source-intake/mts_residuals/P8_GK_STRESS_ACTION_DECISION.csv,true,D514_1,true,prior decision: current MTS not matched.,2026-06-14T04:26:41.730110+00:00
SRC1010_8_Gamma_owner,source-intake/mts_residuals/P8_GAMMA_OWNER_CANDIDATE_ACTION.csv,true,GO516_A_response_doublet_quadratic_density,true,Gamma owner candidate action routes.,2026-06-14T04:26:41.730485+00:00
SRC1010_9_metric_response_evidence,source-intake/mts_residuals/P8_GK_METRIC_RESPONSE_SOURCE_EVIDENCE.csv,true,E515_4_source_current_audit,true,metric response clue and limitations.,2026-06-14T04:26:41.730866+00:00
SRC1010_10_symbol_gate,source-intake/mts_residuals/P8_MTS_SYMBOL_FIRST_VARIATION_GATES.csv,true,FV512_2_Gamma_Khat_q,true,symbol first-variation gate.,2026-06-14T04:26:41.731242+00:00
SRC1010_11_symbol_map,source-intake/mts_residuals/P8_MTS_SYMBOL_TO_LOCAL_GR_ACTION_MAP.csv,true,q_loc^nu,true,"q_loc is derived residual, not fundamental field.",2026-06-14T04:26:41.731625+00:00
SRC1010_12_Noether_audit,source-intake/mts_residuals/P8_YLOC_SOURCE_CURRENT_NOETHER_AUDIT.csv,true,N5_verdict,true,Noether alone does not prove zero.,2026-06-14T04:26:41.732020+00:00
SRC1010_13_response_doublet,source-intake/mts_residuals/P8_RESPONSE_DOUBLET_ACTION_CONTRACT.csv,true,RD516_2_metric_response,true,response doublet contract.,2026-06-14T04:26:41.732402+00:00
SRC1010_14_response_variation,source-intake/mts_residuals/P8_RESPONSE_DOUBLET_ACTION_VARIATION.csv,true,AV517_4_Euler_equation,true,response doublet variation obstruction.,2026-06-14T04:26:41.732856+00:00
SRC1010_15_local_residual_vector,source-intake/mts_residuals/P8_LOCAL_GR_RESIDUAL_VECTOR_FROM_DOMAIN_SOURCE.csv,true,LRV_TOTAL_ALPHA3_GUARD,true,residual retention observable map.,2026-06-14T04:26:41.733276+00:00
