source_id,source_path,exists,role,generated_utc
664_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\664-Y5-R10-Hamiltonian-PiM-integrability-source-equality-or-first-residual-fill.md,true,fresh parent result selecting FB554_0 as first hard residual target,2026-06-06T21:19:50+00:00
664_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_664_VALIDATION.csv,true,prior 664 validation,2026-06-06T21:19:50+00:00
664_first_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_664_FIRST_RESIDUAL_FILL.csv,true,FB554_0 selection and formula,2026-06-06T21:19:50+00:00
664_integrability_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_664_INTEGRABILITY_ATTEMPT.csv,true,Hamiltonian integrability/reference/tau/boundary attempt rows,2026-06-06T21:19:50+00:00
664_obstruction,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_664_OBSTRUCTION_LEDGER.csv,true,fresh obstruction ledger for Hamiltonian PiM source charge,2026-06-06T21:19:50+00:00
554_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\554-Y5-Hamiltonian-charge-integrability-reference-lock-or-source-equality-fill.md,true,Hamiltonian charge integrability/reference lock and source equality fill checkpoint,2026-06-06T21:19:50+00:00
554_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_554_VALIDATION.csv,true,prior 554 validation,2026-06-06T21:19:50+00:00
554_fill_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HAMILTONIAN_INTEGRABILITY_SOURCE_EQUALITY_FILL_ROWS.csv,true,current FB554_0 unfilled row with missing markers,2026-06-06T21:19:50+00:00
554_evaluator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HAMILTONIAN_INTEGRABILITY_SOURCE_EQUALITY_EVALUATOR.csv,true,prior nonclaim evaluator for FB554 rows,2026-06-06T21:19:50+00:00
554_integrability_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HAMILTONIAN_CHARGE_INTEGRABILITY_REFERENCE_ATTEMPT.csv,true,prior Hamiltonian charge integrability/reference attempt,2026-06-06T21:19:50+00:00
548_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\548-Y5-boundary-reference-theorem-certificate-attempt-or-first-numeric-bound-fill.md,true,reference-lock certificate attempt and first numeric-bound fill,2026-06-06T21:19:50+00:00
548_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_548_VALIDATION.csv,true,prior 548 validation,2026-06-06T21:19:50+00:00
545_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\545-Y5-boundary-reference-minimal-action-clause-or-residual-row.md,true,minimal action clauses for boundary/reference zero,2026-06-06T21:19:50+00:00
545_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BOUNDARY_REFERENCE_545_VALIDATION.csv,true,prior 545 validation,2026-06-06T21:19:50+00:00
545_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BOUNDARY_REFERENCE_MINIMAL_ACTION_CONTRACT.csv,true,minimal parent clauses needed for boundary/reference zero,2026-06-06T21:19:50+00:00
545_parent_ownership,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BOUNDARY_REFERENCE_PARENT_OWNERSHIP_AUDIT.csv,true,ownership audit showing parent clauses are unsigned,2026-06-06T21:19:50+00:00
544_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\544-Y5-boundary-reference-first-row-data-or-theorem-zero.md,true,data-source and theorem-zero audit for boundary/reference first row,2026-06-06T21:19:50+00:00
544_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BOUNDARY_REFERENCE_544_VALIDATION.csv,true,prior 544 validation,2026-06-06T21:19:50+00:00
