same_parent_branch_id,source_id,source_path,exists,needle_found,needles,purpose,parent_signed,numeric_value_present,source_backed,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_0_1576_doc,1576-Y5-RAB-constraint-no-pole-or-quotient-map-construction.md,True,True,NEXT_1577_RADIAL_OBSERVER_CELL_CURRENT_OR_FINITE_COMPONENT_BOUND_FILL; conserved radial observer-cell/current no-charge theorem,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_1_1576_validation,source-intake/mts_residuals/P8_Y5_BRR545_1576_VALIDATION.csv,True,True,VAL1576_OVERALL; PASS,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_2_1576_constraint,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1576_RAB_CONSTRAINT_NO_POLE_TEST.csv,True,True,CNP1576_5_verdict; FAIL_CURRENT_CLAIM_CONSTRAINT_NO_POLE_NOT_DERIVED,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_3_1576_fallback,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1576_RAB_FINITE_FALLBACK_COMPONENT_ROWS.csv,True,True,FF1576_0_constraint_origin; MISSING_PARENT_CONSTRAINT_ORIGIN,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_4_05_reciprocity,05-reciprocity-theorem-attempt.md,True,True,W R_AB' = Q_R.; hidden obstruction = Q_R reciprocal hair,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_5_06_source_neutrality,06-reciprocal-charge-source-neutrality.md,True,True,Pi_R = 0 -> Q_R = 0 -> R_AB = 0 -> AB = 1.; Q_R neutrality is the missing source theorem,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_6_09_radial_cell,09-hamiltonian-radial-cell-derivation.md,True,True,hamiltonian_radial_cell_sharpened_not_parent_derived; separate radial cell gives p=1 exactly,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_7_10_observer,10-observer-map-symplectic-contract.md,True,True,a conserved cell current with a no-charge theorem; derive R_AB=0 from the parent theory,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_8_11_cell_current,11-cell-current-origin-attempt.md,True,True,cell_current_origin_no_charge_obstruction; Q_R = constant.,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_9_12_noether,12-gauge-noether-origin-audit.md,True,True,gauge_noether_origin_not_derived_closure_only; Noether structure can explain a constraint only after,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_10_1267_first_class,1267-Y5-R10-first-class-RAB-parent-constraint-synthesis-or-finite-ZR-source-acquisition.md,True,True,ordinary current gives Q_R hair; SECOND_CLASS_OR_HOLONOMIC_NOT_FIRST_CLASS,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1577_11_1274_unimodular,1274-Y5-R10-RAB-unimodular-radial-cell-constraint-origin-or-finite-residual-intake.md,True,True,does not derive the unimodular radial observer-cell condition; GR_STYLE_DIFFERENCE_SELECTED,radial observer-cell current no-charge attempt or finite component fill,False,False,False,False,False,False,False
