branch,row_id,valid_for_claim,public_claim,created_utc,source_path,purpose,required_needles,status,missing_needles
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1964_doc,False,False,2026-06-20T00:40:14.095396+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1964-Y5-R2FR-owned-coframe-legitimacy-and-EH-second-order-gate.md,1965 R2/fR zero proof or executable R11 bound row,R11X1964_0_R2_fR_scalar;EH2_1964_2_central_blocker;NEXT1964_0_primary,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1964_validation,False,False,2026-06-20T00:40:14.096477+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1964_VALIDATION.csv,1965 R2/fR zero proof or executable R11 bound row,VAL1964_OVERALL;PASS,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1339_eh_gate,False,False,2026-06-20T00:40:14.097811+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1339-Y5-R10-RAB-source-closure-to-EH-left-hand-local-GR-reduction-gate.md,1965 R2/fR zero proof or executable R11 bound row,R11V1339_0_R2_fR_scalar;EHGate1339_2_second_order;SHORT1339_1_no_Lovelock_without_premises,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1340_interface,False,False,2026-06-20T00:40:14.099166+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1340-Y5-R10-RAB-EH-core-selection-or-first-executable-R11-residual-interface.md,1965 R2/fR zero proof or executable R11 bound row,EH1340_2_R2FR_obstruction;R11SCHEMA1340_1_R2FR;ZERO1340_0_R2FR,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,958_premise_csv,False,False,2026-06-20T00:40:14.101145+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_958_EH_PREMISE_AUDIT.csv,1965 R2/fR zero proof or executable R11 bound row,EHP958_P6_second_order,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,960_attempt_csv,False,False,2026-06-20T00:40:14.102288+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_960_R2_FR_ZERO_OR_BOUND_ATTEMPT.csv,1965 R2/fR zero proof or executable R11 bound row,R2FR960_1_second_order_filter;R2FR960_4_verdict,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,960_bound_pack,False,False,2026-06-20T00:40:14.103439+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_960_PRIORITY_BOUND_PACK.csv,1965 R2/fR zero proof or executable R11 bound row,BPACK960_0;R2_fR_scalar_mode,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,963_runner_spec,False,False,2026-06-20T00:40:14.104495+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_963_R2FR_BOUND_RUNNER_SPEC.csv,1965 R2/fR zero proof or executable R11 bound row,R2RUN963_4_decision_logic,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,964_minimality,False,False,2026-06-20T00:40:14.105572+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_964_MINIMALITY_THEOREM_ATTEMPT.csv,1965 R2/fR zero proof or executable R11 bound row,MIN964_5_verdict;THEOREM_NOT_PROVEN_CURRENT_CORPUS,EXISTS_NEEDLES_CONFIRMED,
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,964_runner,False,False,2026-06-20T00:40:14.106701+00:00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_964_R2FR_NONCLAIM_RUNNER_RESULT.csv,1965 R2/fR zero proof or executable R11 bound row,R2RUN964_VERDICT;R2FR_BRANCH_BLOCKED_NONCLAIM,EXISTS_NEEDLES_CONFIRMED,
