checkpoint,source_id,path,path_exists,needle,needle_found,line_number,role,valid_for_claim
4449,SRC4449_00_next4448,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4448_NEXT_TARGET.csv,True,4449-Y5-R2FR-parent-motion-frame-A-MF-adoption-or-derived-flow-symmetry.md,True,2,4448 selected A_MF target.,False
4449,SRC4449_01_formal464,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\464-PPC4161-non-source-PPN-residual-survivor-map-or-first-material-Req-value.md,True,Actual derivation blocker: A_MF,True,18,4448 ranking map.,False
4449,SRC4449_02_4070,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4070-Y5-R2FR-psi-packet-coframe-parent-action-normalization-and-torsion-gate.md,True,exact scalar gradients alone do **not** derive local GR,True,19,flatness obstruction.,False
4449,SRC4449_03_4071,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4071-Y5-R2FR-Cartan-solder-field-origin-from-MTS-flow-or-demotion.md,True,If MTS owns local internal motion-frame symmetry,True,14,conditional compensator forcing.,False
4449,SRC4449_04_4072,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4072-Y5-R2FR-local-motion-frame-gauge-action-or-effective-GR-demotion.md,True,motion_frame_gauge_action = formal_private_candidate,True,39,formal private candidate action.,False
4449,SRC4449_05_formal179,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\179-PPC4048-local-parent-packet-candidate.md,True,PPC4048_4070_4072_motion_frame_gauge_candidate = true,True,154,packet candidate record.,False
4449,SRC4449_06_formal198,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\198-PPC4161-motion-frame-symmetry-parent-signature-gate.md,True,The internal motion-frame labels of X^A=L_* Psi^A are local gauge redundancies,True,16,A_MF adoption-ready axiom.,False
4449,SRC4449_07_4182_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4182_EFFECTIVE_GR_LABEL_DECISION.csv,True,current_MTS_local_GR_derivation,True,1,older derivation not found.,False
4449,SRC4449_08_4182_sweep,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4182_PARENT_SYMMETRY_EVIDENCE_SWEEP.csv,True,EV4182_7_current_verdict,True,9,source sweep verdict.,False
4449,SRC4449_09_4182_forcing,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4182_COMPENSATOR_FORCING_DERIVATION.csv,True,FD4182_4_covariant_coframe,True,6,compensator forcing theorem.,False
4449,SRC4449_10_formal199,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\199-PPC4161-motion-frame-axiom-adoption-consequences-and-test-contract.md,True,A_MF_ADOPTION_CONTRACT_WRITTEN,True,5,A_MF consequences formal note.,False
4449,SRC4449_11_4183_fork,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4183_FORK_DECISION.csv,True,A_MF_adoption_contract_written,True,1,machine adoption contract status.,False
4449,SRC4449_12_4183_consequence,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4183_A_MF_ADOPTION_CONSEQUENCE_MATRIX.csv,True,AC4183_0_A_MF_adoption,True,2,A_MF consequence matrix.,False
4449,SRC4449_13_formal200,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\200-PPC4161-Palatini-IR-normal-form-selector-under-AMF.md,True,if `A_MF` is adopted,True,9,IR selector under A_MF.,False
4449,SRC4449_14_4184_selector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4184_IR_SELECTOR_AXIOM_SET.csv,True,SEL4184_0_A_MF,True,2,A_MF owned as candidate in selector.,False
4449,SRC4449_15_4184_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4184_BRANCH_DECISION.csv,True,selector_assumptions_parent_derived,True,1,IR selector still parent debt.,False
4449,SRC4449_16_4184_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4184_RESIDUAL_EFT_BOUND_LEDGER.csv,True,RB4184_3_cGamma,True,5,residual coefficient ledger.,False
4449,SRC4449_17_proof_obligations,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\19-proof-obligations.md,True,parent-sign local motion-frame Lorentz + translation gauge symmetry,True,5147,proof obligation.,False
4449,SRC4449_18_spine,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\07-unification-spine.md,True,motion_frame_gauge_parent_candidate = true,True,2842,spine candidate status.,False
4449,SRC4449_19_core_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\core-mts-framework\action-principle\the-motion-timespace-action-principle.md,True,The fundamental object is a scalar motion field,True,59,older primitive scalar source.,False
4449,SRC4449_20_fund_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\core-mts-framework\action-principle\the-fundamental-action-of-motion-timespace-field-theory.md,True,gradients encode directional flow of curvature information,True,77,flow clue but not A_MF proof.,False
4449,SRC4449_21_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\a_mf_adoption_gate.py,True,def evaluate_evidence_row,True,44,4449 A_MF gate.,False
4449,SRC4449_22_generator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4449_parent_motion_frame_A_MF_adoption_or_derived_flow_symmetry.py,True,"CHECKPOINT = ""4449""",True,23,4449 generator.,False
