refusal_id,object,current_status,refusal_status,failure_reasons,score_eligible,claim_allowed,valid_for_claim,generated_utc
REF1041_XC1041_0_absent_quotient,X is not a primitive parent field,BEST_THEOREM_ROUTE_NOT_PARENT_SIGNED,candidate_not_parent_selected,"must prove X is a coordinate/readout artefact before variation, not a post-hoc deletion",false,false,false,2026-06-14T07:39:10.759344+00:00
REF1041_XC1041_1_first_class_vertical_constraint,X is a first-class vertical gauge/constraint direction,BEST_ACTIVE_ROUTE_BUT_INCOMPLETE,candidate_not_parent_selected,"requires parent Omega, D C_X, all-field v_X, bracket closure, degree count, and matter descent",false,false,false,2026-06-14T07:39:10.759352+00:00
REF1041_XC1041_2_positive_sourcefree_physical_X,X is a physical positive operator but source-free in the local branch,VIABLE_NOHAIR_ROUTE_INPUTS_MISSING,candidate_not_parent_selected,a physical Green function exists; any source/readout leakage becomes a fifth-force residual,false,false,false,2026-06-14T07:39:10.759356+00:00
REF1041_XC1041_3_sourced_residual,X is a physical sourced field,EMPIRICAL_FALLBACK_ONLY,candidate_not_parent_selected,not a local-GR derivation by itself; it is a testable residual framework,false,false,false,2026-06-14T07:39:10.759359+00:00
REF1041_XC1041_4_universal_conformal,matter sees exp(2 a X) g,COUNTERMODEL_NOT_SOLUTION,candidate_not_parent_selected,cheap universal coupling does not prove GR; it creates a fifth-force countermodel unless a=0 is derived,false,false,false,2026-06-14T07:39:10.759363+00:00
REF1041_TPX1041_0_general_variation,finite-order parent X sector,GENERAL_TEMPLATE_DERIVED_NOT_PARENT_SELECTED,ThetaX_PX_template_not_claim_promoted,"L_X is selected with field normalization, derivative order, density convention, and boundary class",false,false,false,2026-06-14T07:39:10.759371+00:00
REF1041_TPX1041_1_first_derivative,first-derivative template,FORMULA_READY_LX_MISSING,ThetaX_PX_template_not_claim_promoted,L_X has no higher derivatives or higher-derivative boundary terms have been reduced by auxiliary fields,false,false,false,2026-06-14T07:39:10.759374+00:00
REF1041_TPX1041_2_finite_jet,higher finite-jet template,FORMULA_READY_FINITE_JET_ORDER_MISSING,ThetaX_PX_template_not_claim_promoted,finite derivative order N and all corner/counterterm conventions are declared,false,false,false,2026-06-14T07:39:10.759378+00:00
REF1041_TPX1041_3_Noether_PX,P_X from vertical generator,CONTRACT_READY_FIELD_ACTION_AND_CONVENTION_MISSING,ThetaX_PX_template_not_claim_promoted,v_X action on every parent field and the tensor/density convention for C_X are fixed,false,false,false,2026-06-14T07:39:10.759381+00:00
REF1041_TPX1041_4_positive_scalar_example,minimal positive scalar-like residual example,EXAMPLE_ONLY_NOT_SELECTED,ThetaX_PX_template_not_claim_promoted,"X really is the retained scalar amplitude, Z_X>0, M_X^2>0, J_X and boundary data are source-owned",false,false,false,2026-06-14T07:39:10.759384+00:00
REF1041_TPX1041_5_verdict,Theta_X/P_X owner status,FAIL_CURRENT_CLAIM_THETAX_PX_NOT_PARENT_OWNED,ThetaX_PX_template_not_claim_promoted,one candidate in XC1041 closes its owner gates,false,false,false,2026-06-14T07:39:10.759387+00:00
REF1041_TOG1041_0_parent_route,select one parent X route,ROUTE_NOT_PARENT_SELECTED,owner_gate_failed,Theta_X/P_X remain a menu rather than an action,false,false,false,2026-06-14T07:39:10.759390+00:00
REF1041_TOG1041_1_field_content,field list and transformation law,FIELD_ACTION_INCOMPLETE,owner_gate_failed,P_X cannot be computed from Theta_X,false,false,false,2026-06-14T07:39:10.759394+00:00
REF1041_TOG1041_2_operator_signs,positive/no-pole or residual operator,OPERATOR_SIGNS_MISSING,owner_gate_failed,local-GR reduction cannot tell no-hair from hidden dynamics,false,false,false,2026-06-14T07:39:10.759397+00:00
REF1041_TOG1041_3_source_zero,source/test blindness,SOURCE_ZERO_OR_BOUND_MISSING,owner_gate_failed,R10/WEP/clock/PPN/orbital residual rows remain live,false,false,false,2026-06-14T07:39:10.759400+00:00
REF1041_TOG1041_4_boundary_flux,boundary no-flux or coefficient row,BOUNDARY_FLUX_ZERO_OR_BOUND_MISSING,owner_gate_failed,K_boundary_alpha3 and edge R10 templates remain nonclaim,false,false,false,2026-06-14T07:39:10.759403+00:00
REF1041_TOG1041_5_verdict,claim-grade Theta_X/P_X owner,FAIL_CURRENT_CLAIM_THETAX_PX_OWNER_MISSING,owner_gate_failed,demote to nonclaim coefficient priors/templates,false,false,false,2026-06-14T07:39:10.759406+00:00
REF1041_BCP1041_0_K_boundary_alpha3,K_boundary_alpha3,NONCLAIM_PRIOR_SCHEMA_READY_INPUTS_MISSING,coefficient_prior_not_scoreable,Phi_boundary_local numeric/source-backed or theorem-zero; normalization; uncertainty policy,false,false,false,2026-06-14T07:39:10.759410+00:00
REF1041_BCP1041_1_Phi_boundary_local,Phi_boundary_local,NONCLAIM_PRIOR_SCHEMA_READY_INPUTS_MISSING,coefficient_prior_not_scoreable,"boundary norm, surface, units, time/source normalization, topology/corner policy",false,false,false,2026-06-14T07:39:10.759414+00:00
REF1041_BCP1041_2_edge_R10_coefficients,K_edge;Qbar_edge_XH;qbar_XT,NONCLAIM_PRIOR_SCHEMA_READY_INPUTS_MISSING,coefficient_prior_not_scoreable,"K_edge(lambda), Qbar_edge_XH(lambda), qbar_XT, lambda support, promoted bound curve",false,false,false,2026-06-14T07:39:10.759417+00:00
