checkpoint,source_id,source_path,needle,purpose,exists,needle_found,line_number,line_excerpt,valid_for_claim,timestamp_utc
3951,SRC3951_00_3950_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3950_NEXT_TARGET.csv,NEXT3950_0,3950 handoff target,True,True,2,"NEXT3950_0,3951-Y5-R2FR-GK-symbol-match-coefficient-extraction-or-epsilon-GK-first-values.md,scripts/Y5_R2FR_3951_GK_symbol_match_coefficient_extraction_or_epsilon_GK_first_values.py,""extract or reject actual Gamma_eff/K_hat coefficient matches: identify Z^A, G_AB, M_AB, K_metric, Delta_K, boundary/source terms, then either sign the positive auxiliary route or fill first epsilon_nonminimal_counterterm_GK values"",""at least one GK clause gets a real parent-owned coefficient/signature row, or the fallback epsilon_nonminimal_counterterm_GK row gains concrete value-ready component inputs"",False,2026-07-01T13:39:33+00:00",False,2026-07-01T13:50:30+00:00
3951,SRC3951_01_3950_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3950_GK_POSITIVE_AUXILIARY_SIGNATURE.csv,GKS3950_4_verdict,positive auxiliary verdict,True,True,6,"GKS3950_4_verdict,Gamma/Khat positive signature verdict,""Z_GK_positive = signed(G_AB>=0,M_AB>=m^2,metric-response Khat,no source charge,no boundary flux)"",all clauses signed against actual MTS Gamma_eff/K_hat definitions,not signed yet; use epsilon_nonminimal_GK bound row,PROGRESS_TO_VALUE_READY_BOUND_NOT_PUBLIC_CLAIM,False,2026-07-01T13:39:33+00:00",False,2026-07-01T13:50:30+00:00
3951,SRC3951_02_3950_ward,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3950_GK_WARD_QLOC_ZERO_THEOREM.csv,WZ3950_1_q_loc,q_loc Ward route,True,True,3,"WZ3950_1_q_loc,q_loc zero route,q_loc^nu = P_loc(nabla^nu Gamma_eff - nabla_mu K_hat^{mu nu}) = -P_loc(E_A nabla^nu Z^A + R_boundary^nu + R_source^nu).,""Substitute WZ3950_0 into the physical local projector. On shell and with no boundary/source leakage, the local residual vanishes."",""P_loc E_A=0, P_loc R_boundary=0, P_loc R_source=0"",CONDITIONAL_QLOC_ZERO_FORMULA_BUILT,False,2026-07-01T13:39:33+00:00",False,2026-07-01T13:50:30+00:00
3951,SRC3951_03_3950_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3950_EPSILON_NONMINIMAL_GK_BOUND_ROW.csv,EGK3950_6_total,epsilon_nonminimal_GK total,True,True,8,"EGK3950_6_total,epsilon_nonminimal_counterterm_GK,""sum_abs(epsilon_GK_energy,epsilon_GK_metric_response_mismatch,epsilon_GK_boundary,epsilon_GK_source_charge,epsilon_GK_negative_hessian)"",COMPONENT_VALUES_MISSING,dimensionless,first value-ready GK contribution to epsilon_nonminimal_counterterm,P8_GK_STRESS_ACTION_CANDIDATES.csv;P8_GAMMA_OWNER_CANDIDATE_ACTION.csv;P8_Gamma_Khat_parent_response_or_qloc_bound_status.csv,VALUE_READY_EPSILON_NONMINIMAL_COMPONENT_ROW,False,False,False,2026-07-01T13:39:33+00:00",False,2026-07-01T13:50:30+00:00
3951,SRC3951_04_GO516_A,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_OWNER_CANDIDATE_ACTION.csv,GO516_A_response_doublet_quadratic_density,response doublet candidate,True,True,2,"GO516_A_response_doublet_quadratic_density,""Gamma_eff = Gamma0 + 1/2 M_AB(g,R_even,D,...) Z^A Z^B + O(Z^4)"",""exchange doublets R_+^A,R_-^A; Z^A=(R_+^A-R_-^A)/2; R_even^A=(R_+^A+R_-^A)/2"",K_hat^{mu nu} := 2/sqrt(-g) delta[sqrt(-g) Gamma_eff]/delta g_{mu nu} minus volume convention,""Gamma_eff is even in exchange-odd residuals, so T_GK and first variation vanish at Z=0 after Gamma0 subtraction"",best_candidate_not_current_MTS_derived",False,2026-07-01T13:50:30+00:00
3951,SRC3951_05_GK514_A,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GK_STRESS_ACTION_CANDIDATES.csv,GK514_A_metric_response_scalar_density,metric response scalar density,True,True,2,"GK514_A_metric_response_scalar_density,""S_GK = - integral sqrt(-g) Gamma_eff(g,Phi,nabla Phi,D,...)"",T_GK^{mu nu} = Gamma_eff g^{mu nu} - K_metric^{mu nu},K_hat^{mu nu} = K_metric^{mu nu} := 2/sqrt(-g) delta[sqrt(-g) Gamma_eff]/delta g_{mu nu} minus the volume term convention,Gamma_eff and K_hat become one variational object; q_loc becomes the Ward residual,best_candidate_not_matched_to_existing_MTS",False,2026-07-01T13:50:30+00:00
3951,SRC3951_06_G514_match,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GK_STRESS_ACTION_GATE_TESTS.csv,G514_2_current_MTS_match,current MTS metric-response match gate,True,True,4,"G514_2_current_MTS_match,current corpus proves Gamma_eff and K_hat satisfy the metric-response identity,fail_for_current_claim,FG514_2 not matched",False,2026-07-01T13:50:30+00:00
3951,SRC3951_07_GKT1010,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1010_THEOREM_ATTEMPT.csv,GKT1010_6_verdict,q_loc theorem attempt verdict,True,True,8,"GKT1010_6_verdict,derive q_loc^nu=0 from S_GK,all GKT1010_0 through GKT1010_5 pass with source/equation paths and parent signatures,local PPN branch can reopen at the residual-vector gate,""route is precise but current corpus lacks match, Helmholtz check, Euler closure, double-zero, projector, and boundary certificates."",fail_current_claim,false,2026-06-14T04:26:41.733305+00:00",False,2026-07-01T13:50:30+00:00
3951,SRC3951_08_QBF1011,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1011_QLOC_BOUND_FILL_ROWS.csv,QBF1011_0_compact_shell_budget,compact shell q_loc proxy,True,True,2,"QBF1011_0_compact_shell_budget,max |P_loc d_rel J_rel| or equivalent q_loc leakage,7.432631961576971e-06,dimensionless_proxy,requires mapping into PPN/source-normalization units,source-intake/mts_residuals/P8_QLOC_BOUND_RUNNER_SPEC.csv,anchor_proxy_not_claim_curve,false,2026-06-14T04:30:25.566700+00:00",False,2026-07-01T13:50:30+00:00
3951,SRC3951_09_PHS2216,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2216_PARENT_HESSIAN_SIGNATURE_EXTRACTION.csv,PHS2216_1_parent_density_owner,parent density owner extraction,True,True,3,"2026-06-21T04:58:28.721692+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2216,False,False,PHS2216_1_parent_density_owner,Gamma_eff is an accepted parent scalar density/action term,NOT_FOUND_CURRENT_CORPUS,""MA515_0 and GKT1010_0 keep this as candidate route, not current MTS derivation."",would turn M_AB into a second variation of an action density,""explicit field content, metric dependence, units, boundary convention."",False",False,2026-07-01T13:50:30+00:00
3951,SRC3951_10_EVM2216,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2216_SIGNATURE_EVIDENCE_MAP.csv,EVM2216_1_hard_block,parent action owner hard block,True,True,3,"2026-06-21T04:58:28.721796+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2216,False,False,EVM2216_1_hard_block,parent action owner,MA515_0 + GKT1010_0,no accepted scalar density owner with units/boundary convention,BLOCKS_HESSIAN,build Gamma_eff density explicitly or retain residual branch",False,2026-07-01T13:50:30+00:00
3951,SRC3951_11_KIC2217_density,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2217_KHAT_IDENTITY_COMPARISON.csv,KIC2217_0_scalar_density_owner,Khat identity density owner,True,True,2,"2026-06-21T05:03:19.233812+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2217,False,False,KIC2217_0_scalar_density_owner,Gamma_eff accepted as parent scalar density,MA515_0 fail; GKT1010_0 candidate_contract_not_claim,FAIL_CURRENT_CLAIM,""Gamma_eff appears as route/readout/relaxation symbol, not owned density with units"",write parent action density with field content and metric dependence,False",False,2026-07-01T13:50:30+00:00
