gate,status,decision,claim_promoted,passed,checkpoint_marker,valid_for_claim,source_checked_date
Ricci_flat_matter_C3_weight,DERIVED,W3=N_s-4N_D+2N_V=W0,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
optimized_free_spectator_C3_source,ZERO_DERIVED,Q_-1[W]=-W'(0)=0 for W=2 below the Litim cutoff,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
benchmark_fixed_point_survival,PASS_LEADING_2D_PROJECTION,18/18 benchmark projection rows survive,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
wide_fixed_point_stress,PASS_LEADING_2D_PROJECTION,6642/6642 optimized/hybrid scan rows survive,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
proper_time_shift,QUARANTINED,h approaches C_m rather than zero; u=h-C_m exposes the shifted-Gaussian massless local artifact,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
full_matter_essential_closure,NOT_DERIVED,6 interacting essential operator blocks remain open,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
MTS_dynamic_inheritance,NOT_PROMOTED,leading spectator survival is not the complete MTS fixed point or critical surface,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
one_observational_Wilson,RETAINED,keep one RG-invariant A_+(Q_GW); do not promote any conditional spectator number,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
weak_GR_Newton_Maxwell,RETAINED,the UV spectator stress test does not alter the calibrated two-derivative local limit,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
compact_and_full_MTS_to_GR,NOT_PROMOTED,conditional Planck-scale compact safety is encouraging but lacks full essential-flow inheritance,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
next_target,SIX_DERIVATIVE_MATTER_ESSENTIAL_BASIS,4930-Y5-R2FR-six-derivative-MTS-matter-essential-operator-basis-and-block-triangular-stability-or-Wilson-retention.md,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
