branch_id,audit_id,claim,formal_sentence,source_anchor,result,gap,effect_if_parent_signed,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_0_target,derive parent object-language typing that makes source-only weights untypeable,"Arg(S_parent) subset {geometry, matter fields, owned gauge/current data, measured representation constants, universal constants}; Hom(SpeciesLabel,Coeff_active_source)=empty",P8_Y5_PARENT_QLOC_1886_NEXT_TARGET.csv:NEXT1886_0_primary,TARGET_SHARP,"must be parent-derived from MTS primitives, not imposed after WEP/PPN pressure","Delta_w_AB=0, beta_w_source=0, beta_w_test=0, and w_R=0 after common calibration",False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_1_exact_conditional_certificate,typed parent object language forbids w_A S_A,"if every coefficient owner is parent-generated and variation precedes readout, then a bare w_A has no owner, no transformation law, and no admissible target sort",P8_Y5_R10_1236_PARENT_TYPED_OBJECT_LANGUAGE_CERTIFICATE_ATTEMPT.csv:CERT1236_0..CERT1236_6,EXACT_IF_PARENT_SIGNED,certificate schema is present but not derived from motion/time/space primitives,no-source-only slot becomes a theorem-zero rather than a closure axiom,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_2_candidate_typing,inert source scalar is rejected by object-language typing,"w_A multiplying only active gravitational source strength has no independent observable, gauge, representation, or geometry role",P8_Y5_R10_1066_OBJECT_LANGUAGE_TYPING_AUDIT.csv:OLT1066_4_inert_source_scalar,CANDIDATE_REJECTION_NOT_PARENT_SIGNED,"candidate typing is discipline, not a proof of impossibility",kills the simplest source-weight seam,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_3_direct_sum_counterexample,ordinary matter category has no disconnected constants,direct-sum matter sectors can still carry independent constants c_A or w_A unless the parent functor forbids them,P8_Y5_R10_1078_OBJECT_LANGUAGE_PROOF_ATTEMPT.csv:OL1078_3_counterexample,COUNTEREXAMPLE_SURVIVES,connectedness/naturality alone does not erase species-family constants,would turn naturality from helpful taste into proof,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_4_parent_generated_image,visible/source coefficients are exhausted by the parent-generated image,"c_vis(Phi)=cbar(q(Phi),theta_rep) and Dq[v]=0 imply Lie_v c_vis=0 once membership in Image(ParentGenerate) is proved",P8_Y5_R10_1107_OBJECT_LANGUAGE_EXHAUSTION_ATTEMPT.csv:EXH1107_1_chain_rule,CHAIN_RULE_EXACT_MEMBERSHIP_NOT_DERIVED,Image(ParentGenerate) exhaustion and readout/radiative stability remain unsigned,hidden/source drift cannot re-enter through coefficient maps,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_5_source_label_forgetting,gravitational source functor forgets per-species source weights,"source functor returns total Hilbert stress-energy, not per-species source weights or source-only labels",P8_Y5_R10_1236_PARENT_TYPED_OBJECT_LANGUAGE_CERTIFICATE_ATTEMPT.csv:CERT1236_5_source_label_forgetting,CONDITIONAL_LEMMA_NOT_PARENT_DERIVED,matter category and variation/readout order are not yet parent-signed,connects typed object language directly to WEP/R10/local-GR source-side reduction,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_6_action_scale_and_readout,one action scale plus stable readout makes source-only weights impossible,all species action multipliers are quotient redundancies after quantum/path-integral/readout normalization and loops cannot regenerate source-only coefficients,P8_Y5_R10_1338_OBJECT_LANGUAGE_THEOREM_ATTEMPT.csv:OLT1338_4_action_scale_owner;OLT1338_5_readout_stability,ACTION_SCALE_AND_READOUT_UNSIGNED,classical EOM rescaling does not remove Hilbert-source weighting,would close the most dangerous source-side loophole,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_7_no_marker_protection,no hidden marker/domain/boundary scalar may be retyped as source coefficient,"no material marker, hidden frame, source-only constant, or readout-only label may alter source strength",P8_Y5_PARENT_QLOC_1676_OBJECT_LANGUAGE_NO_MARKER_THEOREM_ATTEMPT.csv:NSS1676_2_no_hidden_marker;NSS1676_5_verdict,NO_MARKER_THEOREM_NOT_PROVED,marker morphisms remain a retained residual unless parent grammar excludes them,prevents source weights from coming back under another name,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_8_category_route_consistency,category/object-language route is coherent in local radial-cell work,"C_R can be typed as compatibility data, not a propagating scalar, but the category rule is not parent-signed",P8_Y5_PARENT_QLOC_1867_OBJECT_LANGUAGE_DERIVATION_ATTEMPT.csv:OLA1867_5_verdict,COHERENT_CONTRACT_NOT_THEOREM,"repeated object-language bottleneck is structural, not an isolated R10 issue",same parent grammar could suppress local radial-cell and source-weight residuals together,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,OLT1887_9_verdict,parent object-language typing derives no source-only coefficient slot,NoSourceOnlySpeciesSlot follows from parent primitives without adding an external closure grammar,OLT1887_0 through OLT1887_8,OBJECT_LANGUAGE_TYPING_NOT_PARENT_DERIVED,"constructor list, current owner, action-scale owner, no hidden morphism, no marker theorem, and readout/radiative closure are not simultaneously signed",local source-coupling route would become serious theorem-zero territory,False,False
