source_id,source_path,path_exists,anchor,anchor_found,role,valid_for_claim,claim_allowed
SRC1425_0_1424_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1424_NEXT_TARGET.csv,True,NEXT1424_0_1425,True,1424 handoff selecting common-mode WEP zero or finite demotion.,False,False
SRC1425_1_1424_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1424_VALIDATION.csv,True,VAL1424_9_overall,True,"1424 validation: Ti/Pt contraction staged, parent map unsigned.",False,False
SRC1425_2_1424_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1424_PARENT_TIPT_CONTRACTION_THEOREM_ATTEMPT.csv,True,THM1424_1_universal_common_mode_zero,True,common-mode zero theorem attempt.,False,False
SRC1425_3_1424_candidates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1424_TIPT_MATERIAL_VECTOR_CANDIDATES.csv,True,MAT1424_2_electron_mass_fraction,True,finite Ti/Pt component candidates.,False,False
SRC1425_4_1332_common_mode,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1332_COMMON_MODE_SOURCE_THEOREM.csv,True,CMT1332_0_common_mode_source_coupling,True,conditional common-mode source theorem.,False,False
SRC1425_5_1332_premises,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1332_COMMON_MODE_PREMISE_AUDIT.csv,True,PREM1332_3_no_relative_source_prefactors,True,premise audit for common-mode promotion.,False,False
SRC1425_6_1333_no_prefactor,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1333_NO_SOURCE_PREFACTOR_DERIVATION_ATTEMPT.csv,True,NSP1333_5_verdict,True,no-source-prefactor derivation failure.,False,False
SRC1425_7_1333_countermodels,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1333_SOURCE_PREFACTOR_COUNTERMODEL_LEDGER.csv,True,CM1333_0_relative_species_weight,True,live source-prefactor countermodels.,False,False
SRC1425_8_1333_electron_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1333_ELECTRON_RESIDUAL_BOUND_CONTRACT.csv,True,EB1333_0_unit_kernel_electron_prefactor,True,nonclaim finite electron residual pressure scale.,False,False
SRC1425_9_1079_current,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1079_NARROW_CURRENT_OWNER_THEOREM_ATTEMPT.csv,True,NCO1079_6_verdict,True,narrow Hilbert-current owner partial result.,False,False
SRC1425_10_1079_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1079_FINITE_WEP_SOURCE_VECTOR_CONTRACT.csv,True,FSV1079_1_C_parent,True,finite WEP sourced-input contract.,False,False
SRC1425_11_1078_demotion,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1078_THEOREM_ZERO_DEMOTION.csv,True,TZD1078_2_demote,True,earlier theorem-zero closure-only demotion.,False,False
