source_id,path,exists,needle_check,role,valid_for_claim,generated_utc
723_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\723-Y5-R10-affine-X-momentum-map-owner-or-edge-residual-coefficient-pack.md,true,true,immediate handoff: edge envelope or owner repair,false,2026-06-10T21:11:44+00:00
723_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_723_VALIDATION.csv,true,true,prior validation gate,false,2026-06-10T21:11:44+00:00
723_edge_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_723_EDGE_RESIDUAL_COEFFICIENT_PACK.csv,true,true,current edge coefficient definitions,false,2026-06-10T21:11:44+00:00
723_decision,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_723_OWNER_OR_EDGE_DECISION.csv,true,true,current route selector,false,2026-06-10T21:11:44+00:00
584_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\584-Y5-R10-edge-residual-alpha-envelope-or-owner-repair.md,true,true,older edge-envelope checkpoint to reconcile with current chain,false,2026-06-10T21:11:44+00:00
584_edge_law,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_584_EDGE_ENVELOPE_LAW.csv,true,true,older edge envelope law rows,false,2026-06-10T21:11:44+00:00
584_pressure_matrix,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_584_EDGE_PRESSURE_MATRIX.csv,true,true,private review-candidate pressure matrix,false,2026-06-10T21:11:44+00:00
584_claim_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_584_EDGE_CLAIM_INPUT_CONTRACT.csv,true,true,edge claim input blockers,false,2026-06-10T21:11:44+00:00
584_owner_repair,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_584_OWNER_REPAIR_ATTEMPT.csv,true,true,owner repair routes that were not closed,false,2026-06-10T21:11:44+00:00
586_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\586-Y5-R10-Vdef-owner-action-sketch-or-edge-runner-numeric-priors.md,true,true,affine Vdef action sketch plus nonclaim edge prior grid,false,2026-06-10T21:11:44+00:00
586_prior_grid,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_586_EDGE_NUMERIC_PRIOR_GRID.csv,true,true,nonclaim numeric edge prior grid,false,2026-06-10T21:11:44+00:00
586_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_586_CONDITIONAL_NO_POLE_THEOREM.csv,true,true,conditional no-pole theorem clauses,false,2026-06-10T21:11:44+00:00
586_boundary,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_586_BOUNDARY_EXACTNESS_TEST.csv,true,true,boundary exactness nonclaim routes,false,2026-06-10T21:11:44+00:00
runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\R10_alpha_lambda_bound_prediction_runner.py,true,true,existing R10 alpha/lambda comparator,false,2026-06-10T21:11:44+00:00
