candidate_id,source_id,path,source_kind,signatures_hit,signature_count,blocked_hit_count,unblocked_text_hit_count,candidate_verdict,promotion_requirement,valid_for_claim,generated_utc
PCS780_779_doc,779_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\779-Y5-R10-parent-coupling-descent-signature-or-source-measure-bound-runner.md,runner_handoff,SIG780_0_parent_quotient;SIG780_1_observed_geometry;SIG780_3_source_current;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,6,6,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_779_validation,779_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_779_VALIDATION.csv,validation,SIG780_6_numeric_bound_inputs,1,1,0,partial_signature_context,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_621_normal_form,621_normal_form,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\621-Y5-R10-matter-coupling-normal-form-theorem-or-residual-coefficient-priors.md,conditional_theorem_attempt,SIG780_0_parent_quotient;SIG780_1_observed_geometry;SIG780_2_matter_action;SIG780_3_source_current;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,7,7,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_625_weyl_disformal,625_weyl_disformal,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\625-Y5-R10-no-representative-Weyl-disformal-coupling-or-cg-prior.md,conditional_theorem_attempt,SIG780_0_parent_quotient;SIG780_2_matter_action;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,5,5,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_632_frame_selector,632_frame_selector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\632-Y5-R10-parent-matter-frame-selector-or-two-leg-coupling-envelope-runner.md,branch_selector,SIG780_0_parent_quotient;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,4,4,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_716_source_charge,716_source_charge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\716-Y5-R10-matter-coupling-source-charge-derivation-or-free-coefficient-lock.md,derivation_attempt,SIG780_0_parent_quotient;SIG780_1_observed_geometry;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,5,5,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_759_coupling_owner,759_coupling_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\759-Y5-R10-coupling-owner-action-or-residual-vector-acquisition-runner.md,owner_audit,SIG780_0_parent_quotient;SIG780_1_observed_geometry;SIG780_2_matter_action;SIG780_3_source_current;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,7,7,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_762_geometry_stack,762_geometry_stack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\762-Y5-R10-geometry-stack-descent-or-coupling-source-fill.md,descent_contract,SIG780_0_parent_quotient;SIG780_1_observed_geometry;SIG780_2_matter_action;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,6,6,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_763_no_marker,763_no_marker,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\763-Y5-R10-no-marker-spurion-theorem-or-coupling-source-fill.md,classification_contract,SIG780_0_parent_quotient;SIG780_2_matter_action;SIG780_3_source_current;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,6,6,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_778_theorem_gate,778_theorem_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_778_COUPLING_DESCENT_THEOREM_GATE.csv,gate_csv,SIG780_0_parent_quotient;SIG780_1_observed_geometry;SIG780_2_matter_action;SIG780_3_source_current;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,7,7,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
PCS780_779_signature_audit,779_signature_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_779_PARENT_COUPLING_SIGNATURE_AUDIT.csv,gate_csv,SIG780_1_observed_geometry;SIG780_4_readout_descent;SIG780_5_no_hidden_frame;SIG780_6_numeric_bound_inputs,4,4,0,strong_conditional_not_signed,real parent-action source line/equation with no blocker markers and valid_for_claim=true,false,2026-06-12T03:48:33+00:00
