source_id,source_path,required_anchor,purpose,exists,anchor_found,valid_for_claim,claim_allowed
SRC1369_0_1368_doc,1368-Y5-R10-RAB-m-Lcg-parent-metric-response-kernels-or-q_loc-projection-map.md,NEXT1368_0_1369,1368 handoff to L_cg metric-silence hunt or q_loc gamma projection runner.,True,True,False,False
SRC1369_1_1368_next,source-intake/mts_residuals/P8_Y5_R10_1368_NEXT_TARGET.csv,NEXT1368_0_1369,machine-readable 1369 target.,True,True,False,False
SRC1369_2_1368_kernel,source-intake/mts_residuals/P8_Y5_R10_1368_M_LCG_KERNEL_HUNT.csv,KERN1368_4_Lcg_metric_composite_branch,1368 L_cg fixed-scale branch and metric-composite counterbranch.,True,True,False,False
SRC1369_3_1368_projection,source-intake/mts_residuals/P8_Y5_R10_1368_QLOC_TO_PPN_GAMMA_PROJECTION_REQUIREMENTS.csv,PROJ1368_5_projection_verdict,blocked q_loc-to-gamma projection requirements.,True,True,False,False
SRC1369_4_798_gamma,source-intake/mts_residuals/P8_Y5_R10_798_GAMMA_SOURCE_EXPANSION.csv,GSE798_1_gradient_expansion,Gamma_eff=L_cg^-2 F(m) and gradient product-rule dependence on L_cg.,True,True,False,False
SRC1369_5_1289_chain,source-intake/mts_residuals/P8_Y5_R10_1289_FIRST_DERIVATIVE_TERM_ROW_NONCLAIM.csv,KDR1289_1_local_zero_condition_for_chain_kernel,M_L zero/silence condition and full chain-kernel blocker.,True,True,False,False
SRC1369_6_1299_trace,source-intake/mts_residuals/P8_Y5_R10_1299_SPATIAL_TRACE_KERNEL_ROWS_NONCLAIM.csv,STK1299_1_Lcg_spatial_trace,"spatial trace bound showing missing L_cg value, lower bound, and M_L response.",True,True,False,False
SRC1369_7_776_kgamma,source-intake/mts_residuals/P8_Y5_R10_776_KGAMMA_METRIC_RESPONSE_LEDGER.csv,KGL776_2_derivative_terms,connection/projector/boundary metric-response terms that remain open.,True,True,False,False
SRC1369_8_1181_cassini,source-intake/mts_residuals/P8_Y5_R10_1181_EXTERNAL_PPN_SOURCE_REGISTER.csv,SRC1181W_0_Cassini_gamma,source-backed Cassini PPN gamma comparator.,True,True,False,False
SRC1369_9_1244_policy,source-intake/mts_residuals/P8_Y5_R10_1244_RUNNER_POLICY_FEED.csv,RPF1244_0_policy,"strict one-sigma gamma policy and q_R guardrail, not automatically q_loc.",True,True,False,False
SRC1369_10_1244_doc,1244-Y5-R10-QR-statistical-policy-and-GM-convention-pack.md,QBD1244_0_projection,q_R-to-gamma convention that must not be imported without a q_loc bridge.,True,True,False,False
