checkpoint,source_id,source_kind,source_ref,local_path_exists,needle,needle_found,line_number,role,valid_for_claim
4463,SRC4463_00_next4462,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4462_NEXT_TARGET.csv,True,4463-Y5-R2FR-parent-kappa-scale-law-or-calibrated-G-residual-runner.md,True,2,4462 selected parent kappa scale law or calibrated-G residual runner.,False
4463,SRC4463_01_formal478,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\478-PPC4161-universal-source-coupling-and-Newton-G-normalization-or-residual-bound-row.md,True,MTS predicts numerical Newton G,True,60,4462 numeric-G gate.,False
4463,SRC4463_02_kappa181,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\181-PPC4161-kappa-G-normalization-gate.md,True,The numerical value of `G_N` is not predicted here,True,36,kappa/G normalization gate.,False
4463,SRC4463_03_top184,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\184-PPC4161-parent-adopted-topological-kappa-sector.md,True,d u_kappa = 0,True,28,topological kappa sector derives constancy.,False
4463,SRC4463_04_g194,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\194-PPC4161-calibrated-source-coupling-kappa-to-GN-law.md,True,numeric(G_cal) = empirical calibration unless parent scale law fixes kappa_*,True,70,calibrated G law and numeric caveat.,False
4463,SRC4463_05_bridge222,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\222-PPC4161-calibrated-GN-bridge-and-source-charge-caveat.md,True,MTS does not need to numerically predict G_N to reduce to GR/Newton,True,13,fair calibrated-G standard.,False
4463,SRC4463_06_phiG_audit,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\04-variable-audit.csv,True,gamma=Phi_G sqrt(c^5/(G hbar)),True,13,Phi_G/gamma route and circularity risk.,False
4463,SRC4463_07_super3269,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3269-Y5-R2FR-fixed-local-constants-superselection-for-DD-zero-or-coefficient-runner-under-AX1090.md,True,If kappa_eff belongs to a parent global/superselection sector,True,21,constant/superselection analogue.,False
4463,SRC4463_08_contract3294,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3294-Y5-R2FR-local-GR-reduction-contract-Hilbert-source-common-G-and-Newton-limit-under-AX1090.md,True,A common constant G_cal is acceptable,True,42,local GR contract allows common calibrated G.,False
4463,SRC4463_09_gate,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\kappa_scale_residual_gate.py,True,def scale_law_attempt_rows,True,25,4463 kappa scale/residual gate.,False
4463,SRC4463_10_generator,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4463_parent_kappa_scale_law_or_calibrated_G_residual_runner.py,True,"CHECKPOINT = ""4463""",True,30,4463 generator script.,False
