branch_id,source_id,source_key,source_path,exists,needles_present,required_needles,generated_utc
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_0_1716_doc,1716_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1716-Y5-R2FR-PiM-fixed-chainmap-parent-signature-or-Icommutator-first-profile-row.md,True,True,NEXT1716_0_primary;FPR1716_0_Icommutator_domain_row,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_1_1716_validation,1716_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1716_VALIDATION.csv,True,True,VAL1716_OVERALL;PASS,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_2_1716_domain_template,1716_domain_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1716_ICOMMUTATOR_DOMAIN_INPUT_TEMPLATE.csv,True,True,IDR1716_0_lab_or_compact_source_placeholder;MISSING_SOURCE_WORLDTUBE,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_3_61_bound_domain,61_bound_domain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\61-bound-domain-boundary-theorem-attempt.md,True,True,parent action still has to derive the boundary/domain selector;bound_domain_boundary_theorem_partial_volume_extremum_not_parent_action,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_4_62_chiD_contract,62_chiD_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\62-domain-field-chiD-action-contract.md,True,True,chi_D makes the missing obligation precise;The parent action must provide,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_5_63_chiD_variation,63_chiD_variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\63-chiD-variation-to-boundary-equation-attempt.md,True,True,minimal chi_D variations do not yet derive the local boundary;parent-derived binding/coherence invariant,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_6_64_binding_invariant,64_binding_invariant,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\64-binding-invariant-domain-selector-attempt.md,True,True,not a full binding derivation;coherent_expansion_invariant_found_not_binding_derivation,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_7_602_bound_domain,602_bound_domain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\602-Y5-R10-bound-domain-selector-or-compact-shell-unit-map-fill.md,True,True,real conditional selector theorem can be written;The derivation is not complete,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_8_1009_parent_action,1009_parent_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1009-Y5-R10-parent-current-chain-action-contract-or-sector-variation-runner.md,True,True,PCS1009_5_domain_projector_selector;partial_clause_not_parent_closed,2026-06-18T18:12:47.024499+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1717_9_domain_variation_chain,domain_variation_chain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_DOMAIN_SELECTOR_PARENT_ACTION_VARIATION_CHAIN.csv,True,True,V3_Ward_force;conditional_pass_if_local_boundary_terms_zero,2026-06-18T18:12:47.024499+00:00
