owner_id,required_object,current_status,reason,residual_if_missing,owner_signed,accepted_for_local_gr,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
OWN3001_0_tau_identity,tau_source=tau_charge=tau_clock=tau_boundary=tau_readout,MISSING_PARENT_TAU_IDENTITY,2588/2599/2900 all leave same-tau ownership unsigned.,epsilon_Bv_tau_variation_abs,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_1_boundary_clock,parent boundary-clock class and normalization,MISSING_PARENT_BOUNDARY_CLOCK_CLASS,clock product data constrain drift but do not define Hamiltonian/source tau.,epsilon_delta_tau,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_2_q_eobs_basic,tau is q/e_obs-basic,MISSING_Q_OBS_E_CLOCK_BASICNESS,tau cannot be used as a quotient-invariant generator without q/e_obs owner.,epsilon_tau_frame,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_3_bulk_extension,unique bulk/exterior extension of tau,GENERATOR_EXTENSION_NOT_SOURCED,boundary-normalized tau has no sourced stationary/Killing/quasilocal extension.,epsilon_nonstationary_tau,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_4_surface_link,delta_v S_link=0 and fixed linked surface pair,MISSING_SOURCE_BLIND_SURFACE_DOMAIN_RULE,surface/domain can still move with source/readout.,epsilon_Bv_surface_motion_abs,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_5_Aext_caps,delta_v A_ext=0 and fixed caps/collar,MISSING_FIXED_AEXT_CAPS,annulus/cap transport remains a legal boundary leakage channel.,epsilon_Bv_annulus_cap_transport_abs,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_6_no_shortcuts,no observed-GM/surface-fit import,GUARDRAIL_ACTIVE,surface or tau cannot be selected from target orbital/PPN success.,shortcut_guard,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_7_coefficients,"C_tau, C_S, C_A, C_cap and derivative norms",MISSING_OPERATOR_COEFFICIENTS_AND_NORMS,"bound law exists, but no finite coefficient values or derivative norms are sourced.",epsilon_Bv_tau_surface_commutator_total_abs,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_8_Mref,positive same-frame M_ref/M_H_ref,MISSING_POSITIVE_SAME_FRAME_MREF,even a finite numerator cannot be scored without noncircular normalization.,all_tau_surface_rows,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
OWN3001_9_verdict,tau/surface owner source pack,OWNER_PACK_NOT_SIGNED_NO_FINITE_COEFFICIENT_VALUE,no theorem-zero promotion and no finite score-ready coefficient row exists in current corpus.,tau_surface_route_demoted_to_residual_closure,False,False,3001,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:10:13.287054+00:00
