source_id,source_path,path_exists,anchor,anchor_found,role,valid_for_claim,claim_allowed
SRC1431_0_1430_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1430_NEXT_TARGET.csv,True,NEXT1430_0_1431,True,1430 handoff selecting Q_T zero premise closure or C_parent import schema.,False,False
SRC1431_1_1430_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1430_VALIDATION.csv,True,VAL1430_8_overall,True,1430 validation summary.,False,False
SRC1431_2_branch_id,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\branch_id.csv,True,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,branch lock row.,False,False
SRC1431_3_C_parent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\C_parent.csv,True,CP1430_6_verdict,True,C_parent placeholder/refusal rows.,False,False
SRC1431_4_873_premises,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_873_PROOF_CLAUSE_AUDIT.csv,True,PC873_1_trace_verticality,True,trace verticality premise audit.,False,False
SRC1431_5_873_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_873_LOCAL_TRACE_CHARGE_ZERO_THEOREM.csv,True,QTZ873_3_verdict,True,chain-rule zero theorem verdict.,False,False
SRC1431_6_864_nohair,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_864_LOCAL_NOHAIR_CONTRACT.csv,True,NH864_3_clock_WEP_markers,True,local nohair/marker silence contract.,False,False
SRC1431_7_762_stack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_762_GEOMETRY_STACK_DESCENT_CONTRACT.csv,True,GSD762_5_stack_verdict,True,geometry-stack descent status.,False,False
SRC1431_8_763_spurion,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_763_NO_MARKER_SPURION_THEOREM_ATTEMPT.csv,True,NMS763_6_verdict,True,no-marker/no-spurion theorem status.,False,False
SRC1431_9_626_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_626_QUOTIENT_INVARIANT_SIGNATURE_ATTEMPT.csv,True,QIM626_5_signature_verdict,True,quotient-invariant matter action signature status.,False,False
