source_id,local_path,exists,role,status,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC3014_00_3013_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3013-Y5-R2FR-R10-q_loc-to-Yukawa-projection-kernel-or-calibrated-curve-import-under-AX1090.md,True,previous checkpoint verdict and source-current blocker,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_01_3013_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3013_NEXT_TARGET.csv,True,3014 target definition,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_02_3013_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3013_R10_KERNEL_DERIVATION.csv,True,R10 kernel and q_loc bridge contract,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_03_3013_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3013_PARENT_ACTION_CONTRACT.csv,True,parent action clauses still missing,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_04_3013_blockers,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3013_BLOCKER_LEDGER.csv,True,precise active blockers,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_05_2641_rankzero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\R10_2641_READOUT_TAIL_AWARE_ZAB_RANKZERO_NONCLAIM.csv,True,rank-zero closure normal form,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_06_2642_source_current_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\R10_2642_RANK_ZERO_SOURCE_CURRENT_RESIDUAL_NONCLAIM.csv,True,rank-zero source-current residual envelope,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_07_2968_rankzero_envelope,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\rank_zero_residual_envelope_2968_NONCLAIM.csv,True,local residual envelope projection rows,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_08_3006_current_sectors,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\Hamiltonian_current_sector_charge_rows_3006_NONCLAIM.csv,True,Hamiltonian current sector audit,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_09_3007_action_grammar,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\theta_Qtau_feed_rows_3007_NONCLAIM.csv,True,theta/Qtau parent-action grammar,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_10_3008_residual_split,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\q_loc_explicit_residual_split_3008_NONCLAIM.csv,True,explicit q_loc residual split,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_11_3009_residual_interface,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\q_loc_coupling_source_ready_residual_interface_3009_NONCLAIM.csv,True,q_loc/coupling residual interface,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
SRC3014_12_3010_bound_interface,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\q_loc_coupling_bound_interface_3010_NONCLAIM.csv,True,q_loc/Delta_K/coupling bound interface,PRESENT,3014,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T11:48:59.510129+00:00
