branch_id,source_key,source_path,exists,needles_present,required_needles,use_in_1702,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1701_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1701-Y5-R2FR-readout-effective-no-reentry-theorem-or-finite-product-map.md,True,True,NEXT1701_0_primary;Pure post-processing readout is safe,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1701_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1701_VALIDATION.csv,True,True,VAL1701_OVERALL;PASS,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1701_commutator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1701_READOUT_COMMUTATOR_AUDIT.csv,True,True,RC1701_0_define_residual;GENERAL_NO_REENTRY_NOT_DERIVED,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1701_product_map,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1701_ARENA_FINITE_PRODUCT_MAP.csv,True,True,FPM1701_0_WEP_source_weight;FPM1701_4_PPN_frame_vector,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1701_queue,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1701_READOUT_RESIDUAL_QUEUE.csv,True,True,RQ1701_0_C_R;branch_readout_functor,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1701_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1701_NEXT_TARGET.csv,True,True,NEXT1701_0_primary;first finite product runner,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1014_commutator_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1014-Y5-R10-PiM-commutator-projector-variation-zero-or-coefficient-bound.md,True,True,PCT1014_0_product_rule;I_commutator remains unfilled,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1067_tau_wep_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1067_TAU_WEP_ACQUISITION_SCHEMA.csv,True,True,TAQ1067_3_direct_product_option;REFUSAL_ACTIVE,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1029_tau_projection,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1029_TAU_PROJECTION_REQUIREMENTS.csv,True,True,TAU1029_0_R10;TAU1029_1_PPN_gamma_beta,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,947_projection_fill,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_947_PROJECTION_FILL_ATTEMPT.csv,True,True,PFA947_0_R10_projection;PFA947_1_PPN_projection,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1669_source_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1669_PPN_WEP_CLOCK_ORBIT_SOURCE_PACK_TEMPLATE.csv,True,True,R1_WEP_source_charge;R3_gamma,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1476_source_weight,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\Ci_source_weight_delta_w_input_nonclaim_1476.csv,True,True,DW1476_0_delta_w_A;MISSING_TAU_WEP,commutator source-intake ledger and first arena product runner,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1469_alpha_runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\alpha_residual_product_runner_nonclaim_1469.csv,True,True,APR1469_2_R10_alpha_lambda;BLOCKED_MISSING_INPUTS,commutator source-intake ledger and first arena product runner,False,False
