row_id,route_type,route,source_path,equation_ref,notes,timestamp_utc,source_signed,units_signed,same_branch_signed,no_cancellation_guard,parent_matter_category_signed,single_action_density_line_signed,common_measure_normalization_signed,connected_ordinary_matter_category_signed,total_Hilbert_source_functor_signed,parent_generator_exhausted_signed,edge_ownership_certified_signed,edge_nonzero_certified_signed,species_label_forgetful_signed,hidden_marker_absent_signed,readout_no_reentry_signed,constant_sector_universal_signed,common_calibration_removed_signed,variation_before_readout_signed,no_species_only_jacobian_signed,no_post_variation_selector_signed,no_bound_as_source_signed,no_G_or_GM_absorption_signed,objects,edges,R_graph_disconnect_abs,R_edge_ownership_abs,R_generator_exhaustion_abs,R_hidden_marker_abs,R_readout_reentry_abs,R_constant_sector_abs,R_action_line_abs,P_kappaA_delta_w_abs,P_density_kappaA_abs,P_kappaA_qbar_abs,Qbar_source_XH_bound_abs,K_source_abs,tau_BY5_kappaA_abs
RUN4842_0_live_nohom_kappaA_zero_missing,nohom_kappaA_zero,live parent matter no-Hom kappaA zero audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3251_NOHOM_CONNECTED_NATURALITY_THEOREM.csv,NHE3251_2_edge_equalizer;NHE3251_3_connected_graph;NHE3251_6_current_verdict,"exact graph theorem exists but parent edge certificates, generator exhaustion and hidden/readout firewall are unsigned",2026-07-08T13:05:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN4842_1_conditional_connected_graph_zero_pass,nohom_kappaA_zero,conditional connected parent graph no-Hom theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3251_NOHOM_CONNECTED_NATURALITY_THEOREM.csv,NHE3251_2_edge_equalizer;NHE3251_3_connected_graph,"nonclaim theorem-shape row: if all parent certificates are signed, relative source prefactors vanish",2026-07-08T13:05:09+00:00,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,charged_leptons;neutrinos;quarks;EM_photon;weak_bosons;gluons;Higgs,charged_leptons-EM_photon;charged_leptons-weak_bosons;neutrinos-weak_bosons;quarks-EM_photon;quarks-gluons;quarks-weak_bosons;charged_leptons-Higgs;quarks-Higgs;weak_bosons-Higgs,,,,,,,,,,,,,
RUN4842_2_graph_certificate_smoke_pass,graph_certificate,observed ordinary-matter interaction graph connectivity smoke,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3251_NOHOM_CONNECTED_NATURALITY_THEOREM.csv,NHE3251_3_connected_graph,nonclaim topology smoke only; does not assert MTS parent ownership of the edges,2026-07-08T13:05:09+00:00,true,true,true,true,,,,,,,,,,,,,,,,,,,charged_leptons;neutrinos;quarks;EM_photon;weak_bosons;gluons;Higgs,charged_leptons-EM_photon;charged_leptons-weak_bosons;neutrinos-weak_bosons;quarks-EM_photon;quarks-gluons;quarks-weak_bosons;charged_leptons-Higgs;quarks-Higgs;weak_bosons-Higgs,,,,,,,,,,,,,
RUN4842_3_live_kappaA_bound_missing,kappaA_bound,live first kappaA hidden-marker residual row missing,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_EM_no_source_only_matter_functor_residual.csv,NSSR3509_2_kappa_A_source;NSSR3509_3_hidden_marker_source,residual slots are named but live graph/generator/hidden/readout/source projection values are missing,2026-07-08T13:05:09+00:00,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN4842_4_kappaA_hidden_marker_bound_smoke_pass,kappaA_bound,finite kappaA hidden-marker smoke,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_EM_no_source_only_matter_functor_residual.csv,NSSR3509_2_kappa_A_source;NSSR3509_3_hidden_marker_source,nonclaim arithmetic smoke for retained source-prefactor residual feed,2026-07-08T13:05:09+00:00,true,true,true,true,,,,,,,,,,,,,,,,,,,,,0.0007,0.0006,0.0008,0.0005,0.0004,0.0003,0.0002,0.9,1.1,1.0,0.01475,1.5,2.0
RUN4842_5_forbidden_nohom_by_declaration,nohom_kappaA_zero,forbidden noHom by declaration,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_DIRECT_MATTER_GRAMMAR_GATE_2612_NO_SOURCE_ONLY_HOM_AUDIT.csv,HOM2612_4_verdict,NOHOM_BY_DECLARATION does not supply parent edge/source-functor proof,2026-07-08T13:05:09+00:00,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,charged_leptons;neutrinos;quarks;EM_photon;weak_bosons;gluons;Higgs,charged_leptons-EM_photon;charged_leptons-weak_bosons;neutrinos-weak_bosons;quarks-EM_photon;quarks-gluons;quarks-weak_bosons;charged_leptons-Higgs;quarks-Higgs;weak_bosons-Higgs,,,,,,,,,,,,,
RUN4842_6_forbidden_hidden_marker_fit,kappaA_bound,forbidden hidden marker fit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_EM_no_source_only_matter_functor_residual.csv,NSSR3509_3_hidden_marker_source,HIDDEN_MARKER_FIT cannot be used as a parent source coefficient,2026-07-08T13:05:09+00:00,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN4842_7_forbidden_G_absorption,kappaA_bound,forbidden G absorption,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4838_KAPPA_G_NEWTON_ZERO_AUDIT.csv,KGN4838_6_no_GM_launder,G_ABSORPTION cannot erase relative kappa_A modes,2026-07-08T13:05:09+00:00,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN4842_8_forbidden_edge_by_label_only,graph_certificate,forbidden edge by label only,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3251_NOHOM_CONNECTED_NATURALITY_THEOREM.csv,NHE3251_3_connected_graph,EDGE_BY_LABEL_ONLY is not an interaction/current edge certificate,2026-07-08T13:05:09+00:00,true,true,true,true,,,,,,,,,,,,,,,,,,,charged_leptons;neutrinos;quarks;EM_photon;weak_bosons;gluons;Higgs,charged_leptons-EM_photon;charged_leptons-weak_bosons;neutrinos-weak_bosons;quarks-EM_photon;quarks-gluons;quarks-weak_bosons;charged_leptons-Higgs;quarks-Higgs;weak_bosons-Higgs,,,,,,,,,,,,,
RUN4842_9_forbidden_bound_as_source,kappaA_bound,forbidden bound as source,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4432_CONSTRUCTOR_NOHOM_OUTPUT.csv,NHOM4432_3_bound_inversion_guard,BOUND_AS_SOURCE cannot replace a parent-owned prediction row,2026-07-08T13:05:09+00:00,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
