pack_id,symbol,owner_generator,role,units_required,numeric_value_status,source_path_required,projection_kernel_required,baseline_required,no_cancellation_rule,arenas,status,valid_for_claim
EFF2636_0,e_EH_import,integrated_out_tower/parent_normal_form,EH import residual: using EH because GR works rather than deriving EH from MTS,dimensionless coefficient relative to EH operator or explicit operator-density units,MISSING_PARENT_ORIGIN,parent normal-form source proving or bounding EH import,local weak-field operator projection,GR/EH local weak-field baseline,cannot be cancelled against DeltaE_MTS or readout terms,local_GR;Newton;PPN,BLOCKED_SOURCE_REQUIRED,False
EFF2636_1,e_kappaG,species_constants_source_weights,parent-to-measured-G coupling transfer residual,dimensionless fractional G transfer or explicit kappa mapping,MISSING_KAPPA_OWNER,parent normalization/source-worldtube convention,Newtonian Poisson and orbital GM projection,measured G/GM fixed before test readout,fitted GM absorption is forbidden,Newton;orbital;PPN;WEP,BLOCKED_SOURCE_REQUIRED,False
EFF2636_2,DeltaE_MTS,integrated_out_tower,non-EH local operator residual in the public field equation,same rank-2 field-equation units as G_mn/T_mn or dimensionless response after projection,MISSING_OPERATOR_BOUNDS,operator-basis and coefficient source path,PPN/R10/orbital weak-field projection,EH plus matter baseline,absolute operator envelope; no paired cancellation against source/readout tails,PPN;R10;orbital;local_GR,BLOCKED_SOURCE_REQUIRED,False
EFF2636_3,E_readout_total,readout_projector,readout/reduced-action backreaction residual,field-equation operator density or normalized dimensionless projected amplitude,MISSING_READOUT_ACTION_FORM,"S_red form, P_read definition, variation path, readout/source provenance",PPN/WEP/R10/clocks/orbital readout projection,variation-before-readout parent baseline,readout tail must be bounded independently before local scoring,PPN;WEP;R10;clocks;orbital,SELECTED_FIRST_SOURCE_PACK,False
EFF2636_4,projector_norm,readout_projector,commutator/projection leakage if P_read becomes a branch operator,1/length or dimensionless normalized commutator norm,MISSING_PROJECTOR_DEFINITION,"projector definition, local domain, derivative operator, norm convention",clock/source/PPN local projection,P_read absent from parent action,cannot be hidden inside gauge/readout calibration,WEP;clocks;R10;PPN,BLOCKED_SOURCE_REQUIRED,False
EFF2636_5,marker_scalar_coefficients,continuous_marker_scalar,"F(sigma)R, memory scalar, or invariant scalar coefficient residual","coefficient-dependent: dimensionless prefactor, mass scale, or inverse-length powers",MISSING_SCALAR_GENERATOR_COMPONENTS,surviving scalar list and coupling grammar,PPN/R10/clock/fifth-force projection,no-marker parent route or finite coefficient row,each scalar component carried separately before sums,PPN;R10;clocks;WEP,BLOCKED_SOURCE_REQUIRED,False
EFF2636_6,w_R;Delta_w;beta_w_source;beta_w_test,species_constants_source_weights,source-prefactor/source-current/matter-normalization residual vector,dimensionless source/action-weight response components,MISSING_COMPONENT_VECTOR,no-source-prefactor theorem or finite component basis,"WEP, clock, PPN beta/gamma, R10 source-leg projection",single matter functional and projected mass owner before readout,"species/source components use absolute envelope, not relative cancellation",WEP;clock;source_normalization;PPN;R10,BLOCKED_SOURCE_REQUIRED,False
EFF2636_7,DObs_e_R,readout_projector/continuous_marker_scalar,observed coframe/readout leak from hidden or radial-cell directions,dimensionless coframe/readout response or explicit Jacobian units,DOBS_E_KERNEL_NOT_SIGNED,terminal public coframe and no-hidden-visible morphism proof or bound,"PPN, clock, orbital, source-normalization projection",ordinary matter and clocks factor through public coframe,readout/coframe leakage is additive in full PPN envelope,PPN;clocks;orbital;WEP,BLOCKED_SOURCE_REQUIRED,False
EFF2636_8,d_R_preferred_frame,domain_boundary_topology/continuous_marker_scalar,disformal/preferred-frame residual response matrix,dimensionless preferred-frame response components,MISSING_DISFORMAL_PREFERRED_FRAME_PROJECTION,no-disformal slot or normalized disformal ansatz,alpha1/alpha2/alpha3/xi/gamma response matrix,public metric/coframe with no preferred-frame shadow,preferred-frame components independently bounded,PPN;orbital;pulsar,BLOCKED_SOURCE_REQUIRED,False
EFF2636_9,epsilon_endpoint_R;alpha_readout;delta_GM,domain_boundary_topology/readout_projector,"endpoint, boundary, measured-GM and post-variation readout tails",dimensionless tail amplitudes or observable-specific timing/orbital units,MISSING_ENDPOINT_READOUT_KERNEL,"endpoint silence, GM calibration, PPN gauge and readout stability source",orbital/light-time/PPN/clock projection,source mass and gauge fixed before local comparison,no fitted-GM or endpoint cancellation shortcut,orbital;PPN;clocks;local_GR,BLOCKED_SOURCE_REQUIRED,False
EFF2636_10,Delta_PPN_abs,all_generators,componentwise full local PPN no-cancellation envelope,dimensionless absolute PPN residual vector,SCHEMA_READY_VALUES_MISSING,"component source rows for delta_p, b_R, beta, d_R, w_R, endpoint and readout",Cassini/Mercury/LLR/pulsar/preferred-frame response basis,fitted LCDM/GR-like local baseline with no gamma-only pass,sum absolute components; no pair-cancellation shortcut,PPN;local_GR;Newton,BLOCKED_VALUES_MISSING,False
