source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2867_0_2866_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2866-Y5-R2FR-core-amplitude-blocker-rollup-and-parent-action-reentry-contract-under-AX1090.md,NEXT2866_0_2867;VAL2866_OVERALL,2866 selected sigma-origin/vertical-generator derivation,True,True,,True,False,False,False,False,2026-06-24T14:00:41.573110+00:00
SRC2867_1_2866_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2866_MINIMAL_PARENT_ACTION_CONTRACT.csv,PACT2866_1_sigma_origin;PACT2866_2_invariant;PACT2866_3_action,parent action contract clauses,True,True,,True,False,False,False,False,2026-06-24T14:00:41.574001+00:00
SRC2867_2_2866_variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2866_VARIATIONAL_DERIVATION_CHECK.csv,VAR2866_1_vertical_generator;VAR2866_2_source_variation,conditional variation algebra,True,True,,True,False,False,False,False,2026-06-24T14:00:41.574777+00:00
SRC2867_3_2866_routes,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2866_ROUTE_DECISION_MATRIX.csv,ROUTE2866_0_parent_action_synthesis;ROUTE2866_4_run_A_total_now,route decision matrix,True,True,,True,False,False,False,False,2026-06-24T14:00:41.575505+00:00
SRC2867_4_2866_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2866_NEXT_TARGET.csv,NEXT2866_0_2867,handoff target,True,True,,True,False,False,False,False,2026-06-24T14:00:41.576385+00:00
SRC2867_5_2866_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2866_VALIDATION.csv,VAL2866_OVERALL,2866 validation,True,True,,True,False,False,False,False,2026-06-24T14:00:41.577183+00:00
SRC2867_6_2865_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2865-Y5-R2FR-sigmaR-source-sign-and-common-Green-convention-owner-under-AX1090.md,SIGEV2865_7_parent_contract;GREEN2865_6_verdict,sigma sign/common Green failure,True,True,,True,False,False,False,False,2026-06-24T14:00:41.578539+00:00
SRC2867_7_2865_evidence,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2865_SIGMA_SOURCE_SIGN_EVIDENCE_SCAN.csv,SIGEV2865_0_canonical_source_sign;SIGEV2865_10_variational_obstruction,source sign evidence,True,True,,True,False,False,False,False,2026-06-24T14:00:41.579481+00:00
SRC2867_8_2865_green,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2865_COMMON_GREEN_CONVENTION_AUDIT.csv,GREEN2865_0_common_operator_pair;GREEN2865_6_verdict,common Green convention audit,True,True,,True,False,False,False,False,2026-06-24T14:00:41.580395+00:00
SRC2867_9_2859_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2859-Y5-R2FR-Uamp-parent-origin-or-finite-source-fallback-under-AX1090.md,ORG2859_1_sigma_origin;DER2859_2_missing_origin,U_amp origin demotion,True,True,,True,False,False,False,False,2026-06-24T14:00:41.581106+00:00
