source_id,source_path,required_anchor,purpose,exists,anchor_found,valid_for_claim,claim_allowed
SRC1403_0_1402_doc,1402-Y5-R10-RAB-local-domain-tau-transfer-theorem-or-arena-isolation-ledger.md,NEXT1402_0_1403,handoff selecting WEP source normalization owner or finite prior,True,True,False,False
SRC1403_1_1402_isolation,source-intake/mts_residuals/P8_Y5_R10_1402_ARENA_ISOLATION_LEDGER.csv,ISO1402_1_WEP,WEP arena isolated from clock/R10/PPN,True,True,False,False
SRC1403_2_1402_matrix,source-intake/mts_residuals/P8_Y5_R10_1402_DOMAIN_TRANSFER_MATRIX.csv,DTM1402_0_clock_to_WEP,clock-to-WEP transfer forbidden without parent theorem,True,True,False,False
SRC1403_3_1401_targets,source-intake/mts_residuals/P8_Y5_R10_1401_PRESSURE_TARGET_LEDGER.csv,PT1401_2_WEP_robust_surface,WEP pressure target ledger,True,True,False,False
SRC1403_4_1401_map,source-intake/mts_residuals/P8_Y5_R10_1401_RESIDUAL_SOURCE_MAP.csv,RSM1401_6_WEP,WEP residual source map,True,True,False,False
SRC1403_5_988_WEP,source-intake/mts_residuals/P8_Y5_R10_988_WEP_ALPHA_PRESSURE_IMPORT.csv,WEP988_WAS651_2_clock_screen_only,alpha-only and robust WEP pressure targets plus clock-screen warning,True,True,False,False
SRC1403_6_989_beta_source,source-intake/mts_residuals/P8_Y5_R10_989_BETA_SOURCE_OWNER_LEDGER.csv,BSO989_3_not_clock_screen,beta_source_alpha source owner remains unowned,True,True,False,False
SRC1403_7_988_joint,source-intake/mts_residuals/P8_Y5_R10_988_JOINT_ALPHA_VARIABLE_GATE.csv,JAV988_2_WEP_product,WEP product form and clock transfer warning,True,True,False,False
SRC1403_8_1400_vector,source-intake/mts_residuals/P8_Y5_R10_1400_FINITE_EM_LOCAL_RESIDUAL_VECTOR.csv,REM1400_6_WEP,finite EM local residual WEP component,True,True,False,False
SRC1403_9_this_script,scripts/Y5_R10_RAB_WEP_source_normalization_owner_or_finite_beta_source_prior.py,STATUS,1403 generator,True,True,False,False
