evidence_id,quantity,status,reason,source_path,source_anchor,accepted_live_input,parent_signed,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
EVID2880_0_ZR_raw,Z_R,MISSING_NUMERIC_VALUE,2878 raw queue contains a target but no source-owned value,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2878_RAW_COEFFICIENT_INTAKE_QUEUE.csv,RAW2878_0_ZR,False,False,True,False,False,False,False,2026-06-24T15:26:49.947258+00:00
EVID2880_1_MR2_raw,M_R^2,MISSING_NUMERIC_VALUE,2878 raw queue contains a target but no source-owned value,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2878_RAW_COEFFICIENT_INTAKE_QUEUE.csv,RAW2878_1_MR2,False,False,True,False,False,False,False,2026-06-24T15:26:49.947263+00:00
EVID2880_2_ZAB_parent,Z_AB principal symbol,MISSING_PARENT_RESIDUE,2210 says no current source gives parent-owned Z_AB for q_loc branch,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2210_PARENT_COEFFICIENT_AUDIT.csv,PCA2210_0_Z_AB,False,False,True,False,False,False,False,2026-06-24T15:26:49.947267+00:00
EVID2880_3_MAB_parent,M_AB Hessian,MISSING_PARENT_HESSIAN,M_AB exists as a response-doublet shape but not a proven kinetic/mass operator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2210_PARENT_COEFFICIENT_AUDIT.csv,PCA2210_1_M_AB,False,False,True,False,False,False,False,2026-06-24T15:26:49.947271+00:00
EVID2880_4_derivative_template,derivative operator,TEMPLATE_OPTIONAL_ROUTE,action template lists Z_AB kinetic terms but no parent-sourced coefficient,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1552_PARENT_QSECTOR_ACTION_TEMPLATE.csv,ACT1552_2_derivative_operator,False,False,True,False,False,False,False,2026-06-24T15:26:49.947274+00:00
EVID2880_5_massive_kinetic_ansatz,massive kinetic q-sector,REJECTED_HAIR_RISK_AND_PARENT_INPUTS_MISSING,kinetic route can create exterior hair and lacks Z/M parent inputs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1553_MINIMAL_QSECTOR_ANSATZ_AUDIT.csv,ANS1553_1_massive_kinetic_q,False,False,True,False,False,False,False,2026-06-24T15:26:49.947278+00:00
EVID2880_6_hessian_range_gate,Hessian vs range,RANGE_NOT_NUMERIC,"M_AB is algebraic curvature candidate, not range owner",D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2211_HESSIAN_VS_RANGE_LEMMA.csv,HVR2211_4_verdict,False,False,True,False,False,False,False,2026-06-24T15:26:49.947281+00:00
EVID2880_7_ZM_verdict,Z_AB/M_AB owner,NO_COEFFICIENT_OWNER_SIGNED_FINITE_RANGE_DEMOTED,no kinetic principal symbol or live parent operator is signed,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2211_ZM_OWNER_AUDIT.csv,ZMO2211_5_verdict,False,False,True,False,False,False,False,2026-06-24T15:26:49.947285+00:00
EVID2880_8_strict_branch,strict fixed-L0 branch,FINITE_RANGE_R10_REJECTED_FOR_STRICT_BRANCH,no generalized eigenvalue problem when principal symbol is absent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2212_STRICT_L0_PRINCIPAL_SYMBOL_AUDIT.csv,PSA2212_4_strict_verdict,False,False,True,False,False,False,False,2026-06-24T15:26:49.947288+00:00
EVID2880_9_M_lock,M_AB lock,MAB_LOCK_NOT_PARENT_SIGNED,"shape clause passes only nonclaim; parent density, units, domain, rank/sign and null/source compatibility fail",D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2215_MAB_LOCK_SIGNATURE_AUDIT.csv,LOCK2215_7_verdict,False,False,True,False,False,False,False,2026-06-24T15:26:49.947292+00:00
