checkpoint,source_id,source_path,exists,needle,needle_found,role,valid_for_claim,timestamp_utc
4734,SRC4734_0_resume,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\CURRENT_LOCAL_RESUME.md,True,4734-Y5-R2FR-VXB-source-amplitude-and-R826-XB-Lipschitz-row-or-parent-qbasic-proof.md,True,current local handoff into 4734,False,2026-07-07T23:11:48+00:00
4734,SRC4734_1_4733_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4733-Y5-R2FR-XB-qbasic-lock-and-Jm-hidden-source-row-or-R826-descent-proof.md,True,L_R826_XB V_XB,True,4733 introduced V_XB source row,False,2026-07-07T23:11:48+00:00
4734,SRC4734_2_4733_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4733_NEXT_TARGET.csv,True,4734-Y5-R2FR-VXB-source-amplitude-and-R826-XB-Lipschitz-row-or-parent-qbasic-proof.md,True,machine handoff into 4734,False,2026-07-07T23:11:48+00:00
4734,SRC4734_3_4733_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4733_XB_QBASIC_LOCK_THEOREM.csv,True,XBT4733_6_verdict,True,X_B lock not promoted,False,2026-07-07T23:11:48+00:00
4734,SRC4734_4_4733_components,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4733_XB_COMPONENT_QBASIC_AUDIT.csv,True,XBC4733_7_verdict,True,X_B component audit,False,2026-07-07T23:11:48+00:00
4734,SRC4734_5_4733_descent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4733_R826_DESCENT_OR_XB_DERIVATIVE_ROWS.csv,True,RDX4733_2_bound_case,True,R826-XB bound case,False,2026-07-07T23:11:48+00:00
4734,SRC4734_6_4733_jm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4733_JM_HIDDEN_SOURCE_ROW_CONTRACT.csv,True,JMH4733_1_VXB,True,J_m hidden V_XB source row,False,2026-07-07T23:11:48+00:00
4734,SRC4734_7_XB_85,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\85-coarse-graining-invariants-XB.md,True,A_curv,True,X_B component definitions,False,2026-07-07T23:11:48+00:00
4734,SRC4734_8_XB_86,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\86-XB-invariant-gate.md,True,sharp transitions need q-current bounds,True,transition current warning,False,2026-07-07T23:11:48+00:00
4734,SRC4734_9_Lcg_87,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\87-Lcg-coarse-graining-rule.md,True,L_cg_coherence_rule_candidate_not_derived,True,L_cg candidate not parent-derived,False,2026-07-07T23:11:48+00:00
4734,SRC4734_10_Lcg_88,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\88-Lcg-rule-gate.md,True,open_Lcg_gradient_trace_warning,True,L_cg trace warning gate,False,2026-07-07T23:11:48+00:00
4734,SRC4734_11_source_89,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\89-source-model-curvature-Lcg-test.md,True,trace_gradient_proxy,True,source-model trace-gradient proxy,False,2026-07-07T23:11:48+00:00
4734,SRC4734_12_trace_90,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\90-Lcg-gradient-trace-bound.md,True,fail_constant_FL_leaks_locally,True,local trace leak if unsuppressed,False,2026-07-07T23:11:48+00:00
4734,SRC4734_13_trace_91,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\91-trace-suppression-closure-gate.md,True,U_B^nT,True,trace suppression closure candidate,False,2026-07-07T23:11:48+00:00
4734,SRC4734_14_variable_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\04-variable-audit.csv,True,"X_B,X_B; environmental invariant set",True,canonical X_B variable audit row,False,2026-07-07T23:11:48+00:00
