source_id,source_kind,source_locator,source_exists,needle,needle_found,role,source_validated,valid_for_claim,timestamp_utc
SRC4862_00_4861,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4861-Y5-R2FR-shared-cone-matter-frame-Hilbert-variation-or-base-metric-branch-selection.md,True,PUBLIC_FRAME_VARIATION_SELECTION_4861,True,public-frame coefficient and source baseline,True,False,2026-07-10T02:30:00+01:00
SRC4862_01_coeff,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4861_PUBLIC_COEFFICIENTS.csv,True,CF4861_7_c14,True,transformed coefficient surface,True,False,2026-07-10T02:30:00+01:00
SRC4862_02_ppn,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4861_PUBLIC_PPN.csv,True,PPN4861_2_alpha2,True,public weak PPN formulas,True,False,2026-07-10T02:30:00+01:00
SRC4862_03_cos,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4861_NEWTON_COSMO_CALIBRATION.csv,True,CAL4861_4_ratio,True,Gcos/GN map,True,False,2026-07-10T02:30:00+01:00
SRC4862_04_bounds,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\local_bound_claims.csv,True,R5_alpha1,True,local weak preferred-frame source row,True,False,2026-07-10T02:30:00+01:00
SRC4862_05_bounds_caveat,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\local_bound_claims.csv,True,R6_alpha2,True,strong-field alpha2 proxy retained with caveat,True,False,2026-07-10T02:30:00+01:00
SRC4862_06_R10,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\r10\derived\staging\R10_EotWash2020_alpha_lambda_VISUAL_NONCLAIM_1499.csv,True,3.86000000e-05,True,shortest source-backed local gravity length anchor used as EFT resolution scale,True,False,2026-07-10T02:30:00+01:00
SRC4862_07_prior,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4861_VALIDATION.csv,True,VAL4861_OVERALL,True,prior checkpoint validation,True,False,2026-07-10T02:30:00+01:00
SRC4862_08_checkpoint,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4862-Y5-R2FR-public-frame-absolute-p-bound-and-strong-coupling-cutoff-or-fallback-selection.md,True,PUBLIC_P_BOUND_CUTOFF_SELECTION_4862,True,human derivation,True,False,2026-07-10T02:30:00+01:00
SRC4862_09_formal,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\878-PPC4161-public-frame-absolute-p-and-cutoff-window.md,True,PPC4161_PUBLIC_P_CUTOFF_4862,True,formal integration,True,False,2026-07-10T02:30:00+01:00
SRC4862_10_claim,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,True,L-704,True,claim register,True,False,2026-07-10T02:30:00+01:00
SRC4862_11_variable,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\04-variable-audit.csv,True,p_public_cutoff_window,True,variable integration,True,False,2026-07-10T02:30:00+01:00
SRC4862_12_equation,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\05-equation-register.md,True,1.155 Public-frame absolute-`p` and canonical cutoff window,True,equation integration,True,False,2026-07-10T02:30:00+01:00
SRC4862_13_redteam,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\06-consistency-red-team.md,True,106. Public-frame absolute-`p` and cutoff red team,True,red-team integration,True,False,2026-07-10T02:30:00+01:00
