branch_id,source_key,source_path,needed_for,needles,status,missing_needles,valid_for_claim,claim_allowed,generated_utc
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1916_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1916-Y5-R2FR-frame-residual-zero-proof-or-source-bound-row.md,1917 single-public-metric/q-kernel proof or first c_g row,ZFG1916_7_total;NEXT1916_0_primary,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1916_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1916_VALIDATION.csv,1917 single-public-metric/q-kernel proof or first c_g row,VAL1916_OVERALL;PASS,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1916_zero_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1916_FRAME_ZERO_PROOF_GATE.csv,1917 single-public-metric/q-kernel proof or first c_g row,ZFG1916_7_total;FRAME_ZERO_NOT_PROVED_CURRENT_CORPUS,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1916_signature_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1916_PARENT_SIGNATURE_CONTRACT.csv,1917 single-public-metric/q-kernel proof or first c_g row,PSC1916_3_single_public_frame;PSC1916_1_kernel_null,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1916_cg_row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1916_FRAME_SOURCE_BOUND_ROWS_NONCLAIM.csv,1917 single-public-metric/q-kernel proof or first c_g row,FSB1916_0_cg_weyl;MISSING_PARENT_ZERO_OR_NUMERIC_CG,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1916_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1916_NEXT_TARGET.csv,1917 single-public-metric/q-kernel proof or first c_g row,NEXT1916_0_primary;1917-Y5-R2FR-single-public-metric-q-kernel-null-certificate-or-first-cg-row.md,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1029_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1029-Y5-R10-cg-no-shadow-frame-theorem-or-first-numeric-coupling-row.md,1917 single-public-metric/q-kernel proof or first c_g row,no-shadow-frame theorem;Current MTS still cannot claim,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1029_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1029_VALIDATION.csv,1917 single-public-metric/q-kernel proof or first c_g row,V1029_14_formalization_untouched;pass,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1029_no_shadow,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1029_NO_SHADOW_FRAME_THEOREM_AUDIT.csv,1917 single-public-metric/q-kernel proof or first c_g row,NST1029_6_verdict;FAIL_CURRENT_CLAIM,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1029_cg_intake,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1029_CG_INTAKE_TEMPLATE.csv,1917 single-public-metric/q-kernel proof or first c_g row,CGI1029_1_finite_cg_R10;MISSING_PARENT_INPUT,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1030_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1030-Y5-R10-single-public-metric-parent-action-derivation-or-cg-provenance-gate.md,1917 single-public-metric/q-kernel proof or first c_g row,single-public-metric parent action;Claim ceiling,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1030_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1030_VALIDATION.csv,1917 single-public-metric/q-kernel proof or first c_g row,V1030_13_formalization_untouched;pass,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1030_spm_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1030_SINGLE_PUBLIC_METRIC_DERIVATION_AUDIT.csv,1917 single-public-metric/q-kernel proof or first c_g row,SPD1030_6_verdict;NOT_DERIVED_CURRENT_CORPUS,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1030_action_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1030_PUBLIC_METRIC_ACTION_CONTRACT.csv,1917 single-public-metric/q-kernel proof or first c_g row,SPM1030_6_contract_verdict;CONTRACT_READY_NOT_CURRENT_THEOREM,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1030_cg_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1030_CG_PROVENANCE_GATE_BINDING.csv,1917 single-public-metric/q-kernel proof or first c_g row,CPG1030_1_finite_cg_value;MISSING_PARENT_INPUT_AND_SOURCE,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1031_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1031-Y5-R10-quotient-naturality-terminal-public-metric-proof-or-spm-closure.md,1917 single-public-metric/q-kernel proof or first c_g row,terminal public metric proof;demoted to an explicit nonclaim closure,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1031_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1031_VALIDATION.csv,1917 single-public-metric/q-kernel proof or first c_g row,V1031_13_formalization_untouched;pass,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1031_terminal_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1031_TERMINAL_PUBLIC_METRIC_PROOF_AUDIT.csv,1917 single-public-metric/q-kernel proof or first c_g row,TPM1031_6_verdict;NOT_DERIVED_CURRENT_CORPUS,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1031_spm_closure,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1031_SPM_CLOSURE_BRANCH.csv,1917 single-public-metric/q-kernel proof or first c_g row,SPMC1031_0_closure_name;AVAILABLE_AS_CLOSURE_ONLY,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1031_finite_cg,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1031_FINITE_CG_TAU_FALLBACK.csv,1917 single-public-metric/q-kernel proof or first c_g row,FCG1031_0_cg_value;MISSING_PARENT_INPUT_OR_THEOREM,EXISTS_NEEDLES_CONFIRMED,,False,False,2026-06-19T20:50:57.032689+00:00
