timestamp_utc,branch_id,valid_for_claim,claim_allowed,source_id,source_path,path_exists,expected_needles,needles_found,role
2026-06-20T18:53:54.504109+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_00_2116_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2116_NEXT_TARGET.csv,True,NEXT2116_0_2117; sector exceptions,True,2116 selects canonical owned-coframe promotion or sector exceptions.
2026-06-20T18:53:54.504644+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_01_2116_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2116_PARENT_SPIN_SIGNATURE_AUDIT.csv,True,PSS2116_6_verdict; SIGNED_INSIDE_1963_CANDIDATE_NOT_GLOBAL_CORPUS,True,2116 closes spin only inside the 1963 candidate branch.
2026-06-20T18:53:54.505118+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_02_2116_axial,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2116_AXIAL_COMPONENT_SOURCE_VALUES.csv,True,ACV2116_0_xi_A_candidate_branch; DERIVED_ZERO_ONLY_INSIDE_CANDIDATE_BRANCH,True,2116 derives xi_A zero only inside the candidate branch.
2026-06-20T18:53:54.505776+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_03_2116_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2116_VALIDATION.csv,True,VAL2116_OVERALL; PASS,True,2116 validation passed.
2026-06-20T18:53:54.506294+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_04_1963_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1963_MINIMAL_PARENT_ACTION_SIGNATURE.csv,True,ACT1963_0_target; ACT1963_5_no_independent_Gamma_clause; FORWARD_LEAP_NOT_FINAL_CLAIM,True,1963 candidate parent action and status.
2026-06-20T18:53:54.506889+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_05_1963_nogamma,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1963_NO_GAMMA_THEOREM.csv,True,NGT1963_0_theorem; NGT1963_1_spinor_guard; NGT1963_3_not_EH,True,1963 no-Gamma theorem and scope limit.
2026-06-20T18:53:54.507588+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_06_2114_sector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2114_SECTOR_GAMMA_SLOT_AUDIT.csv,True,SGS2114_0_gravity_geometry; SGS2114_9_verdict; FAIL_CURRENT_CLAIM,True,2114 all-sector Gamma-slot audit.
2026-06-20T18:53:54.508404+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_07_2114_arena,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2114_ARENA_IMPACT.csv,True,ARENA2114_1_WEP; ARENA2114_5_ORBIT; MISSING_PROJECTION_MATRIX,True,2114 arena impact ledger.
2026-06-20T18:53:54.509506+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_08_2114_cmts,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2114_CMTS_SOURCE_PACK.csv,True,CMTS2114_8_total; NOT_RUN_COMPONENTS_MISSING,True,2114 C_MTS total residual pack.
2026-06-20T18:53:54.510577+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,False,SRC2117_09_1309_matter,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1309_MATTER_CONSTANT_PREMISE_GATE.csv,True,MCG1309_0_observed_coframe; CONDITIONAL_NOT_PARENT_DERIVED,True,1309 matter coframe/spin connection condition.
