same_parent_branch_id,source_id,source_path,exists,needle_found,needles,purpose,numeric_value_present,source_backed,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_0_1558_doc,1558-Y5-qR-beta-matter-clock-coefficient-source-map-or-rejection.md,True,True,`q_R` now has a derived PPN translation; not yet a local-GR derivation,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_1_1558_validation,source-intake/mts_residuals/P8_Y5_BRR545_1558_VALIDATION.csv,True,True,VAL1558_OVERALL; PASS,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_2_1558_next,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1558_NEXT_TARGET.csv,True,True,1559-Y5-qR-delta-beta-two-parameter-PPN-control-runner,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_3_1558_coefficients,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1558_PPN_COEFFICIENT_DERIVATION.csv,True,True,PPNC1558_0_qR_gamma; PPNC1558_6_perihelion_degeneracy,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_4_1558_readiness,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1558_COEFFICIENT_READINESS_MATRIX.csv,True,True,READY1558_0_qR_gamma; TRANSLATION_ONLY,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_5_1557_budget,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1557_BOUND_BUDGET_NONCLAIM.csv,True,True,BUD1557_0_qR; BUD1557_1_delta_beta,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_6_14_doc,14-closure-deviation-PPN-sensitivity.md,True,True,Mercury shift factor = (2 q_R - delta_beta)/3.,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_7_13_doc,13-local-closure-PPN-benchmark.md,True,True,R_AB approx q_R L; gamma approx 1 + q_R.,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_8_10_doc,10-observer-map-symplectic-contract.md,True,True,derive R_AB=0 from the parent theory; beta - 1 = 0,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1559_9_local_bound_claims,source-intake/local_bounds/local_bound_claims.csv,True,True,,evidence for q_R/delta_beta two-parameter PPN control runner and parent zero-condition hunt,False,False,False,False,False,False
