source_id,source_path,anchors,role,path_exists,anchors_found,missing_anchors,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC2859_0_2858_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2858-Y5-R2FR-minimal-amplitude-doublet-action-consistency-gate-or-reject-under-AX1090.md,NEXT2858_0_2859;VAL2858_OVERALL,2858 handoff,True,True,,True,False,False,False,False,2026-06-24T13:06:44.689215+00:00
SRC2859_1_2858_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2858_NEXT_TARGET.csv,NEXT2858_0_2859,2859 selected,True,True,,True,False,False,False,False,2026-06-24T13:06:44.689737+00:00
SRC2859_2_2858_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2858_VALIDATION.csv,VAL2858_OVERALL,2858 validation,True,True,,True,False,False,False,False,2026-06-24T13:06:44.690153+00:00
SRC2859_3_2858_consistency,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2858_CONSISTENCY_GATE_MATRIX.csv,GATE2858_0_algebra;GATE2858_4_action_origin,consistency gate,True,True,,True,False,False,False,False,2026-06-24T13:06:44.690604+00:00
SRC2859_4_2858_nontuning,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2858_NON_TUNING_AUDIT.csv,NT2858_0_before_readout;NT2858_5_verdict,non-tuning audit,True,True,,True,False,False,False,False,2026-06-24T13:06:44.691144+00:00
SRC2859_5_2858_quotient,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2858_QUOTIENT_COMPATIBILITY_AUDIT.csv,QCA2858_1_Dq;QCA2858_5_verdict,quotient audit,True,True,,True,False,False,False,False,2026-06-24T13:06:44.691746+00:00
SRC2859_6_2858_fallback,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2858_FINITE_FALLBACK_REQUIREMENTS.csv,FB2858_0_Q_CAB;FB2858_6_runner,finite fallback requirements,True,True,,True,False,False,False,False,2026-06-24T13:06:44.692413+00:00
SRC2859_7_2858_verdict,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2858_VERDICT_LEDGER.csv,VER2858_0_algebra;VER2858_3_best_next,2858 verdict,True,True,,True,False,False,False,False,2026-06-24T13:06:44.693444+00:00
SRC2859_8_2857_ansatz,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2857_MINIMAL_DOUBLET_ACTION_ANSATZ.csv,ANS2857_2_quotient_invariant;ANS2857_3_action,U_amp ansatz,True,True,,True,False,False,False,False,2026-06-24T13:06:44.693947+00:00
SRC2859_9_2857_algebra,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2857_ANSATZ_ALGEBRA_CHECK.csv,ALG2857_0_invariant;ALG2857_5_tuning_guard,U_amp algebra,True,True,,True,False,False,False,False,2026-06-24T13:06:44.694376+00:00
SRC2859_10_2857_ownership,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2857_PARENT_OWNERSHIP_GATE.csv,OWN2857_0_sigma;OWN2857_6_full_vector,ownership gates,True,True,,True,False,False,False,False,2026-06-24T13:06:44.694888+00:00
SRC2859_11_2844_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2844_CAB_AMPLITUDE_SOURCE_PACK.csv,PACK2844_0_Q_CAB;PACK2844_4_q_R_eff,amplitude source pack,True,True,,True,False,False,False,False,2026-06-24T13:06:44.695406+00:00
SRC2859_12_2844_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2844_PARENT_AMPLITUDE_CONTRACT.csv,CONTRACT2844_1_source_current;CONTRACT2844_5_sign,parent amplitude contract,True,True,,True,False,False,False,False,2026-06-24T13:06:44.695816+00:00
SRC2859_13_2854_blockers,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2854_BLOCKER_LEDGER.csv,BLOCK2854_0_Q_CAB;BLOCK2854_6_full_vector,blocker ledger,True,True,,True,False,False,False,False,2026-06-24T13:06:44.696235+00:00
