source_id,path,exists,needle,needle_found,role,timestamp_utc
SRC4047_00,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4041_CNORM_SPLIT.csv,True,Delta_source_norm = D_a ln mu_obs = D_a ln G_obs,True,"4041 c_norm split into G, source mass, and epsilon factors",2026-07-02T00:15:55+00:00
SRC4047_01,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4041_KAPPA_OBS_ROUTING.csv,True,spacetime-varying coupling is physical,True,4041 Bianchi guard against hiding drift,2026-07-02T00:15:55+00:00
SRC4047_02,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4016_GREF_SUPERSELECTION_THEOREM.csv,True,D_X ln G_ref=0,True,fixed coupling branch gives G derivative silence,2026-07-02T00:15:55+00:00
SRC4047_03,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4016_GLOBAL_COUPLING_AUDIT.csv,True,parent configuration splits dynamical fields from K_G,True,records unsigned status of global coupling superselection,2026-07-02T00:15:55+00:00
SRC4047_04,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4015_GAUSS_POISSON_GREF_NEWTON_THEOREM.csv,True,MTS may likewise calibrate G_ref,True,Newton constant policy and calibration guard,2026-07-02T00:15:55+00:00
SRC4047_05,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4011_HILBERT_WORLDTUBE_LOCK_THEOREM.csv,True,D_v W_H=0,True,worldtube/support descent needed for source mass constancy,2026-07-02T00:15:55+00:00
SRC4047_06,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4012_PIM_HTAU_CHARGE_LOCK_THEOREM.csv,True,M_H_ref=H_tau-H_ref=Mbar_H_ref(q(Phi)),True,Pi_M/H_tau/Hilbert mass-charge lock,2026-07-02T00:15:55+00:00
SRC4047_07,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4038_POYNTING_NO_FLUX_THEOREM.csv,True,c_Poynting * Phi_EM_rad = 0,True,Poynting/boundary no-flux source-mass guard,2026-07-02T00:15:55+00:00
SRC4047_08,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4043_SELECTED_BRANCH_ZERO_THEOREM.csv,True,No local domain preferred-momentum flux is generated.,True,projector/domain source-normalization silence,2026-07-02T00:15:55+00:00
SRC4047_09,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4046-Y5-R2FR-memory-tail-support-gap-zero-theorem-or-tail-bound-inputs.md,True,Delta_cZ_selected=0,True,4046 memory tail closure carried forward,2026-07-02T00:15:55+00:00
SRC4047_10,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3954_LOCAL_COUPLING_PRODUCT_GATE.csv,True,D_X ln product must vanish,True,local coupling product derivative target,2026-07-02T00:15:55+00:00
SRC4047_11,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3954_Z_SOURCE_CURRENT_THEOREM.csv,True,J_A|0=0,True,source-current silence theorem,2026-07-02T00:15:55+00:00
SRC4047_12,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4018_SECOND_ORDER_PPN_STABILITY_THEOREM.csv,True,source prefactors are absent,True,PPN second-order source-prefactor guard,2026-07-02T00:15:55+00:00
SRC4047_13,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4019_NO_EXTRA_OPERATOR_THEOREM.csv,True,EH field equation with fixed K_G,True,EH-only local exterior route,2026-07-02T00:15:55+00:00
SRC4047_14,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_SOURCE_NORMALIZATION_DERIVED_ZERO_TARGETS.csv,True,parent compact-exterior source identity gives d(Pi_M J)=0,True,source-normalization channel zero targets,2026-07-02T00:15:55+00:00
SRC4047_15,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_R11_SOURCE_NORMALIZATION_OPERATOR_MINIMUM_FILL.csv,True,epsilon_radial_Meff,True,fallback coefficient list for nonzero c_norm channels,2026-07-02T00:15:55+00:00
