audit_id,claim_piece,formal_statement,current_status,derivation_or_obstruction,source_anchor,parent_signed,valid_for_claim,claim_allowed,timestamp_utc
TPA2689_0_target,total parent action/source functor owner,"One parent variational object owns geometry, ordinary matter, source extraction, coupling selection, readout and residual slots before fitting.",TARGET_SHARP,This is the object that would make source-label forgetting a derivation rather than a typed closure.,2688:DEC2688_3_next;1055:PAC1055_6_single_parent_action,false,false,false,2026-06-23T07:14:04.928509+00:00
TPA2689_1_single_parent_action_shape,single action skeleton,"S_parent = S_geom + S_hidden + S_EM[q(Phi)] + sum_A S_A[Psi_A,q(Phi),theta_A] + S_boundary + S_res.",SCHEMA_EXISTS_NOT_DERIVED,"The skeleton is useful, but existing sources call it contract/skeleton rather than a parent-derived MTS Lagrangian with variations.",1055:PAC1055_6_single_parent_action;2485:NF2485_0_parent_action_skeleton,false,false,false,2026-06-23T07:14:04.928514+00:00
TPA2689_2_total_hilbert_source,total Hilbert source extraction,"T_total := 2/sqrt(-g_obs) delta S_matter/delta g_obs = sum_A T_A, computed before source/readout selection.",EXACT_CONDITIONAL_SUBTHEOREM,Works once one common matter action and variation-before-readout are signed; it does not forbid pre-action weights by itself.,2648:SFL2648_1_hilbert_owner_if_common_action;1838:SLG1838_0_total_Hilbert_source,false,false,false,2026-06-23T07:14:04.928517+00:00
TPA2689_3_source_domain_quotient,q_src labelled-family quotient,"q_src({(T_A,A)}) = T_total before coupling selection, and F_src accepts only T_total.",SOURCE_DOMAIN_QUOTIENT_NOT_CONSTRUCTED,No current parent construction proves the source functor has no access to species/source labels.,2648:LFA2648_0_domain_quotient;1893:SFL1893_0_target,false,false,false,2026-06-23T07:14:04.928520+00:00
TPA2689_4_no_prefactor_package,no pre-action source prefactor,"w_A S_A, kappa_A T_A and source-only material multipliers are not legal parent objects before variation.",NO_SOURCE_PREFACTOR_NOT_DERIVED,"The countermodel survives: if w_A is legal before variation, Hilbert variation returns a weighted source.",2648:SFL2648_4_preaction_prefactor_obstruction;2648:LFA2648_1_no_prefactors,false,false,false,2026-06-23T07:14:04.928523+00:00
TPA2689_5_source_shadow_nonhilbert,no shadow/non-Hilbert labelled current,"T_active = delta S_matter/delta e_obs and J_NH,label=0, or any bypass is an explicit residual.",SOURCE_SHADOW_BAN_UNSIGNED,"Bianchi filters inconsistency, but a real conserved shadow block or projector can still carry labels unless excluded or bounded.",2616:SSB2616_1_variational_owner_filter;2616:SSB2616_4_no_nonHilbert_label_current,false,false,false,2026-06-23T07:14:04.928526+00:00
TPA2689_6_connected_action_line,connected matter category/action-density line,Connected ordinary matter plus one action-density line collapses relative weights to a common calibration mode.,EXACT_CONDITIONAL_PARENT_EDGES_UNSIGNED,"Naturality is clean, but parent-owned graph edges and the line/measure/current owner are not signed.",1905:CMC1905_1_naturality;1905:ADL1905_0_line_owner,false,false,false,2026-06-23T07:14:04.928528+00:00
TPA2689_7_readout_radiative_stability,readout/radiative/projector no-reentry,Post-variation maps cannot regenerate source labels or alter the active-source coefficient codomain.,READOUT_RADIATIVE_STABILITY_UNSIGNED,Even a tree source theorem does not survive to WEP/R10/PPN/clocks/orbits until this is parent-signed or residualized.,1055:ADG1055_4_radiative_closure;2648:LFA2648_2_variation_before_readout,false,false,false,2026-06-23T07:14:04.928531+00:00
TPA2689_8_common_coupling_owner,single universal source coupling/common mode,"F_src(T_total)=kappa_univ T_total, with G/kappa/GM common-mode calibration only after no label/time/range/frame dependence.",COMMON_COUPLING_OWNER_UNSIGNED,"A common factor can be calibrated, but relative source labels can hide in the calibration if the previous gates are open.",2648:LFA2648_4_projected_mass_calibration;1055:ADG1055_3_source_label_forgetting,false,false,false,2026-06-23T07:14:04.928534+00:00
TPA2689_9_verdict,promote total parent action/source-label forgetting,The current corpus parent-derives one action/source functor that forgets species labels before source coupling.,TOTAL_PARENT_ACTION_SOURCE_LABEL_FORGETTING_NOT_DERIVED,The clean theorem is now localized to q_src + no-prefactor + no-shadow + action-line/readout/coupling owner; current evidence does not sign the package.,TPA2689_0_target through TPA2689_8_common_coupling_owner,false,false,false,2026-06-23T07:14:04.928537+00:00
