source_id,source_path,exists,needle,needle_found,role,valid_for_claim,generated_utc
SRC1036_0_1035_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1035_NEXT_TARGET.csv,true,1036-Y5-R10-parent-X-quadratic-action-and-beta-source-test-split.md,true,1035 handoff to parent X quadratic action and beta split.,false,2026-06-14T07:02:01.874436+00:00
SRC1036_1_1035_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1035_KERNEL_DERIVATION_AUDIT.csv,true,KXD1035_2_point_body_yukawa_match,true,1035 conditional Green-kernel and point-body match.,false,2026-06-14T07:02:01.874752+00:00
SRC1036_2_1035_charge_split,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1035_SOURCE_TEST_CHARGE_SPLIT.csv,true,BETA1035_1_universal_weyl,true,1035 source/test product law and c_g-squared warning.,false,2026-06-14T07:02:01.875048+00:00
SRC1036_3_1025_hessian,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1025-Y5-R10-parent-Hessian-ZX-MX2-range-or-alpha-source-row.md,true,SV1025_3_range_relation,true,1025 exact second-variation/range contract.,false,2026-06-14T07:02:01.875381+00:00
SRC1036_4_1026_metric_fail,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1026-Y5-R10-parent-metric-ZXfX2-beta-eigenvalue-or-source-zero-return.md,true,FAIL_CURRENT_CLAIM,true,1026 parent metric/eigenvalue route failed.,false,2026-06-14T07:02:01.875703+00:00
SRC1036_5_1027_source_zero_fail,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1027-Y5-R10-qbarXT-source-zero-or-bounded-coupling-row.md,true,FAIL_CURRENT_CLAIM,true,1027 qbar_XT/J_X source-zero theorem failed current claim.,false,2026-06-14T07:02:01.876014+00:00
SRC1036_6_1028_no_marker_fail,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1028-Y5-R10-frame-marker-coupling-bound-input-pack-or-no-marker-theorem.md,true,NM1028_6_verdict,true,1028 no-marker/no-shadow coupling theorem remains unsigned.,false,2026-06-14T07:02:01.876344+00:00
SRC1036_7_617_field_space,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_617_FIELD_SPACE_NORMALIZATION_ATTEMPT.csv,true,FS617_5_finite_branch_ceiling,true,617 finite-branch metric/normalization ceiling.,false,2026-06-14T07:02:01.876645+00:00
SRC1036_8_618_source_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_618_SOURCE_ZERO_CERTIFICATE_AUDIT.csv,true,SZ618_5_full_source_zero_certificate,true,618 source-zero certificate audit.,false,2026-06-14T07:02:01.876941+00:00
SRC1036_9_669_owner_gates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_669_LX_OWNER_GATE_TESTS.csv,true,G669_0_branch_extremum,true,669 L_X owner gates.,false,2026-06-14T07:02:01.877230+00:00
SRC1036_10_955_matter_lemma,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_955_MINIMAL_MATTER_ACTION_LEMMA.csv,true,MMA955_6_verdict,true,"955 minimal matter action lemma remains a contract, not a parent derivation.",false,2026-06-14T07:02:01.877526+00:00
SRC1036_11_bound_candidate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\R10_alpha_lambda_bound_curve_1034_REVIEW_CANDIDATE_NONCLAIM.csv,true,R10_VECTOR_2020_REVIEW_0000,true,"1034 R10 bound review candidate, nonclaim.",false,2026-06-14T07:02:01.878623+00:00
