source_id,role,path,needle,exists,needle_found,valid_for_claim,timestamp_utc
SRC3974_00_3973_next,3973 handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3973_NEXT_TARGET.csv,NEXT3973_0,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_01_3973_zero,3973 conditional lemma,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3973_BOUNDARY_HAIR_ZERO_ATTEMPT.csv,BHZ3973_0_conditional_nohair_lemma,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_02_3973_coeffs,3973 coefficient vector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3973_BOUNDARY_HAIR_COEFFICIENT_ROWS.csv,BHC3973_0_total_boundary_hair,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_03_3973_claim,3973 zero claim gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3973_CLAIM_GATE.csv,CLG3973_1_zero,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_04_owner_O0,scalar singlet owner attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_ACTION_OWNER_ATTEMPT.csv,O0_representation_zero,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_05_owner_O1,homogeneous scalar action attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_ACTION_OWNER_ATTEMPT.csv,O1_homogeneous_scalar_action,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_06_owner_O2,scalar-not-enough warning,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_ACTION_OWNER_ATTEMPT.csv,O2_scalar_not_enough_warning,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_07_owner_O4,no marker owner gap,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_ACTION_OWNER_ATTEMPT.csv,O4_no_marker_fields,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_08_owner_O5,Ward flux closure gap,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_ACTION_OWNER_ATTEMPT.csv,O5_Ward_flux_closure,True,True,False,2026-07-01T16:13:24+00:00
SRC3974_09_owner_O6,constant monopole gap,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_BOUNDARY_SCALAR_ACTION_OWNER_ATTEMPT.csv,O6_constant_monopole,True,True,False,2026-07-01T16:13:24+00:00
