source_id,source_path,path_exists,required_anchors,anchors_found,missing_anchors,role,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
SRC3006_00_3005_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3005_NEXT_TARGET.csv,True,NEXT3005_0_3006; theta_MTS,True,,3005 selects parent theta/Q_tau/H_tau extraction next.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_01_3005_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3005-Y5-R2FR-Mref-denominator-ownership-or-Bv-envelope-scoreability-under-AX1090.md,True,Current MTS does not yet sign that stack; parent `theta_MTS/Q_tau/H_tau` owner,True,,3005 identifies parent Hamiltonian-current ownership as the upstream denominator blocker.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_02_1008_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1008-Y5-R10-parent-theta-Qtau-extraction-or-charge-decomposition-runner.md,True,PVA1008_6_verdict; fail_current_claim,True,,1008 attempted theta/Q_tau extraction and refused current claim.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_03_1008_variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1008_PARENT_VARIATION_AUDIT.csv,True,PVA1008_0_parent_action; PVA1008_6_verdict,True,,1008 parent variation audit: formal current-chain shape exists but is not extracted.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_04_1008_pieces,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1008_CHARGE_PIECE_LEDGER.csv,True,QTA1008_1_theta_total; QTA1008_8_Q_total,True,,1008 charge piece ledger names theta_MTS and Q_tau^MTS missing pieces.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_05_1009_sector_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1009_PARENT_SECTOR_CONTRACT.csv,True,PCS1009_0_EH_core; PCS1009_8_worldtube_source_glue,True,,1009 sector contract lists retained sectors and current owner status.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_06_993_decomposition,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_993_QTAU_DECOMPOSITION_LEDGER.csv,True,QDEC993_0_EH; QDEC993_5_total,True,,993 Q_tau decomposition shows EH reference is not total MTS charge.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_07_1646_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1646_THETA_QTAU_CURRENT_OWNER_AUDIT.csv,True,TQ1646_0_parent_variation; TQ1646_5_owner_verdict,True,,1646 current-owner audit refuses Theta_total/Q_tau promotion.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_08_771_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_771_THETA_QTAU_CURRENT_OWNER_AUDIT.csv,True,TQ771_0_parent_variation; TQ771_6_owner_verdict,True,,771 older owner audit records same parent-current blockers.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_09_2552_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_SHADOW_2552_CURRENT_CHAIN_PROMOTION_CONTRACT.csv,True,PCC2552_0_single_action_source; PCC2552_7_source_bridge,True,,2552 current-chain promotion contract gives required reopen clauses.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
SRC3006_10_2552_verdict,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_SHADOW_2552_THETA_QTAU_PROMOTION_VERDICT.csv,True,TQV2552_0_conditional_sum; TQV2552_1_current_promotion,True,,2552 says the sector-sum theorem is conditional only and not current evidence.,3006,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T10:43:55.587821+00:00
