same_parent_branch_id,channel_id,leak_parameter,meaning,null_lane_value,first_observables,leading_control_map,missing_parent_inputs,local_bound_rows,status,source_paths,numeric_value_present,source_backed,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_0_qR_gamma,q_R,reciprocal hair coefficient in R_AB approximately q_R L,0,gamma_minus_1; light_bending; Shapiro; perihelion,"gamma_minus_1 ~= C_gamma_qR q_R, with internal control C_gamma_qR=1 not parent-signed",C_gamma_qR; parent R_AB leakage map; source normalization,R3_gamma,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_1_delta_beta,delta_beta,nonlinear completion drift away from beta=1,0,beta_minus_1; perihelion,beta_minus_1 ~= C_beta_delta delta_beta; Mercury control factor=(2 q_R-delta_beta)/3,C_beta_delta; second-order weak-field completion,R4_beta,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_2_epsilon_matter,epsilon_matter,spread away from universal matter/coframe coupling,0,eta_WEP_direct_geometry; eta_WEP_source_charge,eta ~= C_eta_epsilon epsilon_matter,C_eta_epsilon; matter action descent; no shadow-frame coupling,R0_identity_coframe_direct; R1_WEP_source_charge,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_3_alpha_clock,alpha_clock,clock/load redshift anomaly,0,alpha_clock_redshift,redshift anomaly ~= C_clock alpha_clock,C_clock; universal clock/load readout map,R2_clock_redshift,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_4_Gdot_source_norm,sigma_Gdot,time drift in measured source normalization GM or effective G,0 yr^-1,Gdot_over_G,Gdot/G ~= C_Gdot sigma_Gdot,C_Gdot; measured-GM/source normalization theorem,R9_Gdot,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_5_preferred_frame_alpha1,epsilon_frame_1,vector/coframe preferred-frame leakage,0,alpha1,alpha1 ~= C_alpha1 epsilon_frame_1,C_alpha1; frame/coframe descent; boundary silence,R5_alpha1,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_6_preferred_frame_alpha2,epsilon_frame_2,spin or anisotropic coframe preferred-frame leakage,0,alpha2,alpha2 ~= C_alpha2 epsilon_frame_2,C_alpha2; spin/coframe descent; anisotropy map,R6_alpha2,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_7_flux_alpha3_xi,epsilon_flux,"source flux, momentum nonconservation, or preferred-location leakage",0,alpha3; xi,alpha3 ~= C_alpha3 epsilon_flux; xi ~= C_xi epsilon_flux,C_alpha3; C_xi; boundary/no-charge/source-flux theorem,R7_alpha3; R8_xi,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_8_R10_finite_range,alpha_R10(lambda),finite-range q/source hair outside the exact closure,0 for all lambda,delta_G_or_fifth_force_yukawa,Yukawa alpha(lambda) ~= C_R10(lambda) residual_hair(lambda),C_R10(lambda); real digitized alpha(lambda) curve; parent range map,R10_fifth_force,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,DEV1557_9_tracefree_transfer,h_TF_residual,tracefree metric/coframe transfer not fixed by scalar R_AB closure,0,PPN tensor/vector residuals,PPN residual vector ~= M_TF h_TF_residual,M_TF response matrix; tensor/coframe transfer theorem,R5_alpha1; R6_alpha2; R8_xi,BOUND_BUDGET_ONLY_NOT_PREDICTION,14-closure-deviation-PPN-sensitivity.md; source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1556_PPN_BENCHMARK_REQUIREMENTS.csv; source-intake/local_bounds/local_bound_claims.csv,False,False,False,False,False,False
