branch_id,source_id,source_key,source_path,exists,needles,needles_present,role
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_0_1793_doc,1793_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1793-Y5-R2FR-Y5-source-charge-owner-and-Y6-extra-stress-gate-or-finite-coupling-pack.md,True,DEC1793_3_next;NEXT1793_0_primary,True,selects parent Pi_M and observed-time generator as 1794 target
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_1_1793_validation,1793_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1793_VALIDATION.csv,True,VAL1793_OVERALL;PASS,True,confirms 1793 passed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_2_1793_y5_chain,1793_y5_chain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1793_Y5_SOURCE_CHARGE_OWNER_ATTEMPT.csv,True,Y5SC1793_2_parent_source_charge;Y5SC1793_7_verdict,True,Y5 source-charge chain is written but not activated
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_3_1793_mass_flux,1793_mass_flux,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1793_SOURCE_MASS_FLUX_CHAIN.csv,True,MFC1793_2_observed_time_generator;MFC1793_7_verdict,True,mass flux chain identifies observed time and Pi_M as missing
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_4_1517_import_gate,1517_import_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_PIM_1517_THEOREM_IMPORT_GATE.csv,True,IMP1517_0_R_eq_zero;IMP1517_5_worldtube_followthrough,True,"theorem import gate for Hilbert/topological equality, commutator, boundary and mass reference"
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_5_1518_commutator,1518_commutator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_PIM_1518_COMMUTATOR_ZERO_AUDIT.csv,True,COM1518_0_product_rule;COM1518_8_verdict,True,Pi_M commutator zero is not proved
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_6_1726_observed_time,1726_observed_time,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1726_OBSERVED_TIME_GENERATOR_AUDIT.csv,True,OTG1726_0_parent_data;OTG1726_6_verdict,True,observed time generator target but not parent-selected
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_7_1777_hamiltonian_pim,1777_hamiltonian_pim,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1777_HAMILTONIAN_PIM_ADOPTION_CONTRACT.csv,True,HPA1777_0_declare_branch;HPA1777_5_verdict,True,Hamiltonian Pi_M adoption contract
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_8_1778_adopted_lemma,1778_adopted_lemma,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1778_ADOPTED_PIM_SOURCE_MEASURE_LEMMA.csv,True,ASM1778_0_conditional_theorem;ASM1778_5_verdict,True,adopted Pi_M source-measure lemma shape derived but not proved
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_9_topological_hilbert,topological_hilbert_equality,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_TOPOLOGICAL_HILBERT_EQUALITY_ATTEMPT.csv,True,EH501_0_equality_statement;EH501_5_radial_bound_fallback,True,Hilbert/topological equality attempt and fallback
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_10_worldtube_glue,hilbert_worldtube_glue,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HILBERT_WORLDTUBE_GLUE_THEOREM_ATTEMPT.csv,True,HWT536_0_parent_worldtube_fixed;HWT536_8_weak_field_readout_after_charge_glue,True,worldtube/source-measure glue requirements
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_11_readout_decision,hamiltonian_pim_readout,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HAMILTONIAN_PIM_READOUT_DECISION.csv,True,D540_0_Hamiltonian_PiM_not_enough;D540_4_private_no_push,True,Hamiltonian Pi_M alone does not derive measured GM
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1794_12_source_current_closure,source_current_closure,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SOURCE_CURRENT_CLOSURE_THEOREM_ATTEMPT.csv,True,SC532_2_charge_current_variation_identity;SC532_7_measured_GM_next_gate,True,charge-current equality and measured-GM downstream gate
