source_id,relative_path,needle,role,exists,needle_found,generated_utc
SRC1197_0_1196_next,1196-Y5-R10-DT-cokernel-zero-boundary-theorem-or-parent-action-block.md,NEXT1196_0_1197,direct 1197 handoff.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_1_1196_anchor,1196-Y5-R10-DT-cokernel-zero-boundary-theorem-or-parent-action-block.md,CKZ1196_1_dirichlet_anchor_kills_kernel,conditional anchored no-cokernel theorem.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_2_1196_no_anchor,1196-Y5-R10-DT-cokernel-zero-boundary-theorem-or-parent-action-block.md,CKZ1196_2_no_anchor_no_generic_zero,unanchored zero theorem rejected.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_3_1196_projector,1196-Y5-R10-DT-cokernel-zero-boundary-theorem-or-parent-action-block.md,CKZ1196_3_projector_perturbation_bound,projector leakage smallness condition.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_4_1196_boundary,1196-Y5-R10-DT-cokernel-zero-boundary-theorem-or-parent-action-block.md,BP1196_0_tracefree_adjoint_boundary,D_T adjoint boundary pairing.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_5_1196_source_columns,1196-Y5-R10-DT-cokernel-zero-boundary-theorem-or-parent-action-block.md,BP1196_4_first_source_columns,first coker/boundary source columns.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_6_831_bound,831-Y5-R10-parent-Khat-tensor-operator-or-local-branch-closure.md,RT831_3_bound,original cokernel/boundary/regularizer bound.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_7_832_boundary,832-Y5-R10-tracefree-divergence-range-theorem-or-cokernel-bound.md,CB832_3_boundary_residual,flat/curved tracefree solver boundary warning.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_8_1019_boundary_fail,1019-Y5-R10-boundary-exactness-projector-orthogonality-or-source-pack.md,BE1019_6_verdict,boundary exactness does not close current claim.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_9_1019_projector_pack,1019-Y5-R10-boundary-exactness-projector-orthogonality-or-source-pack.md,SP1019_6_projector_zero_or_bound,projector zero-or-bound source-pack row.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_10_1170_no_flux,1170-Y5-R10-topological-selector-boundary-flux-certificate-or-BC-primitive-owner.md,PBC1170_1_no_flux_condition,sufficient local no-flux condition not derived.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_11_1170_bound,1170-Y5-R10-topological-selector-boundary-flux-certificate-or-BC-primitive-owner.md,PBC1170_2_finite_bound,finite boundary-bound fallback precedent.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_12_1171_natural_fail,1171-Y5-R10-natural-boundary-condition-for-BC-or-first-finite-bound-row.md,NBC1171_5_verdict,generic natural boundary theorem is too weak.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_13_1171_first_bound,1171-Y5-R10-natural-boundary-condition-for-BC-or-first-finite-bound-row.md,FBC1171_0_first_boundary_bound_row,first finite boundary-bound row template.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_14_1134_strong_conditional,1134-Y5-R10-no-swirl-harmonic-flux-lemma-or-epsilon-profile-runner.md,THM1134_0_strong_conditional,strong conditional gradient-flow/no-exchange theorem shape.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_15_1145_profile_template,1145-Y5-R10-parent-branch-functional-for-chiD-or-epsilon-profile-source-row.md,EPSRC1145_0_profile_source_row,source/profile row precedent after parent branch functional failed.,True,True,2026-06-15T03:46:09.960745+00:00
SRC1197_16_756_no_fake_guard,756-Y5-R10-Gamma-Khat-metric-response-symbol-match-or-q_loc-component-candidate-builder.md,QCB756_5_no_fake_data_guard,no fake data guard for response/component rows.,True,True,2026-06-15T03:46:09.960745+00:00
