branch_id,arena_row_id,test_arena,observable,empirical_upper_bound,empirical_units,bound_reference,bound_source_recorded,symbolic_bound_or_curve_required,leak_components,projection_needs,arena_conversion,projection_status,predicted_residual,comparison_status,arena_ready,prediction_source_backed,accepted_for_scoring,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R0_identity_coframe_direct,MICROSCOPE/Eotvos/composition,eta_WEP_direct_geometry,2.8e-15,dimensionless,https://arxiv.org/abs/2209.15487; doi:10.1103/PhysRevLett.129.121102,True,False,C_qm; Dq_Z; Dq_RAB_Jq,C_qm plus direct observed-coframe map for differential acceleration,eta_geom_AB = 2|a_geom(A)-a_geom(B)|/|a_geom(A)+a_geom(B)|,MISSING_OBSERVED_COFRAME_DERIVATIVE,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R1_WEP_source_charge,MICROSCOPE/Eotvos/composition,eta_WEP_source_charge,2.8e-15,dimensionless,https://arxiv.org/abs/2209.15487; doi:10.1103/PhysRevLett.129.121102,True,False,S_direct; Dtheta_marker; S_cg_envelope,"S_direct, Dtheta_marker, and material/source tensor map",eta_source_AB from composition-dependent source response,MISSING_MATERIAL_SOURCE_MAP,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R2_clock_redshift,redshift/clocks,alpha_clock_redshift,2.48e-05,dimensionless,https://arxiv.org/abs/1812.03711; doi:10.1103/PhysRevLett.121.231101,True,False,Dq_phi; Dtheta_marker; C_qm,Dq_phi/readout marker derivative into clock frequency,Delta nu/nu = (1 + alpha_clock) Delta U/c^2,MISSING_CLOCK_READOUT_MAP,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R3_gamma,Cassini/VLBI/solar-system light propagation,gamma_minus_1,2.3e-05,dimensionless,https://www.nature.com/articles/nature01997; doi:10.1038/nature01997,True,False,C_qm; Dq_RAB_Jq; Dq_Z,observed spatial metric response at O(c^-2),gamma_minus_1 from g_ij = delta_ij(1 + 2 gamma U/c^2),MISSING_WEAK_FIELD_METRIC_RESPONSE,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R4_beta,planetary ephemerides/LLR,beta_minus_1,7.8e-05,dimensionless,https://www2.math.ethz.ch/EMIS/journals/LRG/Articles/lrr-2014-4/articlese4.html,True,False,C_qm; Dq_RAB_Jq; S_cg_envelope,observed temporal metric response at O(c^-4) after GM calibration,beta_minus_1 from g_00 = -1 + 2U/c^2 - 2 beta U^2/c^4,MISSING_POST_NEWTONIAN_SECOND_ORDER_RESPONSE,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R5_alpha1,pulsar/solar-system preferred-frame,alpha1,1e-04,dimensionless,https://www2.math.ethz.ch/EMIS/journals/LRG/Articles/lrr-2014-4/articlese4.html,True,False,S_boundary; Dq_RAB_Jq; C_qm,preferred-frame/vector leak in observed matter frame,alpha1 extracted from g_0i/vector weak-field terms,MISSING_VECTOR_FRAME_PROJECTION,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R6_alpha2,solar-spin/pulsar preferred-frame,alpha2,2e-09,dimensionless,https://www2.math.ethz.ch/EMIS/journals/LRG/Articles/lrr-2014-4/articlese4.html,True,False,S_boundary; Dq_RAB_Jq; C_qm,preferred-frame/vector anisotropy projection,alpha2 preferred-frame coefficient,MISSING_ALPHA2_VECTOR_ANISOTROPY_MAP,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R7_alpha3,pulsar/solar-system momentum flux,alpha3,4e-20,dimensionless,https://www2.math.ethz.ch/EMIS/journals/LRG/Articles/lrr-2014-4/articlese4.html,True,False,S_boundary; S_direct; Dtheta_marker,momentum nonconservation/self-acceleration from boundary/domain exchange,alpha3-equivalent self-acceleration/momentum residual,MISSING_DOMAIN_EXCHANGE_ZERO_OR_BOUND,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R8_xi,local anisotropy/preferred-location,xi,4e-09,dimensionless,https://www2.math.ethz.ch/EMIS/journals/LRG/Articles/lrr-2014-4/articlese4.html,True,False,S_boundary; Dq_RAB_Jq; Dtheta_marker,preferred-location/domain anisotropy coupling to external field,xi extracted from anisotropic/domain coupling,MISSING_PREFERRED_LOCATION_PROJECTION,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,R9_Gdot,LLR/ephemerides/pulsars,Gdot_over_G,9.6e-15,yr^-1,https://www.ife.uni-hannover.de/de/forschung/publikationen/detail-ansicht?tx_univiepure_univiepure%5Buuid%5D=cbe8f824-b21b-4e80-b736-944c3f960f7a; doi:10.3390/universe7020034,True,False,Dtheta_marker; S_direct; C_qm,time derivative of measured GM/G_eff marker under Dq leak,d ln G_eff/dt or d ln mu_obs/dt,MISSING_LOCAL_TIME_DERIVATIVE_MAP,MISSING_NUMERIC_OR_THEOREM_ZERO,BLOCKED_PENDING_SOURCE_INPUTS,False,False,False,False,False,False,False
