source_id,source_path,exists,parse_ok,role,parse_error,valid_for_claim
SRC3397_00_3396_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3396-Y5-R2FR-minimal-parent-line-integration-or-source-normalization-demotion-under-AX1090.md,true,true,3396 parent-line handoff,,false
SRC3397_01_3396_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3396_NEXT_TARGET.csv,true,true,3396 next target,,false
SRC3397_02_3396_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3396_INTEGRATION_GATE.csv,true,true,parent-line integration gate,,false
SRC3397_03_3396_terms,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3396_PARENT_TERM_COVERAGE_MATRIX.csv,true,true,parent term coverage,,false
SRC3397_04_3395_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3395_COUPLING_RESIDUAL_CONTRACT_NONCLAIM.csv,true,true,source normalization residual contract,,false
SRC3397_05_3395_implications,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3395_NEWTON_PPN_IMPLICATIONS.csv,true,true,Newton/PPN implications,,false
SRC3397_06_3394_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3394_ADMISSIBLE_PACKAGE_GATE.csv,true,true,local Cassini hygiene package,,false
SRC3397_07_2177_ppn,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2177_PPN_SOURCE_CONVENTION_GATE.csv,true,true,prior PPN source convention gate,,false
SRC3397_08_2576_coeff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_HCORE_QR_COUPLING_2576_NEWTON_PPN_COEFFICIENT_LAW.csv,true,true,Newton/PPN coefficient law,,false
SRC3397_09_3377_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3377-Y5-R2FR-weak-field-source-normalization-or-Gref-kappa-bound-under-AX1090.md,true,true,prior weak-field source normalization theorem,,false
