checkpoint,source_id,role,path,exists,needle,needle_found,line,note,valid_for_claim
4525,SRC4525_00_formal4524,4524 formal handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\540-PPC4161-first-finite-residual-alpha-smoke-runner-or-parent-Z-action-signature.md,True,PPC4161_FIRST_FINITE_RESIDUAL_ALPHA_SMOKE_RUNNER_OR_PARENT_Z_ACTION_SIGNATURE_4524,True,3,finite-residual alpha bridge,False
4525,SRC4525_01_post4524,4524 post handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4524-Y5-R2FR-first-finite-residual-alpha-smoke-runner-or-parent-Z-action-signature.md,True,4525-Y5-R2FR-parent-Z-algebraic-action-derivation-or-source-normalized-first-coefficient-fill.md,True,58,declared 4525 target,False
4525,SRC4525_02_val4524,4524 validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4524_VALIDATION.csv,True,VAL4524_OVERALL,True,11,previous validation pass,False
4525,SRC4525_03_law4524,4524 finite alpha law,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4524_FINITE_RESIDUAL_ALPHA_LAW.csv,True,FRA4524_3_R10_alpha_projection,True,5,alpha projection formula,False
4525,SRC4525_04_inputs4524,4524 input contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4524_RESIDUAL_ALPHA_INPUT_CONTRACT.csv,True,RAI4524_0_mmin,True,2,coefficient inputs,False
4525,SRC4525_05_parentZ4524,4524 parent Z hunt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4524_PARENT_Z_ACTION_SIGNATURE_HUNT.csv,True,PZA4524_0_action_form,True,2,parent Z action signature,False
4525,SRC4525_06_action4523,4523 parent action contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4523_RANK_ZERO_PARENT_ACTION_CONTRACT.csv,True,RZPA4523_0_total_branch,True,2,rank-zero parent action contract,False
4525,SRC4525_07_selector190,190 parent selector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\190-PPC4161-parent-action-selector-or-local-branch-quarantine.md,True,PPC4161_PARENT_ACTION_SELECTOR_OR_LOCAL_QUARANTINE,True,3,selector/local branch quarantine,False
4525,SRC4525_08_adoption196,196 minimal parent adoption,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\196-PPC4161-minimal-parent-action-adoption-matrix.md,True,PPC4161_MINIMAL_PARENT_ACTION_ADOPTION_MATRIX,True,3,adoption matrix,False
4525,SRC4525_09_muc2537,minimal universal matter coupling,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_SHADOW_2537_MINIMAL_UNIVERSAL_MATTER_COUPLING_SIGNATURE.csv,True,MUC2537_6_verdict,True,8,matter coupling not parent-signed,False
4525,SRC4525_10_mca2587,minimum parent matter gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MIN_PARENT_MATTER_2587_ADOPTION_GATE.csv,True,AD2587_0_action_adoption,True,2,matter action adoption gate,False
4525,SRC4525_11_notower2623,no integrated-out tower audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PRIMITIVE_QUOTIENT_GATE_2623_NO_INTEGRATED_OUT_TOWER_AUDIT.csv,True,TOW2623_4_overall,True,6,tower countermodels,False
4525,SRC4525_12_nomarker2623,no marker audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PRIMITIVE_QUOTIENT_GATE_2623_NO_NATURAL_MARKER_AUDIT.csv,True,MRK2623_6_overall,True,8,marker countermodels,False
