source_id,source_path,path_exists,anchor,anchor_found,role,valid_prediction_row,valid_for_claim,claim_allowed
SRC1443_0_1442_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1442_NEXT_TARGET.csv,True,NEXT1442_0_1443,True,1442 handoff selecting branch/product fill or C_parent search plan.,False,False,False
SRC1443_1_1442_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1442_VALIDATION.csv,True,VAL1442_11_overall,True,1442 validation summary.,False,False,False
SRC1443_2_1442_c_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1442_C_PARENT_WEP_SLOT_IMPORT_TEMPLATE.csv,True,CPWEP1442_0_slot_import,True,1442 C_parent WEP template.,False,False,False
SRC1443_3_1442_branch_product_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1442_PRODUCT_BRANCH_FIRST_FILL_TEMPLATE.csv,True,PBF1442_1_product_convention,True,1442 product/branch template.,False,False,False
SRC1443_4_1442_c_gates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1442_C_PARENT_WEP_SLOT_IMPORT_GATES.csv,True,CPWG1442_5_basis,True,1442 C_parent import gates.,False,False,False
SRC1443_5_branch_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\metadata\P8_Y5_R10_1336_BRANCH_CLASSIFIER_SCHEMA.csv,True,BRANCHSCHEMA1336_1_forbidden_mixing_rule,True,branch classifier schema.,False,False,False
SRC1443_6_product_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\metadata\P8_Y5_R10_1336_PRODUCT_CONVENTION_SCHEMA.csv,True,PRODSCHEMA1336_6_branch_lock,True,product convention schema.,False,False,False
SRC1443_7_web_sources,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\metadata\P8_Y5_R10_1336_WEB_SOURCE_CANDIDATE_REGISTER.csv,True,WEB1336_3_PRL_final_result,True,official source strings.,False,False,False
SRC1443_8_eta_guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\product\eta_product_convention.csv,True,tau_eff = branch_locked_orbit_average,True,existing eta product guard.,False,False,False
SRC1443_9_measured_G_guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\guards\measured_G_guard.csv,True,MGG1429_0_no_relative_absorption,True,measured-G guard.,False,False,False
SRC1443_10_branch_id,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\branch_id.csv,True,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,active branch id.,False,False,False
SRC1443_11_branch_c_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\C_parent_WEP_slot_import_TEMPLATE.csv,True,CPWEP1442_0_slot_import,True,branch C_parent template copy.,False,False,False
