source_id,path,exists,role,valid_for_claim,generated_utc
718_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\718-Y5-R10-AEH-prefactor-gradient-zero-theorem-or-retained-source-pack.md,true,AEH gradient gate and projection target,false,2026-06-10T20:18:52+00:00
718_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_718_VALIDATION.csv,true,prior checkpoint validation,false,2026-06-10T20:18:52+00:00
718_variation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_718_AEH_VARIATION_DERIVATION.csv,true,A_a projection condition and D=4 charge formula,false,2026-06-10T20:18:52+00:00
718_source_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_718_RETAINED_AEH_SOURCE_PACK.csv,true,retained AEH source pack with A_a missing,false,2026-06-10T20:18:52+00:00
718_queue,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_718_BOUND_OR_DERIVE_QUEUE.csv,true,projection selected as next target,false,2026-06-10T20:18:52+00:00
715_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_715_MINIMUM_EXECUTABLE_COEFFICIENT_PACK.csv,true,minimum scalar coefficient pack with Z/M/E rows,false,2026-06-10T20:18:52+00:00
716_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\716-Y5-R10-matter-coupling-source-charge-derivation-or-free-coefficient-lock.md,true,source charge definition,false,2026-06-10T20:18:52+00:00
717_conformal,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_717_CONFORMAL_DERIVATION.csv,true,D=4 Einstein-frame charge formula,false,2026-06-10T20:18:52+00:00
708_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_708_SCALAR_CLASS_SOURCE_ROW_CONTRACT.csv,true,source row contract for Z/M/canonical modes,false,2026-06-10T20:18:52+00:00
708_expansion,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_708_LOCAL_EXPANSION_MAP.csv,true,symbolic local expansion and canonical-mode map,false,2026-06-10T20:18:52+00:00
708_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_708_VALIDATION.csv,true,708 validation,false,2026-06-10T20:18:52+00:00
714_queue,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_714_RETAINED_BRANCH_SOURCE_QUEUE.csv,true,retained branch source queue,false,2026-06-10T20:18:52+00:00
714_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_714_VALIDATION.csv,true,714 validation,false,2026-06-10T20:18:52+00:00
