clause_id,claim_piece,mathematical_form,needed_parent_signature,current_status,obstruction_if_missing,routes_to,valid_for_claim,generated_utc
COM1152_0_product_rule,full projected-current product rule,"d(Pi_M J_H)=Pi_M dJ_H + [d,Pi_M]J_H","either derive [d,Pi_M]J_H=0 on the actual Hilbert-current domain or retain a bounded I_commutator row",ACTIVE_OBSTRUCTION,source-normalized Newton/local-GR cannot be promoted,ACQ1152_1_I_commutator,false,2026-06-14T23:35:02.757491+00:00
COM1152_1_fixed_exterior_domain,fixed exterior topology before readout,Sigma_ext ~= S2 x I with fixed [S2] class and fixed source worldtube,parent-fixed worldtube plus linking surfaces independent of readout masks,CONDITIONAL_OPEN,"domain motion can re-enter [d,Pi_M]J_H",ACQ1152_3_parent_theorem_certificate,false,2026-06-14T23:35:02.757491+00:00
COM1152_2_metric_independent_projector,topological metric-independent Pi_M,"delta_g Pi_M=0 and Pi_M uses no Hodge star, Green operator, or fitted boundary metric",absolute/topological charge map selected by parent action before variation,CONDITIONAL_NOT_PARENT_SIGNED,projector variation stress must be retained,ACQ1152_2_projector_variation,false,2026-06-14T23:35:02.757491+00:00
COM1152_3_closed_generator,closed normalized topological mass generator,d omega_M_top=0 and integral_S2 omega_M_top=1,normalization owner for the same mass current used by J_H,FORMAL_CONDITIONAL_ONLY,a closed generator may still be the wrong current,ACQ1152_0_R_eq_integral,false,2026-06-14T23:35:02.757491+00:00
COM1152_4_chain_map_property,Pi_M commutes with exterior derivative on allowed source-current complex,"[d,Pi_M]J_H=0 for J_H in V_J and dJ_H in domain(Pi_M)","chain-map theorem, not projector idempotence",NOT_PARENT_DERIVED,I_commutator remains a live residual,ACQ1152_1_I_commutator,false,2026-06-14T23:35:02.757491+00:00
COM1152_5_Hilbert_current_domain,J_H lies in the exact domain on which Pi_M is defined,J_H in V_J; Pi_M J_H and Pi_M dJ_H both defined in the same frame,same-source-frame Hilbert current and worldtube selector,CONDITIONAL_FROM_SOURCE_CONTRACT_NOT_CLOSED,the commutator theorem can target a surrogate current,ACQ1152_3_parent_theorem_certificate,false,2026-06-14T23:35:02.757491+00:00
COM1152_6_variation_ownership,delta Pi_M and domain variation are owned or retained,delta(Pi_M J)=Pi_M delta J + (delta Pi_M)J with (delta Pi_M)J=0/topological or bounded,projector stress theorem or numeric PPN/R11 bound input,NOT_PARENT_DERIVED,projector stress cannot be silently removed,ACQ1152_2_projector_variation,false,2026-06-14T23:35:02.757491+00:00
COM1152_7_Hilbert_topological_equality,topological current equals observed Hilbert projected current,Pi_M J_H = J_M_top + dB_zero + R_eq with integral_boundary dB_zero=0,R_eq=0 theorem or source-backed finite-shell R_eq_integral,NOT_DERIVED_KEY_BLOCKER,commutator zero can close the wrong object,ACQ1152_0_R_eq_integral,false,2026-06-14T23:35:02.757491+00:00
COM1152_8_Hodge_route,metric/Hodge projector route remains allowed only with stress retained,"delta_g Pi_H(g), delta chi_D, delta n_mu, and delta G_B varied or bounded",no hidden metric dependence and no post-readout mask,RETAINED_IF_USED,Hodge route creates PPN/R11 residual vector,ACQ1152_2_projector_variation,false,2026-06-14T23:35:02.757491+00:00
COM1152_9_verdict,"derive [d,Pi_M]J_H=0 for the current branch",COM1152_1 through COM1152_8 parent-signed on the same Hilbert source-current domain,"fixed topology, topological Pi_M, Hilbert equality, domain closure, variation ownership, no shortcut",PIM_COMMUTATOR_ZERO_NOT_DERIVED,retain R_eq/I_commutator acquisition rows and keep local-GR/Newton blocked,NEXT1152_0_1153,false,2026-06-14T23:35:02.757491+00:00
