same_parent_branch_id,source_id,source_path,exists,required_needles,needles_found,role,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1629_doc,1629-Y5-R2FR-RAB-source-slot-exclusion-or-finite-JR-prior-width.md,True,NEXT_1630_ACTION_SCALE_MEASURE_OWNER_OR_JR_PRIOR_RUNNER; VAL1629_OVERALL,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1629_validation,source-intake/mts_residuals/P8_Y5_BRR545_1629_VALIDATION.csv,True,VAL1629_OVERALL; PASS,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1629_next,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1629_NEXT_TARGET.csv,True,1630-Y5-R2FR-action-scale-measure-owner-or-JR-prior-width-runner.md; action-scale/measure owner,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1629_slot_attempt,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1629_RAB_SOURCE_SLOT_EXCLUSION_ATTEMPT.csv,True,RSE1629_4_action_scale_owner; ACTION_SCALE_OWNER_NOT_PARENT_SIGNED,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1629_prior_widths,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1629_FINITE_JR_PIR_PRIOR_WIDTH_ROWS.csv,True,PW1629_0_epsilon_RAB_source; MISSING_RAB_SOURCE_SLOT_ZERO_OR_PRIOR_WIDTH,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1067_action_scale,source-intake/mts_residuals/P8_Y5_R10_1067_PARENT_ACTION_SCALE_OWNER_ATTEMPT.csv,True,ASO1067_5_verdict; CONDITIONAL_NOT_PARENT_DERIVED,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1088_minimal_signature,source-intake/mts_residuals/P8_Y5_R10_1088_MINIMAL_SIGNATURE_CLAUSE.csv,True,MOMS1088_7_verdict; MINIMAL_PARENT_ORDINARY_MATTER_SIGNATURE_NOT_DERIVED,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1088_conditional_zero,source-intake/mts_residuals/P8_Y5_R10_1088_CONDITIONAL_ZERO_THEOREM.csv,True,THM1088_6_current_corpus_verdict; CONDITIONAL_ZERO_THEOREM_NOT_PROMOTED,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1090_synthesis,source-intake/mts_residuals/P8_Y5_R10_1090_SYNTHESIS_ATTEMPT.csv,True,SYN1090_8_verdict; SYNTHESIS_FAILS_MISSING_AXIOMS,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1090_missing_axioms,source-intake/mts_residuals/P8_Y5_R10_1090_MISSING_AXIOM_LEDGER.csv,True,AX1090_2_common_quantum_measure; MISSING_AXIOM_NOT_ADOPTED,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1090_closure,source-intake/mts_residuals/P8_Y5_R10_1090_CLOSURE_DEMOTION_REGISTER.csv,True,CLOS1090_0_MOMS; closure_candidate_not_adopted,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1447_parent_object,source-intake/mts_residuals/P8_Y5_R10_1447_AX1090_PARENT_OBJECT_PROOF_ATTEMPT.csv,True,AXP1447_3_verdict; PARENT_OBJECT_NOT_PROVEN,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,1214_no_source_slot,1214-Y5-R10-no-source-only-slot-parent-signature-or-Delta-species-bound-fill.md,True,NSS1214_2_action_measure_owner; NOT_PARENT_SIGNED,True,1630 action-scale/measure owner and prior-width runner provenance,False,False
