checkpoint,source_id,path,path_exists,needle,needle_found,line_number,role,valid_for_claim
4350,SRC4350_00_4349_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\365-PPC4161-ZRI-MRI-EtaRI-source-or-domain-spectrum-row.md,True,"Eta_RI,total < pi^2/ell_RI^2",True,55,4349 handoff: positive RI gap reduces to anchored domain plus Eta ceiling.,False
4350,SRC4350_01_4348_domain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\364-PPC4161-lambda-RI-positive-domain-or-bound-input-pack.md,True,lambda_dom >= lambda_1^D(D_RI),True,90,Dirichlet/anchored residual domain gives the analytic domain spectrum.,False
4350,SRC4350_02_4344_adjoint,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\360-PPC4161-adjoint-zero-and-boundary-kernel-proof-or-first-Kperp-score-row.md,True,L_RI^dagger = -D_i(Z_RI D^i) + M_RI^2 + V_Ric - E_RI.,True,20,Adjoint operator whose boundary/domain terms must be signed.,False
4350,SRC4350_03_192_noflux,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\192-PPC4161-local-boundary-no-flux-sector-interface-theorem.md,True,supp(T_local) subset int(W_loc),True,30,Compact local selector/support separation supplies the template for boundary silence.,False
4350,SRC4350_04_216_static_guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\216-PPC4161-Kperp-boundary-zero-or-demotion.md,True,elliptic/static proof != hyperbolic incoming-mode proof.,True,49,Static collar proof firewall.,False
4350,SRC4350_05_191_poynting_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\191-PPC4161-Maxwell-Hodge-Poynting-stress-owner-theorem.md,True,So the Poynting vector is not a separate background field.,True,36,"EM/Poynting must be Hilbert-owned, not double-counted.",False
4350,SRC4350_06_4312_REM,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4312-Y5-R2FR-Zmin-M2min-EtaH-source-or-Poynting-residual-cancellation.md,True,R_EM_Poynting=0,True,34,Same-Hodge/current/no-flux EM branch can remove EM correction term conditionally.,False
4350,SRC4350_07_4314_rad,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4314-Y5-R2FR-radiative-Poynting-no-flux-or-boundary-flux-row.md,True,P_rad_EM(tau)=0 pointwise,True,31,Radiative Poynting flux is zero only on the closed static collar branch.,False
4350,SRC4350_08_4315_hodge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4315-Y5-R2FR-Hodge-constitutive-owner-zero-or-DeltaHodge-bound.md,True,Delta_Hodge_EM=0,True,30,Same-Hodge constitutive owner can remove Hodge correction conditionally.,False
4350,SRC4350_09_4315_envelope,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4315-Y5-R2FR-Hodge-constitutive-owner-zero-or-DeltaHodge-bound.md,True,no-cancellation envelope,True,6,"If same-Hodge fails, the EM contribution remains an explicit bound.",False
