source_id,relative_path,needle,note,exists,needle_found,generated_utc
SRC1140_0_1139_next,source-intake/mts_residuals/P8_Y5_R10_1139_NEXT_TARGET.csv,NEXT1139_0_1140,1139 handoff requires c-hair zero theorem or component-bound pack.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_1_1139_split,source-intake/mts_residuals/P8_Y5_R10_1139_C_MONOPOLE_HAIR_SPLIT.csv,CS1139_7_verdict,Total c remains blocked unless monopole is signed and all hair components close.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_2_1139_bound_schema,source-intake/mts_residuals/P8_Y5_R10_1139_C_HAIR_COMPONENT_BOUND_SCHEMAS.csv,CB1139_5_flux,"1139 supplied nonclaim schemas for time, range, species, vector, STF, and flux c-hair rows.",true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_3_1139_absorption,source-intake/mts_residuals/P8_Y5_R10_1139_C_ABSORPTION_TESTS.csv,ABS1139_4_absorption_verdict,Measured-GM/source-unity absorption remains forbidden.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_4_parent_A4,source-intake/mts_residuals/P8_source_owner_parent_action_terms_CONTRACT.csv,A4_mass_flux_projector,"Closed calibrated mass-flux projector is a monopole route, not a hair shortcut.",true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_5_parent_A5,source-intake/mts_residuals/P8_source_owner_parent_action_terms_CONTRACT.csv,A5_constant_universal_coupling,Constant universal coupling clause is required for time/source-drift silence.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_6_parent_A6,source-intake/mts_residuals/P8_source_owner_parent_action_terms_CONTRACT.csv,A6_selector_blind_source_action,Selector-blind source action is required for species/source-marker silence.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_7_parent_A7,source-intake/mts_residuals/P8_source_owner_parent_action_terms_CONTRACT.csv,A7_bulk_X_nohair_or_curve,Bulk/source no-hair or executable curve mapping is required for range/radial silence.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_8_parent_A8,source-intake/mts_residuals/P8_source_owner_parent_action_terms_CONTRACT.csv,A8_projector_domain_topological,Topological/domain projector clause is required for vector/STF/flux silence.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_9_parent_A9,source-intake/mts_residuals/P8_source_owner_parent_action_terms_CONTRACT.csv,A9_memory_kernel_local_silence,Local memory silence is required for time and range leakage closure.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_10_ward_C4,source-intake/mts_residuals/P8_Ward_source_owner_identity_CONTRACT.csv,C4_constant_universal_coupling,Ward identity names the current constant-coupling gap.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_11_ward_C5,source-intake/mts_residuals/P8_Ward_source_owner_identity_CONTRACT.csv,C5_no_species_or_marker_source_charge,Ward identity names the current no-species/source-marker gap.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_12_ward_C6,source-intake/mts_residuals/P8_Ward_source_owner_identity_CONTRACT.csv,C6_no_range_or_radial_source_hair,Ward identity names the current no-range/radial-hair gap.,true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_13_R11_missing,source-intake/mts_residuals/R11_DOMAIN_PROJECTOR_VECTOR_MISSING_LEDGER.csv,source_normalization_operator,"R11 ledger still requires a real coefficient, theorem-zero source, or bound envelope.",true,true,2026-06-14T22:29:42.354189+00:00
SRC1140_14_1138_c_row,source-intake/mts_residuals/P8_Y5_R10_1138_CANONICAL_C_SOURCE_NORMALIZATION_ROW.csv,CROW1138_0_c_domain_source_normalization_operator,Canonical c row remains a blocked contract row.,true,true,2026-06-14T22:29:42.354189+00:00
