checkpoint,branch,generated_utc,decision,coefficient,standard_branch_status,source_basis,open_branch_requirement,claim_allowed,valid_for_claim
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,delta_w_EM,ZERO_IN_4210_STANDARD_BRANCH,4261/4262 no visible deformation,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,C_XF2,ZERO_IN_4210_STANDARD_BRANCH,4261 no hidden F2 operator,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,C_JQ,ZERO_IN_4210_STANDARD_BRANCH,4262 same-action current and fixed charges,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,b_alpha,ZERO_IN_4210_STANDARD_BRANCH,4262 fixed g_J/lambda_A before variation,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,dlnlambda_derivative,ZERO_IN_4210_STANDARD_BRANCH,4262 lambda_A fixed before variation,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,b_A/b_marker,ZERO_IN_4210_STANDARD_BRANCH,4262 theta_obs/material labels q-basic,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,Delta_Hodge_EM,ZERO_IN_4210_STANDARD_BRANCH_WITH_FIXED_ORIENTATION,4261 action domain plus 4262 readout plus 4263 orientation,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,Delta_rad_Poynting,ZERO_FOR_CLOSED_COLLAR_ELSE_BOUND,4263 closed-collar flux clause,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,Delta_internal_exchange,ZERO_IN_SINGLE_VISIBLE_ACTION_BRANCH,4218/4262 Ward exchange ownership,retain_source_backed_bound_if_condition_fails,False,False
4263,MTS_R2FR_Y5_DQ_EM_CLOSED_COLLAR_ADOPTION_OR_RADIATIVE_BOUNDARY_ROW_4263,2026-07-03T11:57:47+00:00,DQ_EM_STANDARD_VISIBLE_BRANCH_ADOPTED_AS_CONDITIONAL_ZERO_FOR_CLOSED_COLLAR_OPEN_RADIATION_BOUND_ROW_RETAINED_NONCLAIM,c_Poynt_extra,ZERO_BY_POYNTING_ONCE_ONLY,4175/4207/4259,retain_source_backed_bound_if_condition_fails,False,False
