source_id,role,path,needle,exists,needle_found,valid_for_claim,timestamp_utc
SRC3971_00_3970_next,3970 handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3970_NEXT_TARGET.csv,NEXT3970_0,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_01_3970_boundary,boundary channel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3970_EXTRA_MONOPOLE_CHANNEL_VECTOR.csv,CH3970_0_boundary,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_02_3970_domain,domain channel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3970_EXTRA_MONOPOLE_CHANNEL_VECTOR.csv,CH3970_1_domain,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_03_3970_PiM,PiM channel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3970_EXTRA_MONOPOLE_CHANNEL_VECTOR.csv,CH3970_6_PiM,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_04_3970_bound,hidden monopole total,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3970_DELTA_MU_EXTRA_BOUND_VECTOR.csv,MBV3970_0_total_extra_mass,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_05_3970_feed,triad priority feed,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3970_SINGLE_MASS_FEED_UPDATE.csv,SMF3970_3_next,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_06_EX_boundary,extra mass boundary row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_EXTRA_MASS_CHANNELWISE_BOUND_INPUT.csv,EX522_0_boundary_improvement,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_07_EX_domain,extra mass domain row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_EXTRA_MASS_CHANNELWISE_BOUND_INPUT.csv,EX522_1_domain_projector,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_08_EX_PiM,extra mass PiM row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_EXTRA_MASS_CHANNELWISE_BOUND_INPUT.csv,EX522_6_projector_stress,True,True,False,2026-07-01T15:54:33+00:00
SRC3971_09_EM_silence,extra mass silence theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_EXTRA_MASS_PROJECTION_SILENCE_THEOREM.csv,EM522_3_silence_theorem,True,True,False,2026-07-01T15:54:33+00:00
