source_id,relative_path,needle,role,exists,needle_found,generated_utc
SRC1145_0_1144_next,source-intake/mts_residuals/P8_Y5_R10_1144_NEXT_TARGET.csv,NEXT1144_0_1145,handoff requiring parent branch functional or epsilon profile source row.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_1_1144_attempt,source-intake/mts_residuals/P8_Y5_R10_1144_BRANCH_LAW_ATTEMPT.csv,BL1144_5_verdict,branch law is shape-supported but not derived.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_2_1144_epsilon,source-intake/mts_residuals/P8_Y5_R10_1144_EPSILON_DOMAIN_FLUX_PROFILE_FILL_QUEUE.csv,EPF1144_0_epsilon_profile_local,epsilon profile/source fallback row remains unfilled.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_3_domain_action_143,143-domain-selector-variational-action-attempt.md,domain_selector_formal_action_not_parent_derived,domain selector action candidates fail parent derivation.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_4_topological_252,252-topological-projector-parent-action-skeleton.md,topological_projector_parent_skeleton_written_N5_action_route_conditional_FLRW_Bmem_and_N6_open_no_promotion,topological projector action skeleton is conditional only.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_5_free_boundary_277,277-domain-free-boundary-Euler-equation.md,domain_shape_derivative_derived_no_domain_selection_or_local_GR_promotion,free-boundary Euler route is derived but degenerate.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_6_no_go_279,279-representative-selection-boundary-polarization-no-go.md,boundary_polarization_endpoint_constraints_underselect_representative_selection_not_derived,boundary polarization underselects representative selection.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_7_Cexp_416,416-binding-invariant-domain-selector-repair.md,parent_selector_derived,C_exp separator still lacks parent selector derivation.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_8_Qcoh_481,481-Qcoh-parent-projector-algebra-or-closure.md,C2_domain_selector,Qcoh parent algebra contract says domain selector remains not derived.,true,true,2026-06-14T22:54:08.120817+00:00
SRC1145_9_quotient_864,864-Y5-R10-local-global-quotient-split-and-endpoint-stationarity-parent-clause.md,PC864_0_parent_domains,quotient split is sufficient but not parent-derived.,true,true,2026-06-14T22:54:08.120817+00:00
